RootCAX22,RootCAX23,RootCOL00,RootRBOHD,RootCAX22|RootCAX23,RootCAX22|RootCOL00,RootCAX22|RootRBOHD,RootCAX23|RootCOL00,RootCAX23|RootRBOHD,RootCOL00|RootRBOHD,RootCAX22|RootCAX23|RootCOL00,RootCAX22|RootCAX23|RootRBOHD,RootCAX22|RootCOL00|RootRBOHD,RootCAX23|RootCOL00|RootRBOHD,RootCAX22|RootCAX23|RootCOL00|RootRBOHD
,AT2G15020.1,,,AT4G10340.1,,,AT2G43920.1,,,,,,AT5G13320.1,
,AT4G09900.1,,,AT1G61520.1,,,AT2G43920.2,,,,,,AT5G48850.1,
,AT2G39250.1,,,AT1G20340.1,,,AT1G13080.1,,,,,,AT5G26270.1,
,AT1G45010.1,,,AT1G61520.2,,,AT1G13080.2,,,,,,AT3G23510.1,
,AT2G39470.1,,,AT3G28070.2,,,AT2G44340.1,,,,,,AT2G14247.1,
,AT2G39470.3,,,AT4G14400.2,,,AT3G30725.1,,,,,,AT5G66780.1,
,AT2G39470.2,,,AT2G07750.1,,,AT2G22750.1,,,,,,AT4G40070.1,
,AT4G12900.1,,,AT3G16600.1,,,AT4G37950.1,,,,,,AT5G44574.1,
,AT1G24148.1,,,AT3G59060.3,,,AT5G17720.1,,,,,,AT1G56150.1,
,AT3G16250.1,,,AT3G48420.1,,,AT1G12200.1,,,,,,AT3G44300.1,
,ATCG00340.1,,,AT1G62630.1,,,AT4G25010.1,,,,,,AT3G20360.1,
,AT1G33600.1,,,AT5G51720.1,,,AT1G59218.1,,,,,,AT1G18970.1,
,AT4G13570.2,,,AT3G59060.2,,,AT5G09210.1,,,,,,AT5G46960.1,
,AT2G07981.1,,,AT3G59060.4,,,AT3G47510.1,,,,,,AT1G76620.1,
,AT5G56850.1,,,AT2G39730.2,,,AT1G53990.1,,,,,,AT2G32960.1,
,AT3G50480.1,,,AT2G39730.1,,,AT5G37970.1,,,,,,AT4G10500.1,
,ATCG00580.1,,,AT3G19850.1,,,AT3G08040.2,,,,,,AT1G66600.1,
,AT5G44430.1,,,AT2G39730.3,,,AT5G06905.1,,,,,,AT5G42580.1,
,AT3G59010.1,,,AT3G59060.1,,,AT3G08040.1,,,,,,AT3G56400.1,
,AT1G24148.2,,,AT2G15050.1,,,AT5G26270.2,,,,,,AT2G38920.1,
,ATCG00560.1,,,AT1G56510.1,,,AT1G59218.2,,,,,,AT2G38920.2,
,AT2G15960.1,,,AT4G16990.1,,,AT4G01430.1,,,,,,AT2G38920.3,
,AT5G07180.1,,,AT4G16990.2,,,AT4G01430.2,,,,,,AT4G14365.1,
,ATCG00070.1,,,AT4G17245.1,,,AT4G25830.1,,,,,,AT2G19500.1,
,AT1G24260.3,,,AT3G47470.1,,,AT1G21140.1,,,,,,AT1G01680.1,
,AT3G01550.1,,,AT4G16990.3,,,AT3G46800.1,,,,,,AT5G19890.1,
,AT5G20230.1,,,AT4G16990.4,,,AT5G63850.1,,,,,,AT2G30670.1,
,AT3G01440.1,,,AT4G16990.5,,,AT5G39000.1,,,,,,AT3G49570.1,
,AT4G04570.2,,,AT5G04530.1,,,AT3G16360.2,,,,,,AT2G04460.1,
,AT5G39080.1,,,AT1G68600.1,,,AT3G47040.2,,,,,,AT4G28420.2,
,AT3G19800.1,,,AT1G22690.1,,,AT3G47040.1,,,,,,AT5G64120.1,
,AT1G57770.1,,,AT2G22990.5,,,AT3G47540.1,,,,,,AT4G12545.1,
,AT4G16860.1,,,AT4G14400.1,,,AT5G38096.1,,,,,,AT2G31083.1,
,AT3G19800.2,,,AT2G22990.1,,,AT3G47540.2,,,,,,AT4G37160.1,
,AT5G66190.1,,,AT2G22990.3,,,AT1G59030.1,,,,,,AT1G65481.1,
,AT5G66190.2,,,AT2G22990.4,,,AT1G59077.1,,,,,,AT1G14550.1,
,AT2G14080.1,,,AT2G30570.1,,,AT1G02450.1,,,,,,AT4G01870.1,
,AT4G04570.1,,,AT2G15050.3,,,AT5G15180.1,,,,,,AT1G05880.2,
,AT2G32880.1,,,AT2G22990.6,,,AT2G37900.1,,,,,,AT5G36870.1,
,AT3G14415.1,,,ATCG00490.1,,,AT3G52970.2,,,,,,AT3G49580.1,
,AT3G14415.3,,,AT2G22990.2,,,AT3G52970.1,,,,,,AT1G30730.1,
,AT3G14415.2,,,AT3G29030.1,,,AT3G50610.1,,,,,,AT4G19690.2,
,ATCG00570.1,,,AT1G23930.1,,,AT4G36570.1,,,,,,AT3G49580.2,
,AT5G04230.2,,,AT4G14400.3,,,AT5G03840.1,,,,,,AT1G17170.1,
,AT1G13650.1,,,AT1G30380.1,,,AT5G09978.1,,,,,,AT1G05880.1,
,AT2G36630.1,,,AT4G37980.1,,,AT3G05950.1,,,,,,AT5G45120.1,
,AT4G25990.2,,,AT3G28070.1,,,AT1G21100.1,,,,,,AT3G27950.1,
,AT2G04032.1,,,AT4G23300.1,,,AT2G36770.1,,,,,,AT4G22880.1,
,AT2G20260.1,,,AT2G15050.2,,,AT5G60910.1,,,,,,AT4G22880.2,
,AT2G21460.1,,,AT5G03120.1,,,AT5G45850.1,,,,,,AT2G31085.1,
,AT2G42220.1,,,AT2G34420.1,,,AT3G09680.1,,,,,,AT5G52300.1,
,AT1G74880.1,,,AT4G06498.1,,,AT5G10625.1,,,,,,AT5G52300.2,
,AT2G36800.1,,,AT3G54830.1,,,AT2G13910.1,,,,,,AT2G41240.1,
,AT3G50270.1,,,AT2G03750.1,,,AT3G16360.1,,,,,,AT2G41240.2,
,ATCG01060.1,,,AT4G38860.1,,,AT5G28510.1,,,,,,AT3G60420.1,
,AT3G20395.1,,,AT1G22690.2,,,AT5G24410.1,,,,,,AT3G60470.1,
,AT4G11460.1,,,AT3G16130.1,,,AT3G29252.1,,,,,,AT4G19690.1,
,AT4G04640.1,,,AT5G04140.2,,,AT1G60050.1,,,,,,AT3G60420.2,
,AT5G61270.1,,,AT5G04140.1,,,AT4G25760.1,,,,,,AT1G02230.1,
,AT1G32470.1,,,AT4G00180.1,,,AT3G25730.1,,,,,,AT1G62420.1,
,AT4G23260.2,,,AT4G00180.2,,,AT1G69880.1,,,,,,AT3G48850.1,
,AT5G56860.1,,,AT2G23170.1,,,AT5G22570.1,,,,,,AT1G73120.1,
,AT4G23260.1,,,AT3G16660.1,,,AT1G58725.1,,,,,,AT3G28580.1,
,AT4G00165.2,,,AT1G29720.1,,,AT1G58766.1,,,,,,AT4G28420.1,
,AT1G54780.1,,,AT4G22490.1,,,AT5G42610.1,,,,,,AT4G12490.1,
,AT3G22120.1,,,AT2G14560.1,,,AT2G43600.1,,,,,,AT4G21990.2,
,AT1G23310.2,,,AT1G76100.1,,,AT2G48090.1,,,,,,AT2G29500.1,
,AT1G23310.1,,,AT3G28080.2,,,AT5G56795.1,,,,,,AT1G26420.1,
,ATCG00850.1,,,AT2G07770.1,,,AT2G31180.1,,,,,,AT4G21990.1,
,AT3G51600.1,,,AT5G36910.1,,,AT2G45760.1,,,,,,AT5G25250.1,
,AT3G22121.1,,,AT3G28070.3,,,AT4G33560.1,,,,,,AT4G11170.1,
,AT5G54770.1,,,AT4G17810.1,,,AT4G11650.1,,,,,,AT2G29460.1,
,AT1G63880.1,,,AT3G47250.1,,,AT3G28917.1,,,,,,AT5G40590.1,
,ATCG00220.1,,,AT2G41090.1,,,AT4G22460.1,,,,,,AT2G36110.1,
,AT5G61270.2,,,AT2G35370.1,,,AT2G37130.1,,,,,,AT2G39530.1,
,ATCG00910.1,,,AT2G05520.3,,,AT5G02000.1,,,,,,AT4G15330.1,
,AT5G54710.1,,,AT5G13730.1,,,AT5G50700.1,,,,,,AT1G29290.1,
,AT2G06520.1,,,AT3G55800.1,,,AT4G14020.1,,,,,,AT5G27600.1,
,ATCG00710.1,,,AT2G04039.1,,,AT1G02790.1,,,,,,AT3G08860.1,
,AT4G17090.1,,,AT2G04039.3,,,AT2G29490.1,,,,,,AT2G24720.1,
,AT1G06460.1,,,AT1G31330.1,,,AT5G47550.1,,,,,,AT1G60750.1,
,AT2G26740.1,,,AT4G21445.1,,,AT2G05410.1,,,,,,AT1G29740.1,
,AT4G21870.1,,,AT2G04039.2,,,AT2G22942.1,,,,,,AT4G22610.1,
,ATCG00140.1,,,AT2G05520.1,,,AT2G28755.1,,,,,,AT5G13330.1,
,AT4G28080.1,,,AT2G05520.5,,,AT3G17520.1,,,,,,AT1G44130.1,
,AT4G19380.1,,,AT3G28080.1,,,AT1G03790.1,,,,,,AT1G78340.1,
,AT5G56850.2,,,AT3G47250.3,,,AT1G25988.1,,,,,,AT1G57630.1,
,AT2G45560.1,,,AT3G47250.2,,,AT5G60910.2,,,,,,AT5G26920.2,
,AT4G24972.1,,,AT1G15820.1,,,AT4G01970.1,,,,,,AT5G26920.1,
,AT4G23210.1,,,AT3G28080.3,,,AT3G12230.1,,,,,,AT5G22300.1,
,AT4G23210.3,,,AT2G05520.6,,,AT3G09380.1,,,,,,AT1G32960.1,
,ATCG00330.1,,,AT2G05520.4,,,AT4G17030.1,,,,,,AT2G37770.1,
,AT3G47070.1,,,AT4G23200.1,,,AT4G01060.2,,,,,,AT2G37770.2,
,AT1G24147.1,,,AT2G05520.2,,,AT4G01060.3,,,,,,AT1G48000.1,
,AT1G55370.2,,,AT1G54820.1,,,AT4G01060.1,,,,,,AT5G54000.1,
,AT2G32690.4,,,AT5G64040.1,,,AT3G54070.1,,,,,,AT5G24110.1,
,AT2G32690.1,,,AT4G21280.1,,,AT4G31380.1,,,,,,AT1G29100.1,
,AT2G32690.2,,,AT4G21280.2,,,AT2G39980.1,,,,,,AT3G18250.1,
,AT2G32690.3,,,AT5G64040.2,,,AT2G22940.1,,,,,,AT1G19250.1,
,AT1G75240.1,,,AT1G47395.1,,,AT2G47040.1,,,,,,AT5G48430.1,
,AT3G47430.1,,,AT5G01530.1,,,AT2G17850.1,,,,,,,
,AT1G29395.1,,,AT4G38970.1,,,AT5G27200.1,,,,,,,
,AT1G03630.2,,,AT4G38970.2,,,AT2G43610.1,,,,,,,
,AT1G03630.1,,,AT1G18730.2,,,AT3G23120.1,,,,,,,
,AT4G02420.1,,,AT5G33370.1,,,AT3G61400.1,,,,,,,
,AT5G02940.1,,,AT5G33370.2,,,AT2G22950.1,,,,,,,
,AT3G62750.1,,,AT1G18730.4,,,AT3G26820.1,,,,,,,
,AT5G41740.1,,,AT4G37925.1,,,AT5G17523.1,,,,,,,
,ATCG00880.1,,,AT1G18730.1,,,AT5G52400.1,,,,,,,
,AT4G01460.1,,,AT2G38540.1,,,AT1G65810.1,,,,,,,
,AT4G23210.2,,,AT3G28270.2,,,AT1G65810.2,,,,,,,
,AT5G51110.2,,,AT3G28270.1,,,AT3G22240.1,,,,,,,
,AT5G51110.1,,,AT1G56520.1,,,,,,,,,,
,ATCG00300.1,,,AT1G56520.2,,,,,,,,,,
,AT3G61080.1,,,AT2G07706.1,,,,,,,,,,
,AT5G36120.1,,,AT1G18730.3,,,,,,,,,,
,AT5G17170.2,,,AT4G02770.1,,,,,,,,,,
,AT5G41740.2,,,AT2G14560.2,,,,,,,,,,
,AT5G17170.1,,,AT4G19530.1,,,,,,,,,,
,AT4G00165.1,,,AT1G54040.2,,,,,,,,,,
,AT2G05310.1,,,AT1G67740.1,,,,,,,,,,
,AT3G49110.1,,,AT5G59130.1,,,,,,,,,,
,AT4G09650.1,,,AT5G59130.2,,,,,,,,,,
,AT4G15620.1,,,AT1G66940.1,,,,,,,,,,
,AT4G18810.1,,,AT1G12340.1,,,,,,,,,,
,ATCG00930.1,,,AT2G36792.1,,,,,,,,,,
,AT2G45560.2,,,AT1G66940.2,,,,,,,,,,
,ATCG00720.1,,,AT1G66940.3,,,,,,,,,,
,ATCG00130.1,,,AT3G63140.1,,,,,,,,,,
,AT3G56940.2,,,AT1G68010.1,,,,,,,,,,
,AT3G56940.1,,,AT1G68010.2,,,,,,,,,,
,ATCG00700.1,,,AT4G03280.2,,,,,,,,,,
,AT2G23130.2,,,AT1G42970.1,,,,,,,,,,
,AT5G65410.1,,,AT4G00970.1,,,,,,,,,,
,AT5G19220.1,,,AT1G33811.1,,,,,,,,,,
,AT2G22980.2,,,AT2G44920.2,,,,,,,,,,
,AT1G23090.1,,,AT3G24140.1,,,,,,,,,,
,ATCG00600.1,,,AT1G14150.2,,,,,,,,,,
,AT1G32900.1,,,AT4G13810.2,,,,,,,,,,
,AT3G26165.1,,,AT2G44920.1,,,,,,,,,,
,ATCG00730.1,,,AT4G37980.2,,,,,,,,,,
,AT3G02730.1,,,AT2G36792.2,,,,,,,,,,
,AT3G31980.1,,,AT1G65190.1,,,,,,,,,,
,AT5G04190.1,,,AT2G36790.1,,,,,,,,,,
,AT1G24020.1,,,AT2G07760.1,,,,,,,,,,
,AT1G24020.2,,,AT4G03280.1,,,,,,,,,,
,AT2G22980.3,,,AT1G68520.1,,,,,,,,,,
,AT2G22980.1,,,AT3G25820.1,,,,,,,,,,
,AT2G22980.4,,,AT3G48310.1,,,,,,,,,,
,AT1G80130.1,,,AT4G38840.1,,,,,,,,,,
,AT4G13493.1,,,AT2G07699.1,,,,,,,,,,
,AT3G51895.1,,,AT2G46820.1,,,,,,,,,,
,AT4G18810.2,,,AT2G46820.2,,,,,,,,,,
,AT1G78995.1,,,AT1G68780.1,,,,,,,,,,
,AT1G49975.1,,,AT5G58390.1,,,,,,,,,,
,AT5G23120.1,,,AT4G13810.1,,,,,,,,,,
,AT3G53800.1,,,AT5G61160.1,,,,,,,,,,
,AT1G70830.1,,,AT5G02160.1,,,,,,,,,,
,AT1G70830.4,,,AT1G54040.1,,,,,,,,,,
,AT1G70830.2,,,AT5G60970.1,,,,,,,,,,
,AT5G28500.1,,,AT4G22505.1,,,,,,,,,,
,AT4G12290.1,,,ATCG00020.1,,,,,,,,,,
,AT2G45740.1,,,AT1G75690.1,,,,,,,,,,
,AT4G23170.1,,,AT1G07180.1,,,,,,,,,,
,AT2G45740.2,,,AT5G54630.1,,,,,,,,,,
,AT2G45740.3,,,AT5G54370.1,,,,,,,,,,
,AT3G01060.3,,,AT1G29670.1,,,,,,,,,,
,AT4G28680.4,,,AT4G09200.1,,,,,,,,,,
,AT4G28680.1,,,AT5G53490.1,,,,,,,,,,
,AT4G28680.2,,,AT5G53490.3,,,,,,,,,,
,AT4G28680.3,,,AT5G53490.2,,,,,,,,,,
,AT3G01060.2,,,AT1G03600.1,,,,,,,,,,
,AT3G01060.1,,,AT3G22231.1,,,,,,,,,,
,AT4G01150.1,,,AT5G45830.1,,,,,,,,,,
,AT4G01150.2,,,AT3G25770.1,,,,,,,,,,
,ATCG00120.1,,,AT1G31690.1,,,,,,,,,,
,AT1G22590.1,,,AT1G63360.1,,,,,,,,,,
,AT3G55110.1,,,AT1G58602.2,,,,,,,,,,
,AT2G01590.1,,,AT1G14880.1,,,,,,,,,,
,AT1G44446.3,,,AT2G29090.1,,,,,,,,,,
,AT5G28500.2,,,AT2G29090.2,,,,,,,,,,
,AT1G44446.1,,,AT3G26180.2,,,,,,,,,,
,AT4G12970.1,,,AT5G10250.1,,,,,,,,,,
,AT1G44446.2,,,AT2G26500.1,,,,,,,,,,
,AT5G15310.2,,,AT2G26500.3,,,,,,,,,,
,AT5G46690.1,,,AT1G58602.1,,,,,,,,,,
,AT1G55480.1,,,AT2G26500.2,,,,,,,,,,
,AT4G04330.1,,,AT5G23060.1,,,,,,,,,,
,AT1G68590.2,,,AT3G62410.1,,,,,,,,,,
,AT1G68590.1,,,AT5G61120.1,,,,,,,,,,
,AT1G51400.1,,,AT3G47750.1,,,,,,,,,,
,AT5G15310.1,,,AT5G60880.1,,,,,,,,,,
,ATCG00950.1,,,AT3G55330.1,,,,,,,,,,
,AT5G62140.1,,,AT1G25440.1,,,,,,,,,,
,AT1G04350.1,,,AT1G66980.1,,,,,,,,,,
,AT2G24270.4,,,AT5G61520.1,,,,,,,,,,
,AT1G61190.1,,,AT4G10060.1,,,,,,,,,,
,AT1G66910.1,,,AT2G19360.1,,,,,,,,,,
,AT2G03980.1,,,AT1G29440.1,,,,,,,,,,
,AT5G20935.1,,,AT4G23030.1,,,,,,,,,,
,ATCG01080.1,,,AT2G38240.1,,,,,,,,,,
,AT5G35630.3,,,AT3G26650.1,,,,,,,,,,
,AT2G24270.3,,,AT1G09340.1,,,,,,,,,,
,AT5G35630.2,,,AT1G13650.2,,,,,,,,,,
,AT5G35630.1,,,AT1G58561.1,,,,,,,,,,
,AT2G24270.2,,,AT3G21950.1,,,,,,,,,,
,AT1G52870.2,,,AT2G37025.2,,,,,,,,,,
,AT2G24270.1,,,AT3G25820.2,,,,,,,,,,
,AT1G07440.1,,,AT2G15040.1,,,,,,,,,,
,AT3G21760.1,,,,,,,,,,,,,
,AT1G52870.1,,,,,,,,,,,,,
,AT1G55370.1,,,,,,,,,,,,,
,AT3G51510.1,,,,,,,,,,,,,
,ATCG01070.1,,,,,,,,,,,,,
,AT1G49010.1,,,,,,,,,,,,,
,AT1G51402.1,,,,,,,,,,,,,
,AT1G66920.2,,,,,,,,,,,,,
,AT1G18810.1,,,,,,,,,,,,,
,ATCG00110.1,,,,,,,,,,,,,
,AT4G15530.3,,,,,,,,,,,,,
,ATCG00610.1,,,,,,,,,,,,,
,AT1G07440.2,,,,,,,,,,,,,
,AT1G65230.1,,,,,,,,,,,,,
,AT4G15530.5,,,,,,,,,,,,,
,AT3G47650.1,,,,,,,,,,,,,
,AT4G15530.4,,,,,,,,,,,,,
,AT4G15530.6,,,,,,,,,,,,,
,AT4G15530.1,,,,,,,,,,,,,
,AT3G15360.1,,,,,,,,,,,,,
,AT3G21755.1,,,,,,,,,,,,,
,AT3G18890.1,,,,,,,,,,,,,
,AT4G13494.1,,,,,,,,,,,,,
,AT1G72645.1,,,,,,,,,,,,,
,AT5G58140.4,,,,,,,,,,,,,
,AT3G21755.2,,,,,,,,,,,,,
,ATCG00870.1,,,,,,,,,,,,,
,AT4G12310.1,,,,,,,,,,,,,
,AT2G23840.1,,,,,,,,,,,,,
,AT4G13570.1,,,,,,,,,,,,,
,AT3G52720.1,,,,,,,,,,,,,
,AT4G15530.2,,,,,,,,,,,,,
,AT5G67385.1,,,,,,,,,,,,,
,AT1G21130.2,,,,,,,,,,,,,
,AT4G19520.1,,,,,,,,,,,,,
,AT1G33720.1,,,,,,,,,,,,,
,AT2G28605.1,,,,,,,,,,,,,
,AT1G66920.1,,,,,,,,,,,,,
,AT4G18290.1,,,,,,,,,,,,,
,AT4G22200.1,,,,,,,,,,,,,
,AT4G17470.1,,,,,,,,,,,,,
,AT4G17470.2,,,,,,,,,,,,,
,AT4G17470.3,,,,,,,,,,,,,
,ATCG00840.1,,,,,,,,,,,,,
,AT1G17420.1,,,,,,,,,,,,,
,AT4G21750.2,,,,,,,,,,,,,
,AT4G16870.1,,,,,,,,,,,,,
,AT4G21750.1,,,,,,,,,,,,,
,AT2G42170.1,,,,,,,,,,,,,
,AT1G70830.3,,,,,,,,,,,,,
,AT1G76960.1,,,,,,,,,,,,,
,AT5G19221.1,,,,,,,,,,,,,
,AT1G45474.1,,,,,,,,,,,,,
,AT1G23740.1,,,,,,,,,,,,,
,AT5G06980.2,,,,,,,,,,,,,
,AT1G77490.1,,,,,,,,,,,,,
,AT4G23990.1,,,,,,,,,,,,,
,AT4G13572.1,,,,,,,,,,,,,
,AT5G06980.1,,,,,,,,,,,,,
,AT5G06980.4,,,,,,,,,,,,,
,AT3G52720.2,,,,,,,,,,,,,
,AT4G22753.1,,,,,,,,,,,,,
,AT5G16030.1,,,,,,,,,,,,,
,AT5G16030.2,,,,,,,,,,,,,
,AT5G16030.3,,,,,,,,,,,,,
,AT1G45474.2,,,,,,,,,,,,,
,AT4G16410.1,,,,,,,,,,,,,
,AT5G47330.1,,,,,,,,,,,,,
,AT4G13900.1,,,,,,,,,,,,,
,AT1G26761.1,,,,,,,,,,,,,
,AT2G26330.1,,,,,,,,,,,,,
,AT5G06980.3,,,,,,,,,,,,,
,AT1G21130.1,,,,,,,,,,,,,
,AT5G43750.1,,,,,,,,,,,,,
,AT4G37930.1,,,,,,,,,,,,,
,ATCG00150.1,,,,,,,,,,,,,
,AT3G61870.1,,,,,,,,,,,,,
,AT4G27440.1,,,,,,,,,,,,,
,AT4G27440.2,,,,,,,,,,,,,
,AT1G70830.5,,,,,,,,,,,,,
,AT3G21790.1,,,,,,,,,,,,,
,AT3G25690.3,,,,,,,,,,,,,
,AT3G12345.1,,,,,,,,,,,,,
,AT3G25690.1,,,,,,,,,,,,,
,AT1G18400.1,,,,,,,,,,,,,
,AT3G59250.1,,,,,,,,,,,,,
,AT1G49130.1,,,,,,,,,,,,,
,AT3G61870.2,,,,,,,,,,,,,
,AT3G46530.1,,,,,,,,,,,,,
,AT4G32260.1,,,,,,,,,,,,,
,ATCG00620.1,,,,,,,,,,,,,
,AT5G57345.1,,,,,,,,,,,,,
,AT5G39530.1,,,,,,,,,,,,,
,AT3G25690.2,,,,,,,,,,,,,
,AT2G35260.1,,,,,,,,,,,,,
,AT5G43740.1,,,,,,,,,,,,,
,AT5G43740.2,,,,,,,,,,,,,
,AT3G01480.1,,,,,,,,,,,,,
,AT5G55450.1,,,,,,,,,,,,,
,AT3G26310.1,,,,,,,,,,,,,
,AT5G61410.1,,,,,,,,,,,,,
,AT5G61410.2,,,,,,,,,,,,,
,AT5G25610.1,,,,,,,,,,,,,
,AT3G01480.2,,,,,,,,,,,,,
,AT1G74670.1,,,,,,,,,,,,,
,AT2G43560.1,,,,,,,,,,,,,
,AT5G21100.1,,,,,,,,,,,,,
,AT4G26150.1,,,,,,,,,,,,,
,AT1G78170.1,,,,,,,,,,,,,
,AT2G21210.1,,,,,,,,,,,,,
,AT5G35480.1,,,,,,,,,,,,,
,ATCG01010.1,,,,,,,,,,,,,
,AT1G75350.1,,,,,,,,,,,,,
,AT3G59400.1,,,,,,,,,,,,,
,AT2G46870.1,,,,,,,,,,,,,
,AT2G01918.1,,,,,,,,,,,,,
,AT2G45850.1,,,,,,,,,,,,,
,AT2G29120.1,,,,,,,,,,,,,
,AT2G45850.2,,,,,,,,,,,,,
,AT1G60950.1,,,,,,,,,,,,,
,AT1G70700.2,,,,,,,,,,,,,
,AT5G43470.1,,,,,,,,,,,,,
,AT5G43470.2,,,,,,,,,,,,,
,AT1G74730.1,,,,,,,,,,,,,
,AT2G09910.1,,,,,,,,,,,,,
,AT2G09865.1,,,,,,,,,,,,,
,AT5G54720.1,,,,,,,,,,,,,
,AT5G54610.1,,,,,,,,,,,,,
,AT1G70700.1,,,,,,,,,,,,,
,AT1G55260.1,,,,,,,,,,,,,
,AT1G05190.1,,,,,,,,,,,,,
,AT1G22590.2,,,,,,,,,,,,,
,ATCG01040.1,,,,,,,,,,,,,
,AT2G34620.1,,,,,,,,,,,,,
,ATCG01090.1,,,,,,,,,,,,,
,AT1G49130.2,,,,,,,,,,,,,
,AT2G15090.1,,,,,,,,,,,,,
,AT4G22890.2,,,,,,,,,,,,,
,AT1G55260.2,,,,,,,,,,,,,
,AT5G23240.1,,,,,,,,,,,,,
,AT1G73870.1,,,,,,,,,,,,,
,ATCG00470.1,,,,,,,,,,,,,
,AT4G16890.1,,,,,,,,,,,,,
,AT1G07280.1,,,,,,,,,,,,,
,AT2G29630.1,,,,,,,,,,,,,
,AT1G07280.2,,,,,,,,,,,,,
,AT4G34950.1,,,,,,,,,,,,,
,AT1G49860.1,,,,,,,,,,,,,
,AT1G66130.1,,,,,,,,,,,,,
,AT1G71500.1,,,,,,,,,,,,,
,AT3G26230.1,,,,,,,,,,,,,
,AT1G07280.3,,,,,,,,,,,,,
,AT5G38520.1,,,,,,,,,,,,,
,AT5G38520.2,,,,,,,,,,,,,
,AT2G29630.3,,,,,,,,,,,,,
,AT4G12830.1,,,,,,,,,,,,,
,AT4G22890.1,,,,,,,,,,,,,
,AT3G26060.2,,,,,,,,,,,,,
,AT4G22890.3,,,,,,,,,,,,,
,AT3G26060.1,,,,,,,,,,,,,
,AT4G22890.5,,,,,,,,,,,,,
,AT2G29630.2,,,,,,,,,,,,,
,AT4G22890.4,,,,,,,,,,,,,
,AT1G52000.1,,,,,,,,,,,,,
,ATCG00900.1,,,,,,,,,,,,,
,ATCG01050.1,,,,,,,,,,,,,
,AT5G11610.2,,,,,,,,,,,,,
,AT3G45520.1,,,,,,,,,,,,,
,AT5G11610.1,,,,,,,,,,,,,
,AT2G29170.1,,,,,,,,,,,,,
,ATCG01100.1,,,,,,,,,,,,,
,AT2G35130.2,,,,,,,,,,,,,
,AT2G29650.1,,,,,,,,,,,,,
,AT2G29650.2,,,,,,,,,,,,,
,AT2G29650.3,,,,,,,,,,,,,
,ATCG00480.1,,,,,,,,,,,,,
,AT1G13245.1,,,,,,,,,,,,,
,AT1G76110.1,,,,,,,,,,,,,
,AT2G35130.1,,,,,,,,,,,,,
,AT5G25130.1,,,,,,,,,,,,,
,AT1G35420.1,,,,,,,,,,,,,
,AT1G35420.2,,,,,,,,,,,,,
,AT4G10120.2,,,,,,,,,,,,,
,AT4G10120.1,,,,,,,,,,,,,
,AT3G47290.1,,,,,,,,,,,,,
,AT2G03420.1,,,,,,,,,,,,,
,AT4G25750.1,,,,,,,,,,,,,
,AT5G13630.1,,,,,,,,,,,,,
,AT5G13630.2,,,,,,,,,,,,,
,AT1G32540.2,,,,,,,,,,,,,
,AT1G01320.1,,,,,,,,,,,,,
,AT1G01320.2,,,,,,,,,,,,,
,AT1G50732.1,,,,,,,,,,,,,
,AT1G72640.2,,,,,,,,,,,,,
,ATCG01020.1,,,,,,,,,,,,,
,AT1G72640.1,,,,,,,,,,,,,
,AT5G46330.1,,,,,,,,,,,,,
,AT2G36145.1,,,,,,,,,,,,,
,AT5G19940.1,,,,,,,,,,,,,
,AT5G41050.1,,,,,,,,,,,,,
,AT5G19940.2,,,,,,,,,,,,,
,AT3G16370.1,,,,,,,,,,,,,
,AT4G34190.1,,,,,,,,,,,,,
,AT1G74470.1,,,,,,,,,,,,,
,AT4G36850.1,,,,,,,,,,,,,
,AT5G47610.1,,,,,,,,,,,,,
,AT2G35830.2,,,,,,,,,,,,,
,AT1G07450.1,,,,,,,,,,,,,
,AT1G21270.1,,,,,,,,,,,,,
,AT3G55250.1,,,,,,,,,,,,,
,AT2G29340.3,,,,,,,,,,,,,
,AT2G30424.1,,,,,,,,,,,,,
,AT4G32340.1,,,,,,,,,,,,,
,AT4G30250.1,,,,,,,,,,,,,
,AT2G35830.1,,,,,,,,,,,,,
,AT1G32540.1,,,,,,,,,,,,,
,AT1G32540.3,,,,,,,,,,,,,
,AT1G56500.1,,,,,,,,,,,,,
,AT1G77090.1,,,,,,,,,,,,,
,ATCG00410.1,,,,,,,,,,,,,
,AT1G14440.2,,,,,,,,,,,,,
,AT1G04110.1,,,,,,,,,,,,,
,AT2G29340.1,,,,,,,,,,,,,
,AT2G29340.2,,,,,,,,,,,,,
,AT2G29280.1,,,,,,,,,,,,,
,AT5G27290.1,,,,,,,,,,,,,
,AT1G27940.1,,,,,,,,,,,,,
,AT1G14440.1,,,,,,,,,,,,,
,AT5G44870.1,,,,,,,,,,,,,
,ATCG01210.1,,,,,,,,,,,,,
,AT5G35777.1,,,,,,,,,,,,,
,AT2G34510.1,,,,,,,,,,,,,
,AT4G34830.1,,,,,,,,,,,,,
,AT4G25960.1,,,,,,,,,,,,,
,AT1G14345.1,,,,,,,,,,,,,
,AT3G21870.1,,,,,,,,,,,,,
,AT4G23130.1,,,,,,,,,,,,,
,AT4G23130.2,,,,,,,,,,,,,
,AT3G55630.2,,,,,,,,,,,,,
,ATCG00590.1,,,,,,,,,,,,,
,AT3G55630.3,,,,,,,,,,,,,
,AT5G27290.2,,,,,,,,,,,,,
,AT3G01490.1,,,,,,,,,,,,,
