label	file	group	cond
COL00_SHOOT_GC_3	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
COL00_SHOOT_GC_4	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
RBOHD_ROOT_FL_1	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
RBOHD_ROOT_FL_2	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
RBOHD_ROOT_FL_3	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
RBOHD_ROOT_FL_4	HiSat_APEX5_counts_out_V3.txt	ROOT	FL
RBOHD_ROOT_GC_1	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
RBOHD_ROOT_GC_2	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
RBOHD_ROOT_GC_3	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
RBOHD_ROOT_GC_4	HiSat_APEX5_counts_out_V3.txt	ROOT	GC
RBOHD_SHOOT_FL_1	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
RBOHD_SHOOT_FL_2	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
RBOHD_SHOOT_FL_3	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
RBOHD_SHOOT_FL_4	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL
RBOHD_SHOOT_GC_1	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
RBOHD_SHOOT_GC_2	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
RBOHD_SHOOT_GC_3	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
RBOHD_SHOOT_GC_4	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC
