SampleLabel	File	Group	Cond	Genotype	Location
COL00.SHOOT.FL.3	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	COL00	B6
COL00.SHOOT.FL.4	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	COL00	A1
COL00.SHOOT.GC.1	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	COL00	C3
COL00.SHOOT.GC.2	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	COL00	B9
COL00.SHOOT.GC.3	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	COL00	B6
COL00.SHOOT.GC.4	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	COL00	A1
RBOHD.ROOT.FL.1	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	RBOHD	C8
RBOHD.ROOT.FL.2	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	RBOHD	C4
RBOHD.ROOT.FL.3	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	RBOHD	B5
RBOHD.ROOT.FL.4	HiSat_APEX5_counts_out_V3.txt	ROOT	FL	RBOHD	B2
RBOHD.ROOT.GC.1	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	RBOHD	C8
RBOHD.ROOT.GC.2	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	RBOHD	C4
RBOHD.ROOT.GC.3	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	RBOHD	B5
RBOHD.ROOT.GC.4	HiSat_APEX5_counts_out_V3.txt	ROOT	GC	RBOHD	B2
RBOHD.SHOOT.FL.1	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	RBOHD	C8
RBOHD.SHOOT.FL.2	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	RBOHD	C4
RBOHD.SHOOT.FL.3	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	RBOHD	B5
RBOHD.SHOOT.FL.4	HiSat_APEX5_counts_out_V3.txt	SHOOT	FL	RBOHD	B2
RBOHD.SHOOT.GC.1	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	RBOHD	C8
RBOHD.SHOOT.GC.2	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	RBOHD	C4
RBOHD.SHOOT.GC.3	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	RBOHD	B5
RBOHD.SHOOT.GC.4	HiSat_APEX5_counts_out_V3.txt	SHOOT	GC	RBOHD	B2
