SampleLabelV1,File,Group,Location,Cond,Genotype,SampleLabel_V2,Rep
B7_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,B7,GC,CAX23,B7_GC_Root_CAX23,4
B7_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B7,GC,CAX23,B7_GC_Shoot_CAX23,4
A1_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,A1,FL,COL00,A1_FL_Root_COL00,1
A1_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,A1,FL,COL00,A1_FL_Shoot_COL00,1
B6_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,B6,FL,COL00,B6_FL_Root_COL00,2
B6_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B6,FL,COL00,B6_FL_Shoot_COL00,2
B9_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,B9,FL,COL00,B9_FL_Root_COL00,3
B9_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B9,FL,COL00,B9_FL_Shoot_COL00,3
C3_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,C3,FL,COL00,C3_FL_Root_COL00,4
C3_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,C3,FL,COL00,C3_FL_Shoot_COL00,4
A1_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,A1,GC,COL00,A1_GC_Root_COL00,1
A1_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,A1,GC,COL00,A1_GC_Shoot_COL00,1
B6_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,B6,GC,COL00,B6_GC_Root_COL00,2
B6_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B6,GC,COL00,B6_GC_Shoot_COL00,2
B9_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,B9,GC,COL00,B9_GC_Root_COL00,3
B9_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B9,GC,COL00,B9_GC_Shoot_COL00,3
C3_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,C3,GC,COL00,C3_GC_Root_COL00,4
C3_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,C3,GC,COL00,C3_GC_Shoot_COL00,4
B2_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,B2,FL,RBOHD,B2_FL_Root_RBOHD,1
B2_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B2,FL,RBOHD,B2_FL_Shoot_RBOHD,1
B5_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,B5,FL,RBOHD,B5_FL_Root_RBOHD,2
B5_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B5,FL,RBOHD,B5_FL_Shoot_RBOHD,2
C4_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,C4,FL,RBOHD,C4_FL_Root_RBOHD,3
C4_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,C4,FL,RBOHD,C4_FL_Shoot_RBOHD,3
C8_FL_Root,APEX5_HiSeq_HiSat_counts_out,Root,C8,FL,RBOHD,C8_FL_Root_RBOHD,4
C8_FL_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,C8,FL,RBOHD,C8_FL_Shoot_RBOHD,4
B2_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,B2,GC,RBOHD,B2_GC_Root_RBOHD,1
B2_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B2,GC,RBOHD,B2_GC_Shoot_RBOHD,1
B5_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,B5,GC,RBOHD,B5_GC_Root_RBOHD,2
B5_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,B5,GC,RBOHD,B5_GC_Shoot_RBOHD,2
C4_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,C4,GC,RBOHD,C4_GC_Root_RBOHD,3
C4_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,C4,GC,RBOHD,C4_GC_Shoot_RBOHD,3
C8_GC_Root,APEX5_HiSeq_HiSat_counts_out,Root,C8,GC,RBOHD,C8_GC_Root_RBOHD,4
C8_GC_Shoot,APEX5_HiSeq_HiSat_counts_out,Shoot,C8,GC,RBOHD,C8_GC_Shoot_RBOHD,4
