Location,Treatment,Genotype,image,root_name,predicted_genotype,p_assigned_label,mislabel_score
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_4,rbohD,0.10612500000000004,0.893875
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_4_day4,Col-0,0.10831150793650797,0.891688492063492
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_6_day4,cax23,0.10851587301587304,0.8914841269841269
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_11_day4,Col-0,0.10852579365079362,0.8914742063492064
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_6_day4,cax22,0.10927976190476194,0.890720238095238
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_10_c10_day2,Col-0,0.11046296296296297,0.889537037037037
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_1_day4,rbohD,0.11222619047619044,0.8877738095238096
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_3_day4,Col-0,0.11266666666666664,0.8873333333333333
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_7_day4,rbohD,0.11338888888888891,0.8866111111111111
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_5_day4,rbohD,0.1139867724867725,0.8860132275132275
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_6_day4,Col-0,0.11422883597883597,0.8857711640211641
B9,GC,Col-0,B9_GC_Col_day4_3.rsml,B9_GC_Col_7_day4,cax22,0.11445436507936511,0.8855456349206349
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_9_day4,rbohD,0.11467328042328047,0.8853267195767195
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_9_day4,cax23,0.11665343915343916,0.8833465608465608
A5,GC,Col-0,A5_GC_Col_day4_1.rsml,A5_GC_Col_6_day4,rbohD,0.1170489417989418,0.8829510582010582
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_7_day4,rbohD,0.11708134920634922,0.8829186507936508
C1,GC,cax23,C1_GC_cax23_day4.rsml,cax23_GC_C1_2_6,cax22,0.11864087301587299,0.881359126984127
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_10_day4,cax22,0.11876190476190478,0.8812380952380953
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_5_day4,Col-0,0.11880886243386247,0.8811911375661375
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_2_day4,cax23,0.11898412698412698,0.881015873015873
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_10_day4,cax22,0.11947288359788362,0.8805271164021163
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_2_day4,cax22,0.12027579365079372,0.8797242063492063
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_8_day4,cax22,0.1237777777777778,0.8762222222222222
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_4_day4,rbohD,0.1256488095238095,0.8743511904761905
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_11_day4,cax23,0.1292387566137566,0.8707612433862434
C6,GC,cax23,C6_GC_cax23_day4_5.rsml,C6_GC_cax23_10_day4,Col-0,0.12983333333333336,0.8701666666666666
A10,GC,cax22,A10_GC_cax22_day4.rsml,cax22_GC_A10_8,cax23,0.13022222222222227,0.8697777777777778
B6,FL,Col-0,B6_FL_Col_day4_2.rsml,B6_FL_Col_6_day4,cax23,0.13088492063492066,0.8691150793650794
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_8_day4,Col-0,0.13224206349206352,0.8677579365079364
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_7_day4,cax23,0.132640873015873,0.867359126984127
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_7_day4,rbohD,0.13301190476190475,0.8669880952380953
A10,GC,cax22,A10_GC_cax22_day4.rsml,cax22_GC_A10_5,rbohD,0.13360966810966807,0.8663903318903319
C7,FL,Col-0,C7_FL_Col_day4_5.rsml,C7_FL_Col_1_day4,cax23,0.13744246031746032,0.8625575396825397
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_7_day4,cax23,0.13833333333333336,0.8616666666666666
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_1_day4,rbohD,0.13957738095238098,0.860422619047619
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_11_day4,rbohD,0.14055952380952386,0.8594404761904761
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_7_day4,rbohD,0.1408611111111111,0.8591388888888889
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_8,rbohD,0.14123214285714286,0.8587678571428572
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_9_day4,cax22,0.14212698412698418,0.8578730158730158
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_1_day4,rbohD,0.14334126984126982,0.8566587301587302
A3,FL,cax22,A3_FL_cax22_day4_1.rsml,A3_FL_cax22_2_day4,Col-0,0.1443769841269841,0.8556230158730159
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_4_day4,cax22,0.14516468253968254,0.8548353174603175
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22-_FL_A10_day2_7,Col-0,0.14598412698412697,0.854015873015873
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_9_day4,cax23,0.14642261904761905,0.853577380952381
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_10_day4,cax23,0.14688690476190477,0.8531130952380952
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_6_day4,rbohD,0.14716931216931214,0.8528306878306878
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_4_day4,rbohD,0.14722354497354492,0.852776455026455
A10,GC,cax22,A10_GC_cax22_day4.rsml,cax22_GC_A10_11,cax23,0.14751587301587304,0.852484126984127
A3,FL,cax22,A3_FL_cax22_day4_1.rsml,A3_FL_cax22_3_day4,Col-0,0.14929894179894182,0.8507010582010581
C5,FL,cax22,C5_FL_cax22_day4_5.rsml,C5_FL_cax22_1_day4,cax23,0.1497453703703704,0.8502546296296296
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_10_day4,cax23,0.14986111111111106,0.850138888888889
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_8_day4,cax22,0.14989285714285708,0.850107142857143
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_8_day4,cax22,0.15013095238095236,0.8498690476190476
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_5_day4,cax23,0.15250000000000008,0.8474999999999999
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_10_day4,cax23,0.15296626984126985,0.8470337301587302
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_3_day4,rbohD,0.1533174603174603,0.8466825396825397
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_1_day4,rbohD,0.15522023809523816,0.8447797619047619
A10,GC,cax22,A10_GC_cax22_day4.rsml,cax22_GC_A10_9,cax23,0.15645436507936508,0.843545634920635
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_4_day4,rbohD,0.156547619047619,0.8434523809523811
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_7_day4,cax22,0.1567063492063492,0.8432936507936508
A3,GC,cax22,A3_GC_cax22_day4.rsml,A3_GC_cax22_1_day4,cax23,0.15774801587301582,0.8422519841269842
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_3_day2,cax23,0.1586269841269842,0.8413730158730158
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_6_day4,rbohD,0.16071825396825395,0.8392817460317461
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_1_day4,cax22,0.16095039682539677,0.8390496031746032
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_10_day4,rbohD,0.16172222222222227,0.8382777777777777
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_2_day4,cax22,0.1628928571428571,0.8371071428571429
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_4_day4,cax23,0.163672619047619,0.836327380952381
C5,GC,cax22,C5_GC_cax22_day4.rsml,C5_GC_cax22_4_day4,cax23,0.16403373015873016,0.8359662698412699
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_2_day4,cax22,0.16529365079365077,0.8347063492063492
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_5_day4,Col-0,0.16572354497354505,0.834276455026455
B6,GC,Col-0,B6_GC_Col_day4_2.rsml,B6_GC_Col_2_day4,cax23,0.1667281746031746,0.8332718253968254
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22_FL_A10_day2_2,cax23,0.1673425925925926,0.8326574074074073
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_4_day4,Col-0,0.16736507936507933,0.8326349206349206
A6,GC,rbohD,A6_GC_rbohD_day4_1.rsml,A6_GC_arbohD_9_day4,Col-0,0.16742261904761915,0.8325773809523809
C7,GC,Col-0,C7_GC_Col_day4_5.rsml,C7_GC_Col_1_day4,rbohD,0.16744973544973546,0.8325502645502645
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_5_day4,Col-0,0.16920833333333338,0.8307916666666666
A7,FL,cax22,A7_FL_cax22_day4.rsml,A7_GC_cax22_8_day4,cax23,0.16974007936507937,0.8302599206349206
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_8_day4,cax23,0.16974007936507937,0.8302599206349206
B4,GC,cax22,B4_GC_cax22_day4.rsml,B4_GC_cax22_4_day4,Col-0,0.17167063492063486,0.8283293650793652
C5,GC,cax22,C5_GC_cax22_day4.rsml,C5_GC_cax22_7_day4,cax23,0.17190873015873015,0.8280912698412699
A10,FL,cax22,A10_FL_cax22_day4.rsml,cax22_FL_A10_day2_1,rbohD,0.17224867724867726,0.8277513227513227
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_9_day2,Col-0,0.17279563492063488,0.8272043650793651
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_10_day4,cax23,0.17282936507936508,0.8271706349206349
A3,GC,cax22,A3_GC_cax22_day4.rsml,A3_GC_cax22_8_day4,Col-0,0.1745238095238095,0.8254761904761905
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_7_day4,cax22,0.17465211640211636,0.8253478835978836
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_4_day4,Col-0,0.1756805555555555,0.8243194444444445
A7,FL,cax22,A7_FL_cax22_day4.rsml,A7_GC_cax22_4_day4,Col-0,0.1756805555555555,0.8243194444444445
A8,FL,cax23,A8_FL_cax23_day4_2.rsml,A8_FL_cax23_7_day4,cax22,0.17624007936507938,0.8237599206349207
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_2_day4,rbohD,0.17628769841269842,0.8237123015873016
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_8_day4,rbohD,0.17664682539682536,0.8233531746031746
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_11_day4,cax22,0.17719047619047615,0.8228095238095239
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_3,rbohD,0.17789880952380957,0.8221011904761905
A3,FL,cax22,A3_FL_cax22_day4_1.rsml,A3_FL_cax22_8_day4,Col-0,0.1789113756613757,0.8210886243386243
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_1_day4,Col-0,0.17911309523809515,0.8208869047619048
C10,GC,rbohD,C10_GC_rbohD_day4.rsml,rbohD_6_c10_day2,cax23,0.18100198412698418,0.8189980158730158
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_6_day4,rbohD,0.18109722222222221,0.8189027777777778
C7,FL,Col-0,C7_FL_Col_day4_5.rsml,C7_FL_Col_3_day4,cax23,0.1817010582010582,0.8182989417989418
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_2_day4,rbohD,0.18231944444444442,0.8176805555555555
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_7_day4,cax22,0.18234722222222213,0.8176527777777779
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_7_day4,cax23,0.18350529100529098,0.816494708994709
B5,GC,rbohD,B5_GC_rbohD_day4_3.rsml,B5_GC_rbohD_4_day4,Col-0,0.18546428571428572,0.8145357142857143
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_4,cax22,0.1872281746031746,0.8127718253968255
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_1_day4,rbohD,0.18827777777777774,0.8117222222222222
A10,GC,cax22,A10_GC_cax22_day4.rsml,cax22_GC_A10_7,rbohD,0.18917526455026462,0.8108247354497353
A4,FL,cax23,A4_FL_cax23_day4_1.rsml,A4_FL_cax23_7_day4,cax22,0.18969642857142863,0.8103035714285713
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_8_day4,cax23,0.19052579365079372,0.8094742063492063
C7,FL,Col-0,C7_FL_Col_day4_5.rsml,C7_FL_Col_2_day4,cax23,0.19067857142857153,0.8093214285714285
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_5,rbohD,0.1912990620490621,0.8087009379509379
B7,GC,cax23,B7_GC_cax23_day4_4.rsml,B7_GC_cax23_3_day4,Col-0,0.1928194444444445,0.8071805555555556
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_9_day4,cax23,0.19325396825396832,0.8067460317460317
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_2_day4,cax22,0.19489351851851858,0.8051064814814815
C6,FL,cax23,C6_FL_cax23_day4_5.rsml,C6_FL_cax23_3_day4,cax22,0.19609920634920633,0.8039007936507937
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_6_day4,rbohD,0.1970337301587301,0.8029662698412698
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_4_day4,rbohD,0.19761111111111113,0.8023888888888888
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_11_day4,Col-0,0.19868253968253966,0.8013174603174603
A4,GC,cax23,A4_GC_cax23_day4_1.rsml,A4_GC_cax23_10_day4,rbohD,0.20220899470899464,0.7977910052910053
B7,FL,cax23,B7_FL_cax23_day4_4.rsml,B7_FL_cax23_3_day4,rbohD,0.2022658730158731,0.7977341269841269
C3,GC,Col-0,C3_GC_Col_day4_4.rsml,C3_GC_Col_6_day4,rbohD,0.20238492063492053,0.7976150793650795
B4,FL,cax22,B4_FL_cax22_day4_3.rsml,B4_FL_cax22_3_day4,cax23,0.2025992063492063,0.7974007936507936
C4,GC,rbohD,C4_GC_rbohD_day4_4.rsml,C4_GC_rbohD_4_day4,cax22,0.2035416666666666,0.7964583333333334
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_3,rbohD,0.20372619047619042,0.7962738095238096
A3,FL,cax22,A3_FL_cax22_day4_1.rsml,A3_FL_cax22_7_day4,Col-0,0.20458465608465615,0.7954153439153439
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_5_day4,cax22,0.20484325396825392,0.7951567460317461
A6,FL,rbohD,A6_FL_rbohD_day4_1.rsml,A6_FL_rbohD_9_day4,cax22,0.20514285714285718,0.7948571428571428
B3,FL,cax23,B3_FL_cax23_day4_3.rsml,B3_FL_cax23_3_day4,cax22,0.20667063492063495,0.793329365079365
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_2,rbohD,0.20710912698412703,0.792890873015873
C8,FL,rbohD,C8_FL_rbohD_day4_5.rsml,C8_FL_rbohD_9_day4,cax23,0.20893001443001447,0.7910699855699855
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_1_day4,cax22,0.2091369047619048,0.7908630952380952
B9,FL,Col-0,B9_FL_Col_day4_3.rsml,B9_FL_Col_3_day4,rbohD,0.2092142857142857,0.7907857142857143
B2,GC,rbohD,B2_GC_rbohD_day4_2.rsml,B2_GC_rbohD_3_day4,cax23,0.20926587301587296,0.790734126984127
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_8_day4,Col-0,0.2100753968253968,0.7899246031746032
B8,FL,cax22,B8_FL_cax22_day4_4.rsml,B8_FL_cax22_7_day4,cax23,0.21133333333333335,0.7886666666666666
A3,GC,cax22,A3_GC_cax22_day4.rsml,A3_GC_cax22_3_day4,rbohD,0.21176984126984122,0.7882301587301588
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_10,cax22,0.2129285714285714,0.7870714285714286
A8,GC,cax23,A8_GC_cax23_day4_2.rsml,A8_GC_cax23_8_day4,Col-0,0.2143492063492063,0.7856507936507937
B3,GC,cax23,B3_GC_cax23_day4_3.rsml,B3_GC_cax23_6_day4,rbohD,0.21523148148148147,0.7847685185185185
C3,FL,Col-0,C3_FL_Col_day4_4.rsml,C3_FL_Col_2_day4,cax22,0.21631613756613752,0.7836838624338625
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_11_day4,cax23,0.21633730158730163,0.7836626984126984
B8,GC,cax22,B8_GC_cax22_day4.rsml,B8_GC_cax22_2_day4,rbohD,0.21691269841269847,0.7830873015873016
B5,FL,rbohD,B5_FL_rbohD_day4_3.rsml,B5_FL_rbohD_8_day4,Col-0,0.21697619047619052,0.7830238095238095
A7,FL,cax22,A7_FL_cax22_day4.rsml,A7_GC_cax22_6_day4,Col-0,0.21777579365079372,0.7822242063492063
A7,GC,cax22,A7_GC_cax22_day4_2.rsml,A7_GC_cax22_6_day4,Col-0,0.21777579365079372,0.7822242063492063
B4,GC,cax22,B4_GC_cax22_day4.rsml,B4_GC_cax22_3_day4,cax23,0.22042063492063496,0.779579365079365
C1,FL,cax23,C1_FL_cax23_day4.rsml,cax23_FL_C10_2_9,cax22,0.22210714285714298,0.777892857142857
C8,GC,rbohD,C8_GC_rbohD_day4_5.rsml,C8_GC_rbohD_2_day4,cax22,0.2223505291005291,0.7776494708994709
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_10,rbohD,0.22291269841269842,0.7770873015873015
C10,FL,rbohD,C10_FL_rbohD_day4.rsml,rbohD_C10_FL_4_day2,cax23,0.22309788359788357,0.7769021164021164
A1,GC,Col-0,A1_GC_Col_day4.rsml,Col_GC_A1_day2_5,cax23,0.224265873015873,0.775734126984127
A1,FL,Col-0,A1_FL_Col_day4.rsml,Col_FL_day2_1,rbohD,0.22495238095238113,0.7750476190476189
B2,FL,rbohD,B2_FL_rbohD_day4_2.rsml,B2_FL_rbohD_7_day4,Col-0,0.22502380952380954,0.7749761904761905
C4,FL,rbohD,C4_FL_rbohD_day4_4.rsml,C4_FL_rbohD_9_day4,cax23,0.2255357142857143,0.7744642857142857
A5,FL,Col-0,A5_FL_Col_day4_1.rsml,A5_FL_Col_2_day4,cax22,0.22638822751322768,0.7736117724867724
