sample_id,genotype,tissue,condition,rep,lib_size,location,s_number,alsda_sample,well_mapping
RBOHDROOTFL_3,rbohD,root,FL,3,6660843,B2,48,B2-FL-ROOT_S48,S-number-derived
RBOHDSHOOTFL_3,rbohD,shoot,FL,3,3549386,B2,47,B2-FL-SHOOT_S47,S-number-derived
RBOHDROOTGC_3,rbohD,root,GC,3,5294175,B2,40,B2-GC-ROOT_S40,S-number-derived
RBOHDSHOOTGC_3,rbohD,shoot,GC,3,3139990,B2,39,B2-GC-SHOOT_S39,S-number-derived
RBOHDROOTFL_4,rbohD,root,FL,4,8472651,B5,64,B5-FL-ROOT_S64,S-number-derived
RBOHDSHOOTFL_4,rbohD,shoot,FL,4,3768545,B5,63,B5-FL-SHOOT_S63,S-number-derived
RBOHDROOTGC_4,rbohD,root,GC,4,7891478,B5,56,B5-GC-ROOT_S56,S-number-derived
RBOHDSHOOTGC_4,rbohD,shoot,GC,4,3846990,B5,55,B5-GC-SHOOT_S55,S-number-derived
COL00ROOTFL_1,Col-0,root,FL,1,6790494,A1,10,A1-FL-ROOT_S10,S-number-derived
COL00SHOOTFL_1,Col-0,shoot,FL,1,3488826,A1,9,A1-FL-SHOOT_S9,S-number-derived
COL00ROOTGC_1,Col-0,root,GC,1,5585277,A1,2,A1-GC-ROOT_S2,S-number-derived
COL00SHOOTGC_1,Col-0,shoot,GC,1,2828298,A1,1,A1-GC-SHOOT_S1,S-number-derived
COL00ROOTFL_2,Col-0,root,FL,2,7012559,B9,26,B9-FL-ROOT_S26,S-number-derived
COL00SHOOTFL_2,Col-0,shoot,FL,2,4064446,B9,25,B9-FL-SHOOT_S25,S-number-derived
COL00ROOTGC_2,Col-0,root,GC,2,8148157,B9,18,B9-GC-ROOT_S18,S-number-derived
COL00SHOOTGC_2,Col-0,shoot,GC,2,4672820,B9,17,B9-GC-SHOOT_S17,S-number-derived
COL00ROOTFL_3,Col-0,root,FL,3,7475477,C3,42,C3-FL-ROOT_S42,S-number-derived
COL00SHOOTFL_3,Col-0,shoot,FL,3,4106381,C3,41,C3-FL-SHOOT_S41,S-number-derived
COL00ROOTGC_3,Col-0,root,GC,3,7034589,C3,34,C3-GC-ROOT_S34,S-number-derived
COL00SHOOTGC_3,Col-0,shoot,GC,3,3843472,C3,33,C3-GC-SHOOT_S33,S-number-derived
COL00ROOTFL_3.1,Col-0,root,FL,3.1,7680171,B6,58,B6-FL-ROOT_S58,S-number-derived
COL00SHOOTFL_3.1,Col-0,shoot,FL,3.1,4701279,B6,57,B6-FL-SHOOT_S57,S-number-derived
COL00ROOTGC_3.1,Col-0,root,GC,3.1,6904857,B6,50,B6-GC-ROOT_S50,S-number-derived
COL00SHOOTGC_3.1,Col-0,shoot,GC,3.1,3790566,B6,49,B6-GC-SHOOT_S49,S-number-derived
