Transcript ID	rbohD_Root_baseMeanB_GC	rbohD_Root_baseMeanA_FL
AT1G66940.3	9.728806902	18.74260808
AT1G68600.1	2.061248567	4.786463105
AT1G70080.1	3.701742412	24.50987373
AT1G70890.1	145.4975342	221.1951981
AT1G71050.1	7.558460583	18.01713146
AT1G73310.1	180.8861515	256.8065369
AT1G73600.1	1691.432011	2752.980358
AT1G73600.2	1685.716737	2756.784881
AT1G73602.1	1691.226004	2752.525691
AT1G75440.1	313.6854351	452.302431
AT1G76370.1	0.102787482	3.465287713
AT1G76420.1	3.244482217	12.15563536
AT1G76620.1	32.41558481	102.2674735
AT1G77760.1	5468.470397	12673.32818
AT1G77990.1	88.34998794	222.7097965
AT1G77992.1	20.92213739	52.00304311
AT1G78460.1	24.11593067	41.39112538
AT1G78520.1	77.93311655	153.1826025
AT1G78970.1	98.23122202	175.0354711
AT1G78970.2	95.9209699	170.9271342
AT1G80240.1	102.183662	500.7618128
AT1G80380.1	430.6497129	734.9279104
AT1G80380.2	660.1436967	1122.933053
AT1G80380.3	662.4004064	1127.621223
AT1G80380.4	653.5530267	1106.688138
AT1G80830.1	966.5238804	1464.62428
AT2G01918.1	0.101967203	0.939993037
AT2G01940.1	72.36632717	111.9503157
AT2G01940.2	57.26439186	89.72599623
AT2G01940.3	72.05608297	111.003402
AT2G02450.1	7.905555255	19.4281253
AT2G02450.2	7.70080057	19.40933548
AT2G03310.1	0.56402756	2.012012338
AT2G13360.1	62.44124699	135.6365727
AT2G13360.2	62.44124699	135.6365727
AT2G14210.1	5.03590009	18.48323373
AT2G15620.1	4141.965936	5694.357166
AT2G16380.1	16.56661665	27.91389005
AT2G21200.1	7.707146433	14.98936509
AT2G21210.1	48.25280668	91.45991229
AT2G21540.1	174.6582339	268.2424281
AT2G21540.2	177.4342647	272.8527689
AT2G21540.3	170.2336031	262.2120744
AT2G22190.1	279.0907688	396.7779885
AT2G22200.1	11.6728675	24.38813526
AT2G22630.1	46.09014979	165.8154966
AT2G22980.1	52.39596259	93.95678121
AT2G22980.2	50.48858311	89.41001782
AT2G22980.3	52.39596259	93.95678121
AT2G22980.4	52.29399538	93.95678121
AT2G23010.1	11.07420745	41.87950169
AT2G23010.2	11.07420745	41.87950169
AT2G25680.1	17.6166246	31.78625109
AT2G28100.1	139.602622	216.9064786
AT2G28105.1	47.76456494	70.44195286
AT2G28270.1	0.205574964	20.54454149
AT2G28850.1	0.721826867	7.039323558
AT2G28860.1	2.678818568	58.04073315
AT2G31083.1	10.27103557	72.5328017
AT2G31085.1	20.64900968	54.19242276
AT2G31585.1	98.79650425	169.5802647
AT2G31585.2	98.79650425	169.5802647
AT2G33770.1	4105.555144	6824.319453
