Entrez ID,FLRoot_COL00_1,GCRoot_COL00_1,FLRoot_COL00_2,GCRoot_COL00_2,FLRoot_COL00_3,GCRoot_COL00_3,FLRoot_COL00_4,GCRoot_COL00_4
830516,8.7471,8.9732,8.6735,8.9277,8.6668,9.0467,8.4201,8.9045
818822,7.2481,7.5007,6.845,7.3374,7.0873,7.0246,7.0362,7.233
814946,8.0524,8.5549,8.4829,8.3057,8.1196,7.9853,8.3993,8.3313
837999,8.3534,8.752,8.1449,8.6171,8.6831,8.5258,8.3168,8.5783
839249,5.5612,5.6043,5.3311,5.6006,5.7993,5.172,5.3472,5.6596
837331,5.8851,5.9894,5.5499,6.242,5.9998,6.0683,5.7702,5.8894
816603,10.1773,10.6999,10.1408,10.423,10.0795,10.3892,10.2549,10.4775
843951,7.1082,7.4647,7.559,7.7552,7.3869,7.3946,7.6943,7.6149
829558,9.3986,9.0481,9.0294,8.9299,9.2404,8.8032,9.3372,9.0114
818554,8.7326,8.6858,9.1205,8.9954,8.5003,8.5797,8.8531,8.7985
824561,8.4634,8.258,8.5521,8.2352,8.5294,8.4032,8.8658,8.3006
824754,9.8677,10.0487,9.4157,9.9681,9.663,9.7672,9.5993,9.8386
835845,6.4988,6.6965,6.3958,6.4923,6.504,6.0022,6.5876,6.5426
10723079,10.2862,10.7705,10.2607,10.3431,10.1644,10.5021,10.1909,10.1883
836015,9.6752,9.2307,9.4546,9.2526,9.247,9.1056,9.65,9.376
838850,10.7579,10.9785,11.0166,10.9165,11.0337,10.4359,11.0471,10.9452
834950,5.0519,5.5595,4.9757,5.0302,5.0273,5.172,5.318,5.3523
3768791,5.4228,5.5132,5.2912,5.1576,5.4184,5.835,5.4039,5.2458
838701,9.2957,8.921,9.282,9.5176,9.5216,9.2215,9.2891,9.5315
826759,6.5496,6.9079,7.1871,7.104,6.8881,6.8477,6.8447,7.1269
836850,9.0649,8.7116,8.7674,8.7291,8.61,8.4658,9.0547,8.6976
842627,10.9978,11.5181,11.4301,11.5416,11.5583,11.5016,11.1578,11.472
843323,8.6612,8.379,8.1999,8.2673,8.0307,8.0684,8.2832,8.4481
830748,6.3539,6.3202,6.3381,6.1531,6.2994,6.2501,6.8447,6.3841
840457,6.4282,6.2654,6.4145,6.0905,6.6831,6.0245,6.3194,6.333
817453,9.9472,10.3263,10.0703,9.7528,9.8097,10.2263,9.9373,9.8263
832418,9.7495,9.7945,9.4432,9.4508,9.5052,9.5721,9.1695,9.3376
837635,6.8891,6.8717,6.3958,6.4051,6.3974,6.6746,6.7051,6.5575
817148,8.28,7.7801,8.0162,7.8337,8.0808,7.8032,8.1693,7.7181
820376,11.3835,11.8658,11.6384,11.8431,11.7039,11.7471,11.306,11.7486
835172,6.7939,7.0923,7.1429,7.0639,6.8881,7.4452,6.9999,7.2607
821028,9.3753,9.5298,9.2563,8.9587,9.0946,9.48,9.3335,9.0672
835933,10.7352,10.6135,10.3891,10.099,10.5633,10.3609,10.4151,10.2459
838195,7.9801,8.1638,8.2213,8.3126,8.1244,8.3773,7.7224,8.0805
844209,7.2885,6.6965,7.2613,7.0393,7.2795,7.0791,7.2979,7.076
826802,5.1429,5.5132,5.0731,5.0631,4.9433,5.25,5.318,5.4832
817358,8.0465,8.0223,8.2052,8.4086,8.0758,7.7638,8.2293,8.3443
816202,10.4093,10.3129,9.7951,10.0288,10.082,9.9695,10.1375,9.9014
3768748,5.7756,5.5132,5.7979,6.1982,5.8919,5.8601,6.0795,5.8894
10723085,6.1049,6.0555,5.5156,5.7896,6.1003,5.909,6.0795,5.8656
829334,11.2121,11.2537,10.8332,10.7949,11.0539,11.2069,10.918,10.7511
841751,6.3347,6.633,6.3184,6.3259,5.9789,6.4116,6.3194,6.0459
836313,7.789,7.6684,7.3991,7.4286,7.3465,7.7096,7.5447,7.9223
826147,11.8701,11.228,11.6214,11.5339,11.4821,11.3538,11.7103,11.4193
826409,10.2961,10.1674,9.7825,9.8037,9.992,10.129,9.7855,9.8108
819867,6.5825,6.3468,6.6378,6.8256,6.7588,6.9909,6.8751,6.5723
