ID	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
AT5G52800.2	56.1807004279089	54.4782152764021	57.8831855794157	1.06250150240308	0.0874648812578118	0.908391688619102	1
AT5G52800.3	81.4139090101887	79.8949042475796	82.9329137727979	1.03802507248527	0.0538412910111257	0.924202546084494	1
AT5G52810.1	117.973723465069	117.329135978983	118.618310951154	1.01098767975588	0.0157654161693199	0.995889784747499	1
AT5G52815.1	0	0	0	NA	NA	NA	NA
AT5G52820.1	1019.69130537682	1036.89967893318	1002.48293182046	0.966808026068511	-0.0486986450346155	0.775624583525443	1
AT5G52830.1	93.1579254797191	103.06244901133	83.2534019481078	0.807795688407862	-0.307937649179609	0.39042454752114	1
AT5G52840.1	1332.11917016862	1253.29284720798	1410.94549312925	1.1257907489638	0.170938698211882	0.477192878014282	1
AT5G52850.1	206.696162390987	205.380476547683	208.011848234291	1.01281218025608	0.0183666600856182	0.947339311048362	1
AT5G52860.1	4.49185817689421	4.55364079852475	4.43007555526367	0.972864516827698	-0.0396891886582843	0.941934338397806	1
AT5G52870.1	153.121920450809	142.96987474553	163.273966156088	1.14201657130005	0.19158358516569	0.437138750764237	1
AT5G52880.1	94.2110410743164	102.475979472289	85.946102676344	0.838695108052959	-0.253781653760845	0.427928923254404	1
AT5G52882.1	3785.14486442607	3987.62522635424	3582.66450249789	0.898445640984525	-0.154496876465945	0.479153189255212	1
AT5G52890.1	57.357681806488	55.4225593356153	59.2928042773606	1.06983158100493	0.0973836972120162	0.80849483454334	1
AT5G52890.2	56.2815064865418	53.5779672304778	58.9850457426059	1.10091981446158	0.138709393978184	0.705273750846455	1
AT5G52900.1	44.6073775262443	47.6314723281317	41.5832827243569	0.873021149501553	-0.19591149038956	0.749749234684763	1
AT5G52901.1	0	0	0	NA	NA	NA	NA
AT5G52910.1	437.499686297226	434.165770329569	440.833602264884	1.01535780199866	0.0219882084022413	0.83390595310673	1
AT5G52920.1	5436.14937153321	5623.22749676492	5249.0712463015	0.933462366465046	-0.0993362350590127	0.675820006817513	1
AT5G52930.1	0.616778134234629	0.212027313433712	1.02152895503555	4.81791208166637	2.26840806719589	0.143069200360322	1
AT5G52940.1	3.02422170318078	1.85623415711164	4.19220924924992	2.2584485007932	1.17533201649965	0.132539325031521	1
AT5G52950.1	172.148629838663	169.434454037162	174.862805640164	1.03203806235189	0.0454961794372376	0.870226735996519	1
AT5G52960.1	118.95591600024	125.49394465381	112.417887346669	0.895803280841853	-0.158746144874145	0.617224856526457	1
AT5G52965.1	1.86965895757262	1.78336733022891	1.95595058491633	1.09677381196911	0.133266028934593	0.962890103268551	1
AT5G52970.1	62.7776859088671	62.8730139959806	62.6823578217535	0.996967599259052	-0.00438147606916563	0.990146480226983	1
AT5G52975.1	1.48940316538743	1.33556078575368	1.64324554502117	1.23037870125384	0.29910243453281	0.940848407455636	1
AT5G52980.1	249.12206242045	248.678759334245	249.565365506655	1.00356526699258	0.00513444560396603	0.879677434775582	1
AT5G52990.1	175.233162730384	179.968783413996	170.497542046773	0.947372865518373	-0.0779957437857594	0.808119299131615	1
AT5G53000.1	655.793216863858	648.504533028191	663.081900699526	1.02247843604618	0.0320704172136895	0.971373143390695	1
AT5G53010.1	546.700871037827	552.732027693599	540.669714382054	0.978176923523181	-0.0318326648787726	0.928877781008844	1
AT5G53020.1	176.398668783754	180.220451648963	172.576885918544	0.957587689629656	-0.0625234892062027	0.783455737911829	1
AT5G53030.1	5.16612577939823	5.29560121569521	5.03665034310125	0.9511007604148	-0.0723299053784426	0.804872837770651	1
AT5G53030.2	5.26582889255713	5.39221996018575	5.13943782492852	0.953120952571727	-0.0692687888288212	0.80382639349386	1
AT5G53040.1	0.206146117104137	0.412292234208274	0	0	-Inf	0.171450531963021	1
AT5G53045.1	224.914476912551	230.962506748683	218.866447076419	0.947627604832735	-0.0776078693197497	0.760550687761179	1
AT5G53048.1	121.931547288045	124.181497757741	119.681596818349	0.963763515333255	-0.0532489080905141	0.765646171370011	1
AT5G53050.1	317.924857003969	321.977792485524	313.871921522414	0.974824751419853	-0.0367852124172668	0.794964424726706	1
AT5G53050.2	317.322582284382	321.388760115859	313.256404452904	0.974696203874637	-0.0369754693168059	0.795286796489649	1
AT5G53050.3	311.066690550042	315.857606801412	306.275774298673	0.969664075531467	-0.0444430594457733	0.772664896834395	1
AT5G53060.1	404.404434017164	405.78723583938	403.021632194948	0.993184596753736	-0.0098662078785678	0.98720581435928	1
AT5G53060.2	122.786558330366	125.157561788571	120.41555487216	0.962111702651881	-0.0557236920495165	0.963149846404474	1
AT5G53070.1	779.641217462476	748.560463584051	810.721971340901	1.08304139849869	0.115088390007431	0.567689430486651	1
AT5G53080.1	151.304478418701	145.940467330923	156.66848950648	1.07350957806125	0.102335063259859	0.668004934851254	1
AT5G53090.1	336.363140884219	338.575926072381	334.150355696056	0.986928868724768	-0.0189819863313738	1	1
AT5G53100.1	6.85958055276656	7.79795844624702	5.92120265928611	0.759327290611025	-0.397206234588471	0.609139338779036	1
AT5G53110.1	147.994256848566	160.72499691824	135.263516778892	0.841583570523881	-0.248821554414803	0.658369704487646	1
AT5G53120.1	1047.56154890915	950.878868484578	1144.24422933372	1.20335435696169	0.267061541725986	0.265511135270438	1
AT5G53120.2	1041.71764400541	944.93747472548	1138.49781328535	1.20483930814163	0.268840744126382	0.263572120131866	1
AT5G53120.3	1053.96550852784	955.97501925244	1151.95599780324	1.20500638050569	0.269040785541999	0.26019802985626	1
AT5G53120.4	1054.92415216478	956.818226583362	1153.0300777462	1.20506700824825	0.269113370338753	0.259675635562945	1
AT5G53120.5	1009.4479467912	916.234771329479	1102.66112225292	1.20347006766937	0.267200259999388	0.264791472183616	1
AT5G53120.6	1036.99125492146	940.885460663246	1133.09704917967	1.20428797824225	0.268180421253362	0.26409617876864	1
AT5G53130.1	609.460053267008	608.494426917806	610.42567961621	1.00317382150595	0.00457160564860137	0.961508225444974	1
AT5G53135.1	0.172303451892648	0.24263970088803	0.101967202897266	0.420241215778286	-1.25071043148911	1	1
AT5G53140.1	2636.3395317577	2654.38139074521	2618.29767277019	0.986405978394503	-0.0197465512557296	0.938789520935477	1
AT5G53144.1	4.87653418858113	5.6913791534417	4.06168922372055	0.713656411603567	-0.486698436013583	0.501674156609378	1
AT5G53150.1	333.481758330138	333.608766742185	333.35474991809	0.999238578690316	-0.00109891717009723	0.968414530963058	1
AT5G53160.1	1217.34249544361	1315.12503290397	1119.55995798326	0.851295450981668	-0.232268173679987	0.306974673023581	1
