tissue,region,gene
root,Col-0_only,AT5G45850
root,Col-0_only,AT5G47450
root,Col-0_only,AT5G47550
root,Col-0_only,AT5G52260
root,Col-0_only,AT5G52320
root,Col-0_only,AT5G59260
root,Col-0_only,AT5G60060
root,cax2-2_only,AT1G54970
root,cax2-2_only,AT4G08620
root,cax2-2_only,AT5G46730
root,rbohD_only,AT1G07560
root,rbohD_only,AT1G07985
root,rbohD_only,AT1G13500
root,rbohD_only,AT1G13520
root,rbohD_only,AT1G21240
root,rbohD_only,AT1G23500
root,rbohD_only,AT1G28170
root,rbohD_only,AT1G30730
root,rbohD_only,AT1G32970
root,rbohD_only,AT1G33030
root,rbohD_only,AT1G34047
root,rbohD_only,AT1G45616
root,rbohD_only,AT1G47890
root,rbohD_only,AT1G51820
root,rbohD_only,AT1G53610
root,rbohD_only,AT1G53625
root,rbohD_only,AT1G66090
root,rbohD_only,AT1G66600
root,rbohD_only,AT1G68620
root,rbohD_only,AT1G70080
root,rbohD_only,AT1G71520
root,rbohD_only,AT1G74810
root,rbohD_only,AT1G76420
root,rbohD_only,AT1G77990
root,rbohD_only,AT2G02450
root,rbohD_only,AT2G15220
root,rbohD_only,AT2G16960
root,rbohD_only,AT2G19060
root,rbohD_only,AT2G19500
root,rbohD_only,AT2G19900
root,rbohD_only,AT2G20800
root,rbohD_only,AT2G24710
root,rbohD_only,AT2G26370
root,rbohD_only,AT2G28850
root,rbohD_only,AT2G32610
root,rbohD_only,AT2G33020
root,rbohD_only,AT2G33710
root,rbohD_only,AT2G33880
root,rbohD_only,AT2G35990
root,rbohD_only,AT2G41730
root,rbohD_only,AT2G44370
root,rbohD_only,AT3G01600
root,rbohD_only,AT3G11150
root,rbohD_only,AT3G11402
root,rbohD_only,AT3G17790
root,rbohD_only,AT3G18450
root,rbohD_only,AT3G21520
root,rbohD_only,AT3G22740
root,rbohD_only,AT3G28210
root,rbohD_only,AT3G44870
root,rbohD_only,AT3G46340
root,rbohD_only,AT3G47420
root,rbohD_only,AT3G47740
root,rbohD_only,AT3G49520
root,rbohD_only,AT3G51420
root,rbohD_only,AT3G53840
root,rbohD_only,AT3G54530
root,rbohD_only,AT3G56980
root,rbohD_only,AT3G61390
root,rbohD_only,AT4G07960
root,rbohD_only,AT4G11390
root,rbohD_only,AT4G12170
root,rbohD_only,AT4G12470
root,rbohD_only,AT4G14365
root,rbohD_only,AT4G15393
root,rbohD_only,AT4G15490
root,rbohD_only,AT4G16990
root,rbohD_only,AT4G22610
root,rbohD_only,AT4G22880
root,rbohD_only,AT4G25110
root,rbohD_only,AT4G26050
root,rbohD_only,AT4G27400
root,rbohD_only,AT4G28350
root,rbohD_only,AT4G33930
root,rbohD_only,AT4G36670
root,rbohD_only,AT4G37160
root,rbohD_only,AT4G37850
root,rbohD_only,AT5G06760
root,rbohD_only,AT5G07200
root,rbohD_only,AT5G07330
root,rbohD_only,AT5G09570
root,rbohD_only,AT5G18350
root,rbohD_only,AT5G24110
root,rbohD_only,AT5G36130
root,rbohD_only,AT5G36150
root,rbohD_only,AT5G36220
root,rbohD_only,AT5G36870
root,rbohD_only,AT5G39120
root,rbohD_only,AT5G42800
root,rbohD_only,AT5G44574
root,rbohD_only,AT5G44990
root,rbohD_only,AT5G46370
root,rbohD_only,AT5G51440
root,rbohD_only,AT5G52310
root,rbohD_only,AT5G55770
root,rbohD_only,AT5G60770
root,rbohD_only,AT5G62330
root,rbohD_only,AT5G63350
root,Col-0&rbohD,AT1G02230
root,Col-0&rbohD,AT1G02850
root,Col-0&rbohD,AT1G05650
root,Col-0&rbohD,AT1G05680
root,Col-0&rbohD,AT1G05880
root,Col-0&rbohD,AT1G07550
root,Col-0&rbohD,AT1G08090
root,Col-0&rbohD,AT1G08165
root,Col-0&rbohD,AT1G08430
root,Col-0&rbohD,AT1G14540
root,Col-0&rbohD,AT1G14550
root,Col-0&rbohD,AT1G17180
root,Col-0&rbohD,AT1G18970
root,Col-0&rbohD,AT1G19250
root,Col-0&rbohD,AT1G21120
root,Col-0&rbohD,AT1G21130
root,Col-0&rbohD,AT1G21250
root,Col-0&rbohD,AT1G21320
root,Col-0&rbohD,AT1G23730
root,Col-0&rbohD,AT1G26240
root,Col-0&rbohD,AT1G26380
root,Col-0&rbohD,AT1G26390
root,Col-0&rbohD,AT1G26410
root,Col-0&rbohD,AT1G26420
root,Col-0&rbohD,AT1G29290
root,Col-0&rbohD,AT1G29740
root,Col-0&rbohD,AT1G44030
root,Col-0&rbohD,AT1G44130
root,Col-0&rbohD,AT1G45015
root,Col-0&rbohD,AT1G45020
root,Col-0&rbohD,AT1G51830
root,Col-0&rbohD,AT1G51840
root,Col-0&rbohD,AT1G52070
root,Col-0&rbohD,AT1G52343
root,Col-0&rbohD,AT1G56600
root,Col-0&rbohD,AT1G58320
root,Col-0&rbohD,AT1G60470
root,Col-0&rbohD,AT1G60750
root,Col-0&rbohD,AT1G61130
root,Col-0&rbohD,AT1G63560
root,Col-0&rbohD,AT1G65481
root,Col-0&rbohD,AT1G65485
root,Col-0&rbohD,AT1G66700
root,Col-0&rbohD,AT1G67270
root,Col-0&rbohD,AT1G69920
root,Col-0&rbohD,AT1G69930
root,Col-0&rbohD,AT1G72900
root,Col-0&rbohD,AT1G73220
root,Col-0&rbohD,AT1G73300
root,Col-0&rbohD,AT1G76620
root,Col-0&rbohD,AT1G78340
root,Col-0&rbohD,AT1G80240
root,Col-0&rbohD,AT2G04040
root,Col-0&rbohD,AT2G04070
root,Col-0&rbohD,AT2G04460
root,Col-0&rbohD,AT2G05510
root,Col-0&rbohD,AT2G14210
root,Col-0&rbohD,AT2G15490
root,Col-0&rbohD,AT2G22630
root,Col-0&rbohD,AT2G23010
root,Col-0&rbohD,AT2G24720
root,Col-0&rbohD,AT2G26400
root,Col-0&rbohD,AT2G26560
root,Col-0&rbohD,AT2G28270
root,Col-0&rbohD,AT2G28860
root,Col-0&rbohD,AT2G29010
root,Col-0&rbohD,AT2G29250
root,Col-0&rbohD,AT2G29460
root,Col-0&rbohD,AT2G30140
root,Col-0&rbohD,AT2G30660
root,Col-0&rbohD,AT2G30670
root,Col-0&rbohD,AT2G30750
root,Col-0&rbohD,AT2G31083
root,Col-0&rbohD,AT2G34350
root,Col-0&rbohD,AT2G35980
root,Col-0&rbohD,AT2G36110
root,Col-0&rbohD,AT2G37770
root,Col-0&rbohD,AT2G39400
root,Col-0&rbohD,AT2G40750
root,Col-0&rbohD,AT2G41810
root,Col-0&rbohD,AT2G43000
root,Col-0&rbohD,AT2G43570
root,Col-0&rbohD,AT2G43620
root,Col-0&rbohD,AT2G43890
root,Col-0&rbohD,AT2G44460
root,Col-0&rbohD,AT2G46495
root,Col-0&rbohD,AT3G02620
root,Col-0&rbohD,AT3G03670
root,Col-0&rbohD,AT3G05400
root,Col-0&rbohD,AT3G08860
root,Col-0&rbohD,AT3G09922
root,Col-0&rbohD,AT3G10870
root,Col-0&rbohD,AT3G13950
root,Col-0&rbohD,AT3G14620
root,Col-0&rbohD,AT3G15500
root,Col-0&rbohD,AT3G16530
root,Col-0&rbohD,AT3G19430
root,Col-0&rbohD,AT3G20360
root,Col-0&rbohD,AT3G21720
root,Col-0&rbohD,AT3G23120
root,Col-0&rbohD,AT3G26200
root,Col-0&rbohD,AT3G26220
root,Col-0&rbohD,AT3G27950
root,Col-0&rbohD,AT3G28510
root,Col-0&rbohD,AT3G29780
root,Col-0&rbohD,AT3G46270
root,Col-0&rbohD,AT3G46800
root,Col-0&rbohD,AT3G47380
root,Col-0&rbohD,AT3G47480
root,Col-0&rbohD,AT3G48850
root,Col-0&rbohD,AT3G49570
root,Col-0&rbohD,AT3G49580
root,Col-0&rbohD,AT3G53150
root,Col-0&rbohD,AT3G56400
root,Col-0&rbohD,AT3G56970
root,Col-0&rbohD,AT3G60120
root,Col-0&rbohD,AT3G60270
root,Col-0&rbohD,AT3G60420
root,Col-0&rbohD,AT3G60470
root,Col-0&rbohD,AT3G63380
root,Col-0&rbohD,AT4G00390
root,Col-0&rbohD,AT4G02280
root,Col-0&rbohD,AT4G10500
root,Col-0&rbohD,AT4G11170
root,Col-0&rbohD,AT4G12490
root,Col-0&rbohD,AT4G13420
root,Col-0&rbohD,AT4G14368
root,Col-0&rbohD,AT4G14630
root,Col-0&rbohD,AT4G14780
root,Col-0&rbohD,AT4G18197
root,Col-0&rbohD,AT4G18205
root,Col-0&rbohD,AT4G21380
root,Col-0&rbohD,AT4G22070
root,Col-0&rbohD,AT4G22210
root,Col-0&rbohD,AT4G23700
root,Col-0&rbohD,AT4G28420
root,Col-0&rbohD,AT4G31330
root,Col-0&rbohD,AT4G31970
root,Col-0&rbohD,AT4G32950
root,Col-0&rbohD,AT4G35180
root,Col-0&rbohD,AT4G37235
root,Col-0&rbohD,AT4G40070
root,Col-0&rbohD,AT5G01900
root,Col-0&rbohD,AT5G02780
root,Col-0&rbohD,AT5G07560
root,Col-0&rbohD,AT5G07570
root,Col-0&rbohD,AT5G13320
root,Col-0&rbohD,AT5G13330
root,Col-0&rbohD,AT5G13370
root,Col-0&rbohD,AT5G14570
root,Col-0&rbohD,AT5G16970
root,Col-0&rbohD,AT5G22300
root,Col-0&rbohD,AT5G22890
root,Col-0&rbohD,AT5G23980
root,Col-0&rbohD,AT5G25250
root,Col-0&rbohD,AT5G25260
root,Col-0&rbohD,AT5G26220
root,Col-0&rbohD,AT5G26920
root,Col-0&rbohD,AT5G38100
root,Col-0&rbohD,AT5G38910
root,Col-0&rbohD,AT5G39050
root,Col-0&rbohD,AT5G40590
root,Col-0&rbohD,AT5G42600
root,Col-0&rbohD,AT5G43450
root,Col-0&rbohD,AT5G45120
root,Col-0&rbohD,AT5G47000
root,Col-0&rbohD,AT5G48175
root,Col-0&rbohD,AT5G48400
root,Col-0&rbohD,AT5G48430
root,Col-0&rbohD,AT5G48850
root,Col-0&rbohD,AT5G50760
root,Col-0&rbohD,AT5G51500
root,Col-0&rbohD,AT5G51870
root,Col-0&rbohD,AT5G52390
root,Col-0&rbohD,AT5G52790
root,Col-0&rbohD,AT5G53190
root,Col-0&rbohD,AT5G57220
root,Col-0&rbohD,AT5G60250
root,Col-0&rbohD,AT5G64110
root,Col-0&rbohD,AT5G64810
root,all_three,AT1G49570
root,all_three,AT5G19890
shoot,Col-0_only,AT1G02220
shoot,Col-0_only,AT1G02360
shoot,Col-0_only,AT1G02450
shoot,Col-0_only,AT1G08090
shoot,Col-0_only,AT1G13470
shoot,Col-0_only,AT1G13520
shoot,Col-0_only,AT1G13750
shoot,Col-0_only,AT1G14540
shoot,Col-0_only,AT1G14880
shoot,Col-0_only,AT1G17710
shoot,Col-0_only,AT1G18860
shoot,Col-0_only,AT1G21240
shoot,Col-0_only,AT1G21310
shoot,Col-0_only,AT1G21550
shoot,Col-0_only,AT1G26380
shoot,Col-0_only,AT1G26390
shoot,Col-0_only,AT1G26410
shoot,Col-0_only,AT1G26420
shoot,Col-0_only,AT1G30700
shoot,Col-0_only,AT1G30720
shoot,Col-0_only,AT1G30900
shoot,Col-0_only,AT1G32350
shoot,Col-0_only,AT1G32940
shoot,Col-0_only,AT1G34100
shoot,Col-0_only,AT1G35230
shoot,Col-0_only,AT1G44130
shoot,Col-0_only,AT1G47395
shoot,Col-0_only,AT1G47400
shoot,Col-0_only,AT1G47890
shoot,Col-0_only,AT1G51890
shoot,Col-0_only,AT1G56120
shoot,Col-0_only,AT1G57630
shoot,Col-0_only,AT1G62440
shoot,Col-0_only,AT1G65690
shoot,Col-0_only,AT1G66600
shoot,Col-0_only,AT1G66700
shoot,Col-0_only,AT1G67520
shoot,Col-0_only,AT1G67810
shoot,Col-0_only,AT1G67980
shoot,Col-0_only,AT1G68620
shoot,Col-0_only,AT1G69720
shoot,Col-0_only,AT1G70170
shoot,Col-0_only,AT1G73010
shoot,Col-0_only,AT1G73260
shoot,Col-0_only,AT1G74590
shoot,Col-0_only,AT1G79680
shoot,Col-0_only,AT2G04460
shoot,Col-0_only,AT2G14247
shoot,Col-0_only,AT2G14610
shoot,Col-0_only,AT2G18660
shoot,Col-0_only,AT2G27660
shoot,Col-0_only,AT2G29100
shoot,Col-0_only,AT2G29350
shoot,Col-0_only,AT2G29490
shoot,Col-0_only,AT2G30660
shoot,Col-0_only,AT2G30750
shoot,Col-0_only,AT2G30766
shoot,Col-0_only,AT2G30770
shoot,Col-0_only,AT2G31020
shoot,Col-0_only,AT2G32160
shoot,Col-0_only,AT2G32290
shoot,Col-0_only,AT2G32680
shoot,Col-0_only,AT2G34500
shoot,Col-0_only,AT2G34940
shoot,Col-0_only,AT2G35980
shoot,Col-0_only,AT2G38940
shoot,Col-0_only,AT2G39530
shoot,Col-0_only,AT2G40750
shoot,Col-0_only,AT2G41240
shoot,Col-0_only,AT2G42060
shoot,Col-0_only,AT2G43570
shoot,Col-0_only,AT2G44370
shoot,Col-0_only,AT2G44460
shoot,Col-0_only,AT2G45130
shoot,Col-0_only,AT2G45220
shoot,Col-0_only,AT2G47000
shoot,Col-0_only,AT3G05400
shoot,Col-0_only,AT3G08860
shoot,Col-0_only,AT3G09270
shoot,Col-0_only,AT3G11080
shoot,Col-0_only,AT3G11340
shoot,Col-0_only,AT3G13610
shoot,Col-0_only,AT3G18010
shoot,Col-0_only,AT3G18250
shoot,Col-0_only,AT3G22600
shoot,Col-0_only,AT3G23120
shoot,Col-0_only,AT3G23510
shoot,Col-0_only,AT3G25882
shoot,Col-0_only,AT3G26440
shoot,Col-0_only,AT3G26830
shoot,Col-0_only,AT3G28510
shoot,Col-0_only,AT3G43850
shoot,Col-0_only,AT3G45060
shoot,Col-0_only,AT3G45860
shoot,Col-0_only,AT3G48850
shoot,Col-0_only,AT3G49580
shoot,Col-0_only,AT3G51330
shoot,Col-0_only,AT3G51340
shoot,Col-0_only,AT3G57260
shoot,Col-0_only,AT3G61280
shoot,Col-0_only,AT3G61390
shoot,Col-0_only,AT3G63380
shoot,Col-0_only,AT4G00700
shoot,Col-0_only,AT4G03450
shoot,Col-0_only,AT4G04490
shoot,Col-0_only,AT4G05020
shoot,Col-0_only,AT4G10500
shoot,Col-0_only,AT4G11170
shoot,Col-0_only,AT4G12500
shoot,Col-0_only,AT4G13180
shoot,Col-0_only,AT4G14390
shoot,Col-0_only,AT4G14630
shoot,Col-0_only,AT4G16563
shoot,Col-0_only,AT4G18250
shoot,Col-0_only,AT4G19970
shoot,Col-0_only,AT4G20110
shoot,Col-0_only,AT4G22070
shoot,Col-0_only,AT4G23140
shoot,Col-0_only,AT4G23150
shoot,Col-0_only,AT4G23230
shoot,Col-0_only,AT4G23310
shoot,Col-0_only,AT4G23320
shoot,Col-0_only,AT4G23700
shoot,Col-0_only,AT4G25070
shoot,Col-0_only,AT4G25110
shoot,Col-0_only,AT4G31970
shoot,Col-0_only,AT4G37010
shoot,Col-0_only,AT4G39830
shoot,Col-0_only,AT5G01550
shoot,Col-0_only,AT5G02780
shoot,Col-0_only,AT5G03350
shoot,Col-0_only,AT5G07700
shoot,Col-0_only,AT5G10760
shoot,Col-0_only,AT5G11210
shoot,Col-0_only,AT5G13080
shoot,Col-0_only,AT5G13320
shoot,Col-0_only,AT5G14180
shoot,Col-0_only,AT5G15130
shoot,Col-0_only,AT5G15500
shoot,Col-0_only,AT5G16170
shoot,Col-0_only,AT5G19880
shoot,Col-0_only,AT5G22570
shoot,Col-0_only,AT5G24090
shoot,Col-0_only,AT5G24240
shoot,Col-0_only,AT5G24530
shoot,Col-0_only,AT5G25260
shoot,Col-0_only,AT5G26220
shoot,Col-0_only,AT5G38900
shoot,Col-0_only,AT5G39520
shoot,Col-0_only,AT5G40590
shoot,Col-0_only,AT5G42830
shoot,Col-0_only,AT5G43350
shoot,Col-0_only,AT5G45380
shoot,Col-0_only,AT5G48400
shoot,Col-0_only,AT5G48410
shoot,Col-0_only,AT5G48430
shoot,Col-0_only,AT5G48657
shoot,Col-0_only,AT5G53110
shoot,Col-0_only,AT5G54610
shoot,Col-0_only,AT5G57480
shoot,Col-0_only,AT5G59670
shoot,Col-0_only,AT5G60900
shoot,Col-0_only,AT5G67340
shoot,Col-0_only,AT5G67450
shoot,cax2-2_only,AT2G25470
shoot,cax2-2_only,AT2G39518
shoot,cax2-2_only,AT4G22505
shoot,rbohD_only,AT1G08430
shoot,rbohD_only,AT1G08630
shoot,rbohD_only,AT1G10070
shoot,rbohD_only,AT1G11080
shoot,rbohD_only,AT1G14250
shoot,rbohD_only,AT1G15380
shoot,rbohD_only,AT1G76790
shoot,rbohD_only,AT2G02990
shoot,rbohD_only,AT2G26020
shoot,rbohD_only,AT2G27690
shoot,rbohD_only,AT2G39030
shoot,rbohD_only,AT2G39330
shoot,rbohD_only,AT2G47550
shoot,rbohD_only,AT3G44860
shoot,rbohD_only,AT3G49620
shoot,rbohD_only,AT3G59220
shoot,rbohD_only,AT4G01080
shoot,rbohD_only,AT4G15210
shoot,rbohD_only,AT4G17470
shoot,rbohD_only,AT4G24340
shoot,rbohD_only,AT4G26260
shoot,rbohD_only,AT4G35770
shoot,rbohD_only,AT5G05600
shoot,rbohD_only,AT5G06570
shoot,rbohD_only,AT5G07440
shoot,rbohD_only,AT5G24110
shoot,rbohD_only,AT5G38200
shoot,rbohD_only,AT5G45840
shoot,rbohD_only,AT5G61160
shoot,Col-0&rbohD,AT1G52040
shoot,Col-0&rbohD,AT1G73325
shoot,Col-0&rbohD,AT5G24380
shoot,Col-0&rbohD,AT5G47330
