genotype,tissue,ligand,receptor,ligand_log2FC,receptor_log2FC,ligand_padj,receptor_padj,ligand_DE,receptor_DE,any_DE,both_DE
cax2-2,shoot,RGF1,RGI1,1.33,2.428,0.9998406360096416,,False,False,False,False
cax2-2,shoot,RGF1,RGI2,1.33,2.116,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,RGF1,RGI3,1.33,0.004,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,RGF2,RGI1,0.116,2.428,0.9998406360096416,,False,False,False,False
cax2-2,shoot,RGF3,RGI1,0.593,2.428,0.9998406360096416,,False,False,False,False
cax2-2,shoot,RALF1,FER,0.454,-0.016,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,RALF23,FER,0.06,-0.016,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,PSK1,PSKR1,-0.49,-0.136,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,PSK1,PSKR2,-0.49,0.025,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,PROPEP1,PEPR1,-0.134,-0.025,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,PROPEP1,PEPR2,-0.134,-0.103,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,PROPEP3,PEPR1,0.338,-0.025,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CIF1,GSO1,1.35,0.479,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CIF1,GSO2,1.35,1.671,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CIF2,GSO1,0.647,0.479,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,CIF2,GSO2,0.647,1.671,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,PIP1,RLK7,0.125,-0.018,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,PIP2,RLK7,-0.698,-0.018,0.9998406360096416,0.9998406360096416,False,False,False,False
cax2-2,shoot,PSY1,PSY1R,-0.022,0.175,0.9998406360096416,0.9998406360096416,False,False,False,False
rbohD,root,CLV3,CLV1,1.369,0.068,,0.999723551505084,False,False,False,False
rbohD,root,CLV3,BAM1,1.369,0.075,,0.999723551505084,False,False,False,False
rbohD,root,CLV3,BAM2,1.369,-0.01,,0.999723551505084,False,False,False,False
rbohD,root,CLV3,BAM3,1.369,0.112,,0.999723551505084,False,False,False,False
rbohD,root,CLE40,ACR4,0.058,-0.111,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,CLE40,CLV1,0.058,0.068,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,CLE41,PXY,0.046,-0.019,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,CLE44,PXY,0.039,-0.019,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,IDA,HAE,-0.722,0.369,0.9729436395813544,0.2088266983641787,False,False,False,False
rbohD,root,IDA,HSL2,-0.722,-0.004,0.9729436395813544,0.999723551505084,False,False,False,False
rbohD,root,EPF1,ER,-0.806,-0.217,,0.8726209548692884,False,False,False,False
rbohD,root,EPF1,ERL1,-0.806,-0.189,,0.999723551505084,False,False,False,False
rbohD,root,EPF1,ERL2,-0.806,-0.017,,0.999723551505084,False,False,False,False
rbohD,root,EPF1,TMM,-0.806,-0.262,,0.999723551505084,False,False,False,False
rbohD,root,EPF2,ER,-1.511,-0.217,,0.8726209548692884,False,False,False,False
rbohD,root,EPF2,TMM,-1.511,-0.262,,0.999723551505084,False,False,False,False
rbohD,root,EPFL9,ER,2.584,-0.217,,0.8726209548692884,False,False,False,False
rbohD,root,EPFL9,TMM,2.584,-0.262,,0.999723551505084,False,False,False,False
rbohD,root,RGF1,RGI1,-0.201,-0.141,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,RGF1,RGI2,-0.201,-0.172,0.999723551505084,0.6125083151222388,False,False,False,False
rbohD,root,RGF1,RGI3,-0.201,-0.089,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,RGF2,RGI1,-0.36,-0.141,0.5537428179536178,0.999723551505084,False,False,False,False
rbohD,root,RGF3,RGI1,-0.421,-0.141,0.0640402887225993,0.999723551505084,False,False,False,False
rbohD,root,RALF1,FER,-0.056,-0.063,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,RALF23,FER,-0.181,-0.063,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,PSK1,PSKR1,0.203,0.002,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,PSK1,PSKR2,0.203,0.042,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,PROPEP1,PEPR1,-0.464,-0.089,0.3286782237612052,0.868747219824023,False,False,False,False
rbohD,root,PROPEP1,PEPR2,-0.464,-0.107,0.3286782237612052,0.999723551505084,False,False,False,False
rbohD,root,PROPEP3,PEPR1,-0.331,-0.089,0.999723551505084,0.868747219824023,False,False,False,False
rbohD,root,CIF1,GSO1,0.159,-0.057,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,CIF1,GSO2,0.159,0.076,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,CIF2,GSO1,0.056,-0.057,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,CIF2,GSO2,0.056,0.076,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,PIP1,RLK7,-0.05,0.004,0.999723551505084,0.999723551505084,False,False,False,False
rbohD,root,PIP2,RLK7,1.12,0.004,0.9077681916054948,0.999723551505084,False,False,False,False
rbohD,root,PSY1,PSY1R,0.06,-0.132,0.999723551505084,0.6082166578416041,False,False,False,False
rbohD,shoot,CLV3,CLV1,-0.711,-0.0,,0.999980049588478,False,False,False,False
rbohD,shoot,CLV3,BAM1,-0.711,-0.082,,0.999980049588478,False,False,False,False
rbohD,shoot,CLV3,BAM2,-0.711,0.087,,0.999980049588478,False,False,False,False
rbohD,shoot,CLV3,BAM3,-0.711,0.03,,0.999980049588478,False,False,False,False
rbohD,shoot,CLE40,ACR4,-0.02,-0.032,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,CLE40,CLV1,-0.02,-0.0,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,CLE41,PXY,-0.002,-0.17,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,CLE44,PXY,0.37,-0.17,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,IDA,HAE,1.374,0.58,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,IDA,HSL2,1.374,-0.139,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,EPF1,ER,0.098,-0.001,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,EPF1,ERL1,0.098,-0.062,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,EPF1,ERL2,0.098,-0.196,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,EPF1,TMM,0.098,0.25,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,EPF2,ER,-0.293,-0.001,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,EPF2,TMM,-0.293,0.25,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,EPFL9,ER,0.152,-0.001,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,EPFL9,TMM,0.152,0.25,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,RGF1,RGI1,-0.713,-0.391,,0.999980049588478,False,False,False,False
rbohD,shoot,RGF1,RGI2,-0.713,-1.86,,0.999980049588478,False,False,False,False
rbohD,shoot,RGF1,RGI3,-0.713,0.199,,0.999980049588478,False,False,False,False
rbohD,shoot,RGF2,RGI1,-0.804,-0.391,,0.999980049588478,False,False,False,False
rbohD,shoot,RGF3,RGI1,,-0.391,,0.999980049588478,False,False,False,False
rbohD,shoot,RALF1,FER,-0.544,-0.025,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,RALF23,FER,0.205,-0.025,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,PSK1,PSKR1,-1.515,0.163,,0.999980049588478,False,False,False,False
rbohD,shoot,PSK1,PSKR2,-1.515,-0.05,,0.999980049588478,False,False,False,False
rbohD,shoot,PROPEP1,PEPR1,0.427,-0.146,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,PROPEP1,PEPR2,0.427,-0.422,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,PROPEP3,PEPR1,2.237,-0.146,0.5545009397075962,0.999980049588478,False,False,False,False
rbohD,shoot,CIF1,GSO1,-0.008,0.409,,0.7459027250760613,False,False,False,False
rbohD,shoot,CIF1,GSO2,-0.008,-0.577,,0.999980049588478,False,False,False,False
rbohD,shoot,CIF2,GSO1,-0.075,0.409,0.999980049588478,0.7459027250760613,False,False,False,False
rbohD,shoot,CIF2,GSO2,-0.075,-0.577,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,PIP1,RLK7,0.069,-0.187,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,PIP2,RLK7,1.49,-0.187,0.999980049588478,0.999980049588478,False,False,False,False
rbohD,shoot,PSY1,PSY1R,0.066,0.187,0.999980049588478,0.999980049588478,False,False,False,False
