genotype,tissue,pathway,name,n_pathway,n_deg,p_hyper
rbohD,root,ath00190,Oxidative phosphorylation,130,1,0.7393312586664897
rbohD,root,ath04075,Plant hormone signal transduction,408,3,0.7952265119278961
rbohD,root,ath04142,Lysosome biogenesis,187,1,0.856844029385042
rbohD,root,ath04626,Plant-pathogen interaction,210,1,0.887790109691499
rbohD,root,ath04141,Protein processing in endoplasmic reticulum,213,1,0.8913069651435088
rbohD,shoot,ath01100,Metabolic pathways,2286,10,0.0008828964544574215
rbohD,shoot,ath00062,Fatty acid elongation,33,2,0.0017930639297029825
rbohD,shoot,ath01212,Fatty acid metabolism,67,2,0.007239550951932771
rbohD,shoot,ath00290,"Valine, leucine and isoleucine biosynthesis",20,1,0.03863909827819857
rbohD,shoot,ath00966,Glucosinolate biosynthesis,24,1,0.04620206556621904
rbohD,shoot,ath04142,Lysosome biogenesis,188,2,0.05055422993202664
rbohD,shoot,ath00770,Pantothenate and CoA biosynthesis,32,1,0.06116596719038978
rbohD,shoot,ath00220,Arginine biosynthesis,38,1,0.07224848342637498
rbohD,shoot,ath00910,Nitrogen metabolism,38,1,0.07224848342637498
rbohD,shoot,ath01230,Biosynthesis of amino acids,237,2,0.0763186946672876
rbohD,shoot,ath01110,Biosynthesis of secondary metabolites,1311,5,0.09064285937703184
rbohD,shoot,ath00250,"Alanine, aspartate and glutamate metabolism",51,1,0.0958537004459541
rbohD,shoot,ath00280,"Valine, leucine and isoleucine degradation",51,1,0.0958537004459541
rbohD,shoot,ath00330,Arginine and proline metabolism,52,1,0.09764667129417737
rbohD,shoot,ath00053,Ascorbate and aldarate metabolism,61,1,0.11363855614843417
rbohD,shoot,ath00240,Pyrimidine metabolism,61,1,0.11363855614843417
rbohD,shoot,ath00999,Biosynthesis of various plant secondary metabolites,62,1,0.11539943313640008
rbohD,shoot,ath00260,"Glycine, serine and threonine metabolism",69,1,0.1276367994634913
rbohD,shoot,ath00562,Inositol phosphate metabolism,80,1,0.14655628920094213
rbohD,shoot,ath01232,Nucleotide metabolism,80,1,0.14655628920094213
rbohD,shoot,ath00040,Pentose and glucuronate interconversions,89,1,0.16175757018267842
rbohD,shoot,ath00230,Purine metabolism,97,1,0.17506273067765726
rbohD,shoot,ath01250,Biosynthesis of nucleotide sugars,97,1,0.17506273067765726
rbohD,shoot,ath01210,2-Oxocarboxylic acid metabolism,101,1,0.18164305340988762
rbohD,shoot,ath00270,Cysteine and methionine metabolism,121,1,0.2138345946601255
rbohD,shoot,ath04016,MAPK signaling pathway,139,1,0.2418180907684936
rbohD,shoot,ath00500,Starch and sucrose metabolism,166,1,0.2820983072942743
rbohD,shoot,ath01240,Biosynthesis of cofactors,238,1,0.3801863378880445
rbohD,shoot,ath01200,Carbon metabolism,275,1,0.42570032656629314
