genotype,tissue,pathway,name,gene,log2FC
Col-0,root,ath00480,Glutathione metabolism,AT2G29460,2.237
Col-0,root,ath00480,Glutathione metabolism,AT5G02780,1.717
Col-0,root,ath00480,Glutathione metabolism,AT5G26220,1.696
Col-0,root,ath00500,Starch and sucrose metabolism,AT1G02850,1.666
Col-0,root,ath00500,Starch and sucrose metabolism,AT1G51420,1.007
Col-0,root,ath00500,Starch and sucrose metabolism,AT2G44460,6.82
Col-0,root,ath00500,Starch and sucrose metabolism,AT3G47040,-1.244
Col-0,root,ath00500,Starch and sucrose metabolism,AT3G60120,4.762
Col-0,root,ath00500,Starch and sucrose metabolism,AT3G60140,5.273
Col-0,root,ath00500,Starch and sucrose metabolism,AT4G02280,1.331
Col-0,root,ath00500,Starch and sucrose metabolism,AT4G24040,1.327
Col-0,root,ath00500,Starch and sucrose metabolism,AT5G28510,1.68
Col-0,root,ath00520,Amino sugar and nucleotide sugar metabolism,AT2G43570,2.125
Col-0,root,ath00520,Amino sugar and nucleotide sugar metabolism,AT2G43620,2.698
Col-0,root,ath00520,Amino sugar and nucleotide sugar metabolism,AT5G09730,1.88
Col-0,root,ath00543,Exopolysaccharide biosynthesis,AT4G35640,1.325
Col-0,root,ath00561,Glycerolipid metabolism,AT3G26820,2.208
Col-0,root,ath00630,Glyoxylate and dicarboxylate metabolism,AT3G08860,1.409
Col-0,root,ath00630,Glyoxylate and dicarboxylate metabolism,AT3G21720,3.249
Col-0,root,ath00640,Propanoate metabolism,AT2G30660,6.985
Col-0,root,ath00640,Propanoate metabolism,AT3G21720,3.249
Col-0,root,ath00909,Sesquiterpenoid and triterpenoid biosynthesis,AT5G42600,-1.782
Col-0,root,ath00910,Nitrogen metabolism,AT1G08090,3.482
Col-0,root,ath00910,Nitrogen metabolism,AT1G23730,3.334
Col-0,root,ath00910,Nitrogen metabolism,AT5G14570,2.435
Col-0,root,ath00920,Sulfur metabolism,AT4G35640,1.325
Col-0,root,ath00940,Phenylpropanoid biosynthesis,AT1G14540,2.151
Col-0,root,ath00940,Phenylpropanoid biosynthesis,AT1G14550,3.415
Col-0,root,ath00940,Phenylpropanoid biosynthesis,AT1G49570,2.835
Col-0,root,ath00940,Phenylpropanoid biosynthesis,AT1G67980,3.129
Col-0,root,ath00940,Phenylpropanoid biosynthesis,AT3G03670,2.583
Col-0,root,ath00940,Phenylpropanoid biosynthesis,AT5G19890,1.93
Col-0,root,ath00940,Phenylpropanoid biosynthesis,AT5G47000,-1.322
Col-0,root,ath00940,Phenylpropanoid biosynthesis,AT5G64110,1.619
Col-0,root,ath00941,Flavonoid biosynthesis,AT1G67980,3.129
Col-0,root,ath00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",AT1G67980,3.129
Col-0,root,ath00950,Isoquinoline alkaloid biosynthesis,AT4G28420,5.15
Col-0,root,ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",AT2G30670,4.808
Col-0,root,ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",AT4G28420,5.15
Col-0,root,ath00999,Biosynthesis of various plant secondary metabolites,AT1G02850,1.666
Col-0,root,ath00999,Biosynthesis of various plant secondary metabolites,AT2G44460,6.82
Col-0,root,ath00999,Biosynthesis of various plant secondary metabolites,AT3G47040,-1.244
Col-0,root,ath00999,Biosynthesis of various plant secondary metabolites,AT3G60120,4.762
Col-0,root,ath00999,Biosynthesis of various plant secondary metabolites,AT3G60140,5.273
Col-0,root,ath00999,Biosynthesis of various plant secondary metabolites,AT4G31970,8.704
Col-0,root,ath00999,Biosynthesis of various plant secondary metabolites,AT5G28510,1.68
Col-0,root,ath01040,Biosynthesis of unsaturated fatty acids,AT3G02620,-1.353
Col-0,root,ath01100,Metabolic pathways,AT1G02850,1.666
Col-0,root,ath01100,Metabolic pathways,AT1G02930,1.091
Col-0,root,ath01100,Metabolic pathways,AT1G05650,3.259
Col-0,root,ath01100,Metabolic pathways,AT1G14540,2.151
Col-0,root,ath01100,Metabolic pathways,AT1G14550,3.415
Col-0,root,ath01100,Metabolic pathways,AT1G17180,1.333
Col-0,root,ath01100,Metabolic pathways,AT1G19250,1.296
Col-0,root,ath01100,Metabolic pathways,AT1G23730,3.334
Col-0,root,ath01100,Metabolic pathways,AT1G49570,2.835
Col-0,root,ath01100,Metabolic pathways,AT1G56600,1.413
Col-0,root,ath01100,Metabolic pathways,AT1G60470,1.186
Col-0,root,ath01100,Metabolic pathways,AT1G67980,3.129
Col-0,root,ath01100,Metabolic pathways,AT1G69920,3.92
Col-0,root,ath01100,Metabolic pathways,AT1G69930,5.376
Col-0,root,ath01100,Metabolic pathways,AT1G78340,1.074
Col-0,root,ath01100,Metabolic pathways,AT2G02930,2.477
Col-0,root,ath01100,Metabolic pathways,AT2G26400,3.513
Col-0,root,ath01100,Metabolic pathways,AT2G28860,-3.375
Col-0,root,ath01100,Metabolic pathways,AT2G29460,2.237
Col-0,root,ath01100,Metabolic pathways,AT2G30660,6.985
Col-0,root,ath01100,Metabolic pathways,AT2G30670,4.808
Col-0,root,ath01100,Metabolic pathways,AT2G30750,4.543
Col-0,root,ath01100,Metabolic pathways,AT2G30770,6.102
Col-0,root,ath01100,Metabolic pathways,AT2G43570,2.125
Col-0,root,ath01100,Metabolic pathways,AT2G43620,2.698
Col-0,root,ath01100,Metabolic pathways,AT2G43890,3.338
Col-0,root,ath01100,Metabolic pathways,AT2G44460,6.82
Col-0,root,ath01100,Metabolic pathways,AT3G02620,-1.353
Col-0,root,ath01100,Metabolic pathways,AT3G03670,2.583
Col-0,root,ath01100,Metabolic pathways,AT3G08860,1.409
Col-0,root,ath01100,Metabolic pathways,AT3G21720,3.249
Col-0,root,ath01100,Metabolic pathways,AT3G26820,2.208
Col-0,root,ath01100,Metabolic pathways,AT3G47040,-1.244
Col-0,root,ath01100,Metabolic pathways,AT3G60120,4.762
Col-0,root,ath01100,Metabolic pathways,AT3G60140,5.273
Col-0,root,ath01100,Metabolic pathways,AT4G01970,1.205
Col-0,root,ath01100,Metabolic pathways,AT4G02280,1.331
Col-0,root,ath01100,Metabolic pathways,AT4G24040,1.327
Col-0,root,ath01100,Metabolic pathways,AT4G28420,5.15
Col-0,root,ath01100,Metabolic pathways,AT4G34250,1.215
Col-0,root,ath01100,Metabolic pathways,AT4G35640,1.325
Col-0,root,ath01100,Metabolic pathways,AT5G02780,1.717
Col-0,root,ath01100,Metabolic pathways,AT5G09730,1.88
Col-0,root,ath01100,Metabolic pathways,AT5G19890,1.93
Col-0,root,ath01100,Metabolic pathways,AT5G22300,4.503
Col-0,root,ath01100,Metabolic pathways,AT5G26220,1.696
Col-0,root,ath01100,Metabolic pathways,AT5G28510,1.68
Col-0,root,ath01100,Metabolic pathways,AT5G47000,-1.322
Col-0,root,ath01100,Metabolic pathways,AT5G51500,1.031
Col-0,root,ath01100,Metabolic pathways,AT5G64110,1.619
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT1G02850,1.666
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT1G14540,2.151
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT1G14550,3.415
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT1G49570,2.835
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT1G51420,1.007
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT1G67980,3.129
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT2G28860,-3.375
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT2G30670,4.808
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT2G44460,6.82
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT3G03670,2.583
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT3G08860,1.409
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT3G21720,3.249
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT3G26820,2.208
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT3G47040,-1.244
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT3G60120,4.762
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT3G60140,5.273
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT4G02280,1.331
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT4G24040,1.327
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT4G28420,5.15
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT4G31970,8.704
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT4G34250,1.215
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT4G35640,1.325
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT5G19890,1.93
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT5G22300,4.503
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT5G28510,1.68
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT5G42600,-1.782
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT5G47000,-1.322
Col-0,root,ath01110,Biosynthesis of secondary metabolites,AT5G64110,1.619
Col-0,root,ath01200,Carbon metabolism,AT2G30660,6.985
Col-0,root,ath01200,Carbon metabolism,AT3G08860,1.409
Col-0,root,ath01200,Carbon metabolism,AT3G21720,3.249
Col-0,root,ath01200,Carbon metabolism,AT4G35640,1.325
Col-0,root,ath01210,2-Oxocarboxylic acid metabolism,AT3G08860,1.409
Col-0,root,ath01212,Fatty acid metabolism,AT3G02620,-1.353
Col-0,root,ath01230,Biosynthesis of amino acids,AT4G35640,1.325
Col-0,root,ath02010,ABC transporters,AT3G28345,-1.417
Col-0,root,ath04016,MAPK signaling pathway,AT3G26830,1.661
Col-0,root,ath04075,Plant hormone signal transduction,AT2G23170,1.077
Col-0,root,ath04075,Plant hormone signal transduction,AT5G13320,6.364
Col-0,root,ath04075,Plant hormone signal transduction,AT5G13370,2.524
Col-0,root,ath04075,Plant hormone signal transduction,AT5G50760,-1.173
Col-0,root,ath04626,Plant-pathogen interaction,AT3G47480,4.068
Col-0,root,ath04626,Plant-pathogen interaction,AT4G34250,1.215
Col-0,shoot,ath00040,Pentose and glucuronate interconversions,AT2G45220,4.513
Col-0,shoot,ath00061,Fatty acid biosynthesis,AT4G13180,1.111
Col-0,shoot,ath00062,Fatty acid elongation,AT5G47330,-1.168
Col-0,shoot,ath00100,Steroid biosynthesis,AT2G34500,2.505
Col-0,shoot,ath00190,Oxidative phosphorylation,AT4G05020,1.252
Col-0,shoot,ath00250,"Alanine, aspartate and glutamate metabolism",AT3G08860,1.293
Col-0,shoot,ath00260,"Glycine, serine and threonine metabolism",AT3G08860,1.293
Col-0,shoot,ath00270,Cysteine and methionine metabolism,AT3G08860,1.293
Col-0,shoot,ath00280,"Valine, leucine and isoleucine degradation",AT2G30660,5.208
Col-0,shoot,ath00280,"Valine, leucine and isoleucine degradation",AT3G08860,1.293
Col-0,shoot,ath00340,Histidine metabolism,AT2G32160,1.055
Col-0,shoot,ath00380,Tryptophan metabolism,AT2G30750,5.285
Col-0,shoot,ath00380,Tryptophan metabolism,AT2G30770,3.782
Col-0,shoot,ath00410,beta-Alanine metabolism,AT2G30660,5.208
Col-0,shoot,ath00460,Cyanoamino acid metabolism,AT2G44460,3.959
Col-0,shoot,ath00480,Glutathione metabolism,AT1G74590,1.402
Col-0,shoot,ath00480,Glutathione metabolism,AT2G29490,1.937
Col-0,shoot,ath00480,Glutathione metabolism,AT3G09270,2.335
Col-0,shoot,ath00480,Glutathione metabolism,AT5G02780,3.473
Col-0,shoot,ath00480,Glutathione metabolism,AT5G26220,1.318
Col-0,shoot,ath00500,Starch and sucrose metabolism,AT2G32290,-1.009
Col-0,shoot,ath00500,Starch and sucrose metabolism,AT2G44460,3.959
Col-0,shoot,ath00520,Amino sugar and nucleotide sugar metabolism,AT2G43570,3.856
Col-0,shoot,ath00520,Amino sugar and nucleotide sugar metabolism,AT5G24090,3.897
Col-0,shoot,ath00630,Glyoxylate and dicarboxylate metabolism,AT3G08860,1.293
Col-0,shoot,ath00640,Propanoate metabolism,AT2G30660,5.208
Col-0,shoot,ath00750,Vitamin B6 metabolism,AT1G17710,2.261
Col-0,shoot,ath00750,Vitamin B6 metabolism,AT1G73010,1.496
Col-0,shoot,ath00780,Biotin metabolism,AT4G13180,1.111
Col-0,shoot,ath00860,Porphyrin metabolism,AT1G69720,1.154
Col-0,shoot,ath00910,Nitrogen metabolism,AT1G08090,1.537
Col-0,shoot,ath00910,Nitrogen metabolism,AT3G45060,1.137
Col-0,shoot,ath00940,Phenylpropanoid biosynthesis,AT1G14540,5.239
Col-0,shoot,ath00940,Phenylpropanoid biosynthesis,AT1G67980,5.872
Col-0,shoot,ath00940,Phenylpropanoid biosynthesis,AT5G19880,5.369
Col-0,shoot,ath00941,Flavonoid biosynthesis,AT1G67980,5.872
Col-0,shoot,ath00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",AT1G67980,5.872
Col-0,shoot,ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",AT2G29350,2.761
Col-0,shoot,ath00999,Biosynthesis of various plant secondary metabolites,AT2G44460,3.959
Col-0,shoot,ath00999,Biosynthesis of various plant secondary metabolites,AT3G13610,4.579
Col-0,shoot,ath00999,Biosynthesis of various plant secondary metabolites,AT4G31970,9.876
Col-0,shoot,ath01100,Metabolic pathways,AT1G14540,5.239
Col-0,shoot,ath01100,Metabolic pathways,AT1G17710,2.261
Col-0,shoot,ath01100,Metabolic pathways,AT1G67980,5.872
Col-0,shoot,ath01100,Metabolic pathways,AT1G69720,1.154
Col-0,shoot,ath01100,Metabolic pathways,AT1G73010,1.496
Col-0,shoot,ath01100,Metabolic pathways,AT1G74590,1.402
Col-0,shoot,ath01100,Metabolic pathways,AT2G29350,2.761
Col-0,shoot,ath01100,Metabolic pathways,AT2G29490,1.937
Col-0,shoot,ath01100,Metabolic pathways,AT2G30660,5.208
Col-0,shoot,ath01100,Metabolic pathways,AT2G30750,5.285
Col-0,shoot,ath01100,Metabolic pathways,AT2G30770,3.782
Col-0,shoot,ath01100,Metabolic pathways,AT2G32160,1.055
Col-0,shoot,ath01100,Metabolic pathways,AT2G32290,-1.009
Col-0,shoot,ath01100,Metabolic pathways,AT2G34500,2.505
Col-0,shoot,ath01100,Metabolic pathways,AT2G43570,3.856
Col-0,shoot,ath01100,Metabolic pathways,AT2G44460,3.959
Col-0,shoot,ath01100,Metabolic pathways,AT2G45220,4.513
Col-0,shoot,ath01100,Metabolic pathways,AT3G08860,1.293
Col-0,shoot,ath01100,Metabolic pathways,AT3G09270,2.335
Col-0,shoot,ath01100,Metabolic pathways,AT4G05020,1.252
Col-0,shoot,ath01100,Metabolic pathways,AT4G13180,1.111
Col-0,shoot,ath01100,Metabolic pathways,AT5G02780,3.473
Col-0,shoot,ath01100,Metabolic pathways,AT5G19880,5.369
Col-0,shoot,ath01100,Metabolic pathways,AT5G24090,3.897
Col-0,shoot,ath01100,Metabolic pathways,AT5G26220,1.318
Col-0,shoot,ath01100,Metabolic pathways,AT5G47330,-1.168
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT1G14540,5.239
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT1G67980,5.872
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT1G69720,1.154
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT2G29350,2.761
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT2G32290,-1.009
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT2G34500,2.505
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT2G44460,3.959
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT3G08860,1.293
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT3G13610,4.579
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT4G13180,1.111
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT4G31970,9.876
Col-0,shoot,ath01110,Biosynthesis of secondary metabolites,AT5G19880,5.369
Col-0,shoot,ath01200,Carbon metabolism,AT2G30660,5.208
Col-0,shoot,ath01200,Carbon metabolism,AT3G08860,1.293
Col-0,shoot,ath01210,2-Oxocarboxylic acid metabolism,AT3G08860,1.293
Col-0,shoot,ath01212,Fatty acid metabolism,AT4G13180,1.111
Col-0,shoot,ath01212,Fatty acid metabolism,AT5G47330,-1.168
Col-0,shoot,ath01240,Biosynthesis of cofactors,AT1G17710,2.261
Col-0,shoot,ath01240,Biosynthesis of cofactors,AT1G73010,1.496
Col-0,shoot,ath01240,Biosynthesis of cofactors,AT4G13180,1.111
Col-0,shoot,ath02010,ABC transporters,AT2G47000,1.403
Col-0,shoot,ath04016,MAPK signaling pathway,AT2G14610,2.395
Col-0,shoot,ath04016,MAPK signaling pathway,AT3G26830,2.707
Col-0,shoot,ath04075,Plant hormone signal transduction,AT2G14610,2.395
Col-0,shoot,ath04075,Plant hormone signal transduction,AT5G13320,1.923
Col-0,shoot,ath04142,Lysosome biogenesis,AT2G31020,1.727
Col-0,shoot,ath04142,Lysosome biogenesis,AT5G47330,-1.168
Col-0,shoot,ath04626,Plant-pathogen interaction,AT1G21550,-1.4
Col-0,shoot,ath04626,Plant-pathogen interaction,AT2G14610,2.395
Col-0,shoot,ath04626,Plant-pathogen interaction,AT4G37010,2.731
cax2-2,root,ath00940,Phenylpropanoid biosynthesis,AT1G49570,3.177
cax2-2,root,ath00940,Phenylpropanoid biosynthesis,AT5G19890,1.69
cax2-2,root,ath01100,Metabolic pathways,AT1G49570,3.177
cax2-2,root,ath01100,Metabolic pathways,AT5G19890,1.69
cax2-2,root,ath01110,Biosynthesis of secondary metabolites,AT1G49570,3.177
cax2-2,root,ath01110,Biosynthesis of secondary metabolites,AT5G19890,1.69
rbohD,root,ath00040,Pentose and glucuronate interconversions,AT1G05650,3.579
rbohD,root,ath00040,Pentose and glucuronate interconversions,AT2G43890,4.377
rbohD,root,ath00040,Pentose and glucuronate interconversions,AT5G51500,1.135
rbohD,root,ath00052,Galactose metabolism,AT1G56600,1.041
rbohD,root,ath00052,Galactose metabolism,AT1G60470,1.09
rbohD,root,ath00061,Fatty acid biosynthesis,AT3G02620,-1.058
rbohD,root,ath00100,Steroid biosynthesis,AT2G28850,-3.569
rbohD,root,ath00100,Steroid biosynthesis,AT2G28860,-4.338
rbohD,root,ath00130,Ubiquinone and other terpenoid-quinone biosynthesis,AT4G28420,6.698
rbohD,root,ath00190,Oxidative phosphorylation,AT2G20800,2.453
rbohD,root,ath00250,"Alanine, aspartate and glutamate metabolism",AT3G08860,1.2
rbohD,root,ath00260,"Glycine, serine and threonine metabolism",AT3G08860,1.2
rbohD,root,ath00270,Cysteine and methionine metabolism,AT2G26400,3.29
rbohD,root,ath00270,Cysteine and methionine metabolism,AT3G08860,1.2
rbohD,root,ath00270,Cysteine and methionine metabolism,AT3G22740,-1.766
rbohD,root,ath00270,Cysteine and methionine metabolism,AT4G28420,6.698
rbohD,root,ath00280,"Valine, leucine and isoleucine degradation",AT2G30660,7.342
rbohD,root,ath00280,"Valine, leucine and isoleucine degradation",AT3G08860,1.2
rbohD,root,ath00350,Tyrosine metabolism,AT4G28420,6.698
rbohD,root,ath00360,Phenylalanine metabolism,AT4G28420,6.698
rbohD,root,ath00380,Tryptophan metabolism,AT2G30750,4.116
rbohD,root,ath00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",AT4G28420,6.698
rbohD,root,ath00410,beta-Alanine metabolism,AT2G30660,7.342
rbohD,root,ath00430,Taurine and hypotaurine metabolism,AT1G19250,1.171
rbohD,root,ath00460,Cyanoamino acid metabolism,AT1G02850,2.051
rbohD,root,ath00460,Cyanoamino acid metabolism,AT2G44460,7.511
rbohD,root,ath00460,Cyanoamino acid metabolism,AT3G60120,6.143
rbohD,root,ath00460,Cyanoamino acid metabolism,AT5G22300,4.067
rbohD,root,ath00480,Glutathione metabolism,AT1G17180,1.152
rbohD,root,ath00480,Glutathione metabolism,AT1G69920,3.497
rbohD,root,ath00480,Glutathione metabolism,AT1G69930,3.974
rbohD,root,ath00480,Glutathione metabolism,AT1G78340,1.401
rbohD,root,ath00480,Glutathione metabolism,AT2G29460,1.354
rbohD,root,ath00480,Glutathione metabolism,AT5G02780,1.227
rbohD,root,ath00480,Glutathione metabolism,AT5G26220,1.525
rbohD,root,ath00500,Starch and sucrose metabolism,AT1G02850,2.051
rbohD,root,ath00500,Starch and sucrose metabolism,AT2G44460,7.511
rbohD,root,ath00500,Starch and sucrose metabolism,AT3G60120,6.143
rbohD,root,ath00500,Starch and sucrose metabolism,AT4G02280,1.008
rbohD,root,ath00520,Amino sugar and nucleotide sugar metabolism,AT2G43570,1.957
rbohD,root,ath00520,Amino sugar and nucleotide sugar metabolism,AT2G43620,2.407
rbohD,root,ath00620,Pyruvate metabolism,AT2G19900,1.316
rbohD,root,ath00630,Glyoxylate and dicarboxylate metabolism,AT3G08860,1.2
rbohD,root,ath00630,Glyoxylate and dicarboxylate metabolism,AT3G21720,2.412
rbohD,root,ath00640,Propanoate metabolism,AT2G30660,7.342
rbohD,root,ath00640,Propanoate metabolism,AT3G21720,2.412
rbohD,root,ath00670,One carbon pool by folate,AT3G22740,-1.766
rbohD,root,ath00710,Carbon fixation by Calvin cycle,AT2G19900,1.316
rbohD,root,ath00740,Riboflavin metabolism,AT3G17790,1.109
rbohD,root,ath00904,Diterpenoid biosynthesis,AT5G07200,1.216
rbohD,root,ath00908,Zeatin biosynthesis,AT2G19500,3.383
rbohD,root,ath00909,Sesquiterpenoid and triterpenoid biosynthesis,AT5G36150,1.825
rbohD,root,ath00909,Sesquiterpenoid and triterpenoid biosynthesis,AT5G42600,-1.832
rbohD,root,ath00910,Nitrogen metabolism,AT1G08090,3.753
rbohD,root,ath00910,Nitrogen metabolism,AT1G23730,2.546
rbohD,root,ath00910,Nitrogen metabolism,AT5G14570,2.474
rbohD,root,ath00910,Nitrogen metabolism,AT5G60770,1.9
rbohD,root,ath00940,Phenylpropanoid biosynthesis,AT1G14540,2.524
rbohD,root,ath00940,Phenylpropanoid biosynthesis,AT1G14550,2.41
rbohD,root,ath00940,Phenylpropanoid biosynthesis,AT1G49570,2.257
rbohD,root,ath00940,Phenylpropanoid biosynthesis,AT3G03670,2.252
rbohD,root,ath00940,Phenylpropanoid biosynthesis,AT4G15490,1.917
rbohD,root,ath00940,Phenylpropanoid biosynthesis,AT5G19890,1.143
rbohD,root,ath00940,Phenylpropanoid biosynthesis,AT5G47000,-1.703
rbohD,root,ath00940,Phenylpropanoid biosynthesis,AT5G64110,2.057
rbohD,root,ath00941,Flavonoid biosynthesis,AT4G22880,-2.598
rbohD,root,ath00941,Flavonoid biosynthesis,AT5G42800,-3.18
rbohD,root,ath00950,Isoquinoline alkaloid biosynthesis,AT4G28420,6.698
rbohD,root,ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",AT2G30670,2.934
rbohD,root,ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",AT4G28420,6.698
rbohD,root,ath00999,Biosynthesis of various plant secondary metabolites,AT1G02850,2.051
rbohD,root,ath00999,Biosynthesis of various plant secondary metabolites,AT2G44460,7.511
rbohD,root,ath00999,Biosynthesis of various plant secondary metabolites,AT3G60120,6.143
rbohD,root,ath00999,Biosynthesis of various plant secondary metabolites,AT4G31970,6.992
rbohD,root,ath00999,Biosynthesis of various plant secondary metabolites,AT5G36130,1.174
rbohD,root,ath01040,Biosynthesis of unsaturated fatty acids,AT3G02620,-1.058
rbohD,root,ath01100,Metabolic pathways,AT1G02850,2.051
rbohD,root,ath01100,Metabolic pathways,AT1G05650,3.579
rbohD,root,ath01100,Metabolic pathways,AT1G14540,2.524
rbohD,root,ath01100,Metabolic pathways,AT1G14550,2.41
rbohD,root,ath01100,Metabolic pathways,AT1G17180,1.152
rbohD,root,ath01100,Metabolic pathways,AT1G19250,1.171
rbohD,root,ath01100,Metabolic pathways,AT1G23730,2.546
rbohD,root,ath01100,Metabolic pathways,AT1G49570,2.257
rbohD,root,ath01100,Metabolic pathways,AT1G56600,1.041
rbohD,root,ath01100,Metabolic pathways,AT1G60470,1.09
rbohD,root,ath01100,Metabolic pathways,AT1G69920,3.497
rbohD,root,ath01100,Metabolic pathways,AT1G69930,3.974
rbohD,root,ath01100,Metabolic pathways,AT1G78340,1.401
rbohD,root,ath01100,Metabolic pathways,AT2G19900,1.316
rbohD,root,ath01100,Metabolic pathways,AT2G20800,2.453
rbohD,root,ath01100,Metabolic pathways,AT2G26400,3.29
rbohD,root,ath01100,Metabolic pathways,AT2G28850,-3.569
rbohD,root,ath01100,Metabolic pathways,AT2G28860,-4.338
rbohD,root,ath01100,Metabolic pathways,AT2G29460,1.354
rbohD,root,ath01100,Metabolic pathways,AT2G30660,7.342
rbohD,root,ath01100,Metabolic pathways,AT2G30670,2.934
