genotype,tissue,gene,symbol,lasso_coef,selection_freq,in_deseq2_DEG
Col-0,shoot,AT4G14410,,-0.0068,1.0,False
Col-0,shoot,AT4G18250,kinase,0.0067,1.0,True
Col-0,shoot,AT3G08510,,-0.0067,1.0,False
Col-0,shoot,AT5G59720,HSP18.2,-0.0066,1.0,False
Col-0,shoot,AT2G25200,,-0.0065,1.0,False
Col-0,shoot,AT1G09210,,0.0065,1.0,False
Col-0,shoot,AT1G46554,other RNA,-0.0065,1.0,False
Col-0,shoot,AT2G32290,BMY5,-0.0063,1.0,True
Col-0,shoot,AT5G04440,,-0.0063,1.0,False
Col-0,shoot,AT2G43570,chitinase,0.0063,1.0,True
Col-0,shoot,AT3G23530,CPA-FA synthase,0.0063,1.0,False
Col-0,shoot,AT5G24530,DMR6,0.0063,1.0,True
Col-0,shoot,AT1G53450,,-0.0062,1.0,False
Col-0,shoot,AT2G31955,,0.0062,1.0,False
Col-0,shoot,AT3G27027,,0.0062,1.0,False
Col-0,shoot,AT4G31180,,0.006,1.0,False
Col-0,shoot,AT1G79890,helicase,0.006,1.0,False
Col-0,shoot,AT5G38510,,-0.006,1.0,False
Col-0,shoot,AT1G76970,VHS,0.0059,1.0,False
Col-0,shoot,AT5G52340,,-0.0059,1.0,False
Col-0,shoot,AT5G49800,,0.0059,1.0,False
Col-0,shoot,AT4G35640,SERAT3;2,0.0059,1.0,False
Col-0,shoot,AT1G52880,,-0.0059,1.0,False
Col-0,shoot,AT2G20820,,0.0058,1.0,False
Col-0,shoot,AT1G31820,,-0.0058,1.0,False
Col-0,shoot,AT3G04300,,0.0058,1.0,False
Col-0,shoot,AT3G44798,,-0.0058,1.0,False
Col-0,shoot,AT4G37010,CEN2,0.0057,1.0,True
Col-0,shoot,AT4G23310,,0.0057,1.0,True
Col-0,shoot,AT5G45510,,0.0057,1.0,False
Col-0,shoot,AT4G12320,CYP706A6,-0.0057,1.0,False
Col-0,shoot,AT2G07664,,0.0057,1.0,False
Col-0,shoot,AT1G55160,,-0.0057,1.0,False
Col-0,shoot,AT1G13750,phosphoesterase,0.0056,1.0,True
Col-0,shoot,AT1G11300,,0.0056,1.0,False
Col-0,shoot,AT5G64000,SAL2,0.0056,1.0,False
Col-0,shoot,AT1G22500,zinc finger,-0.0055,1.0,False
Col-0,shoot,AT1G51270,structural molecule/ transmembrane receptor,-0.0055,1.0,False
Col-0,shoot,AT5G52650,,0.0055,1.0,False
Col-0,shoot,AT2G23350,,0.0054,1.0,False
Col-0,shoot,AT3G10130,,-0.0054,1.0,False
Col-0,shoot,AT5G45840,kinase,-0.0054,1.0,False
Col-0,shoot,AT3G58270,,-0.0054,1.0,False
Col-0,shoot,AT5G03360,,0.0054,1.0,False
Col-0,shoot,AT3G15620,UVR3,-0.0053,1.0,False
Col-0,shoot,AT1G15200,,0.0053,1.0,False
Col-0,shoot,AT1G72510,,-0.0053,1.0,False
Col-0,shoot,AT3G23560,ALF5,0.0052,1.0,False
Col-0,shoot,AT2G25070,,-0.0052,1.0,False
Col-0,shoot,AT5G25210,,-0.0052,1.0,False
Col-0,shoot,AT3G28770,,-0.0052,1.0,False
Col-0,shoot,AT2G14247,,0.0051,1.0,True
Col-0,shoot,AT1G11360,,-0.0051,1.0,False
Col-0,shoot,AT5G43450,2-oxoglutarate-dependent dioxygenase,-0.0051,1.0,False
Col-0,shoot,AT5G11720,,-0.005,1.0,False
Col-0,shoot,AT2G28190,CZSOD2,-0.005,1.0,False
Col-0,shoot,AT2G20630,,0.005,1.0,False
Col-0,shoot,AT1G48820,,-0.005,1.0,False
Col-0,shoot,AT1G14750,SDS,-0.005,1.0,False
Col-0,shoot,AT3G17700,,0.005,1.0,False
Col-0,shoot,AT1G64060,,-0.0049,1.0,False
Col-0,shoot,AT3G01310,,-0.0049,1.0,False
Col-0,shoot,AT5G59000,,-0.0049,1.0,False
Col-0,shoot,AT3G46630,,-0.0048,1.0,False
Col-0,shoot,AT3G20370,MATH,0.0048,1.0,False
Col-0,shoot,AT2G28900,,-0.0048,1.0,False
Col-0,shoot,AT4G30810,,0.0048,1.0,False
Col-0,shoot,AT2G07798,,0.0048,1.0,False
Col-0,shoot,AT1G35710,,0.0048,1.0,False
Col-0,shoot,AT3G48115,other RNA,-0.0047,1.0,False
Col-0,shoot,AT1G66700,,0.0047,1.0,True
Col-0,shoot,AT4G34138,UGT73B1,0.0047,1.0,False
Col-0,shoot,AT5G17990,,0.0047,1.0,False
Col-0,shoot,AT4G12500,LTP,0.0047,1.0,True
Col-0,shoot,AT3G28890,,0.0047,1.0,False
Col-0,shoot,AT4G02260,,-0.0047,1.0,False
Col-0,shoot,AT1G26390,FAD-binding,0.0046,1.0,True
Col-0,shoot,AT3G56590,,0.0046,1.0,False
Col-0,shoot,AT1G69830,,-0.0046,1.0,False
Col-0,shoot,AT3G57260,,0.0045,1.0,True
Col-0,shoot,AT3G57610,,0.0045,1.0,False
Col-0,shoot,AT5G04930,,0.0045,1.0,False
Col-0,shoot,AT5G50450,,-0.0045,1.0,False
Col-0,shoot,AT1G70280,,0.0045,1.0,False
Col-0,shoot,AT2G30750,CYP71A12,0.0044,1.0,True
Col-0,shoot,AT4G16880,disease resistance,-0.0044,1.0,False
Col-0,shoot,AT4G23230,,0.0044,0.875,True
Col-0,shoot,AT1G71090,,-0.0044,1.0,False
Col-0,shoot,AT2G47970,NPL4,0.0043,0.875,False
Col-0,shoot,AT5G45116,,0.0043,1.0,False
Col-0,shoot,AT5G42830,transferase,0.0042,1.0,True
Col-0,shoot,AT1G70170,MMP,0.0042,1.0,True
Col-0,shoot,AT4G36450,MPK14,-0.0042,0.75,False
Col-0,shoot,AT1G32780,alcohol dehydrogenase,0.0042,1.0,False
Col-0,shoot,AT1G02860,,-0.0042,0.75,False
Col-0,shoot,AT4G28490,RLK5,0.0041,0.875,False
Col-0,shoot,AT1G34100,,-0.0041,0.75,True
Col-0,shoot,AT1G26380,FAD-binding,0.004,1.0,True
Col-0,shoot,AT1G69430,,-0.004,0.875,False
Col-0,shoot,AT5G43780,APS4,-0.004,0.875,False
Col-0,shoot,AT5G42200,,-0.004,1.0,False
Col-0,shoot,AT2G27710,,0.004,1.0,False
Col-0,shoot,AT3G43850,,-0.0038,0.875,True
Col-0,shoot,AT4G37980,ELI3-1,0.0038,0.875,False
Col-0,shoot,AT2G07783,,0.0038,0.75,False
Col-0,shoot,AT1G02150,,0.0038,0.75,False
Col-0,shoot,AT5G06690,WCRKC1,-0.0038,1.0,False
Col-0,shoot,AT5G01180,,-0.0038,1.0,False
Col-0,shoot,AT5G54140,ILL3,0.0037,1.0,False
Col-0,shoot,AT4G25070,,0.0037,1.0,True
Col-0,shoot,AT2G21970,,-0.0037,0.75,False
Col-0,shoot,AT2G34940,vacuolar sorting receptor,0.0036,0.875,True
Col-0,shoot,AT5G14800,,0.0036,0.75,False
Col-0,shoot,AT5G25752,,-0.0036,0.875,False
Col-0,shoot,AT5G02150,,-0.0036,0.875,False
Col-0,shoot,AT1G13390,,-0.0036,1.0,False
Col-0,shoot,AT3G02040,SRG3,0.0036,1.0,False
Col-0,shoot,AT5G61350,kinase,-0.0036,0.75,False
Col-0,shoot,AT1G21240,WAK3,0.0036,1.0,True
Col-0,shoot,AT1G06460,,-0.0035,1.0,False
Col-0,shoot,AT1G21310,RSH,0.0035,1.0,True
Col-0,shoot,AT1G50630,,-0.0035,1.0,False
Col-0,shoot,AT1G30900,vacuolar sorting receptor,0.0035,0.875,True
Col-0,shoot,AT5G17390,,0.0033,0.75,False
Col-0,shoot,AT4G14630,GLP9,0.0032,0.75,True
Col-0,shoot,AT3G17410,,0.0032,0.875,False
Col-0,shoot,AT5G58770,,-0.0032,0.75,False
Col-0,shoot,AT4G23030,MATE efflux,0.0032,1.0,False
Col-0,shoot,AT3G16560,,-0.0032,1.0,False
Col-0,shoot,AT1G30880,,-0.0032,0.875,False
Col-0,shoot,AT5G59680,,0.0031,0.875,False
Col-0,shoot,ATMG00040,,0.0031,0.75,False
Col-0,shoot,AT4G29070,,-0.0031,1.0,False
Col-0,shoot,AT2G29490,GST19,0.003,1.0,True
Col-0,shoot,AT2G24040,hydrophobic,0.003,0.875,False
Col-0,shoot,AT5G27280,zinc finger,-0.003,0.75,False
Col-0,shoot,AT2G03310,,-0.003,0.75,False
Col-0,shoot,AT5G48657,defense,0.0029,0.75,True
Col-0,shoot,AT4G19550,,-0.0029,0.75,False
Col-0,shoot,AT1G78590,,-0.0029,0.75,False
Col-0,shoot,AT5G27845,,-0.0029,0.75,False
Col-0,shoot,AT1G44130,nucellin,0.0029,0.75,True
Col-0,shoot,AT1G75730,,-0.0029,0.875,False
Col-0,shoot,AT3G14595,,-0.0029,0.75,False
Col-0,shoot,AT1G13609,,0.0028,0.75,False
Col-0,shoot,AT3G21560,UGT84A2,0.0028,0.75,False
Col-0,shoot,AT2G43360,,0.0028,0.875,False
Col-0,shoot,AT3G47860,,-0.0028,0.875,False
Col-0,shoot,AT1G02360,chitinase,0.0027,0.75,True
Col-0,shoot,AT3G14410,,-0.0027,0.75,False
Col-0,shoot,AT4G10500,oxidoreductase,0.0026,0.875,True
Col-0,shoot,AT1G17600,,0.0026,0.875,False
Col-0,shoot,AT1G73780,LTP,0.0026,0.875,False
Col-0,shoot,AT4G17140,,-0.0025,0.75,False
Col-0,shoot,AT1G48090,,-0.0025,1.0,False
Col-0,shoot,AT3G25882,NIMIN-2,0.0025,0.75,True
Col-0,shoot,AT1G08550,,-0.0024,0.75,False
Col-0,shoot,AT1G75330,,0.0024,0.75,False
Col-0,shoot,AT1G63120,,-0.0023,0.75,False
Col-0,shoot,AT4G35440,,-0.0023,0.75,False
Col-0,shoot,AT5G22570,WRKY38,0.0022,0.75,True
Col-0,shoot,AT1G28330,DYL1,-0.0021,0.75,False
Col-0,shoot,AT1G10600,,-0.0019,0.75,False
