tissue,locus,Symbol,transcript_id,flight_direction,cax22_flight_log2FC,cax23_flight_log2FC,cax23_padj
root,AT3G53280,CYP71B5,AT3G53280.1,up,1.950633191666421,6.331682568,6.21e-16
root,AT1G55670,PSAG,AT1G55670.1,up,1.9471970328483126,5.67314211,1.17e-13
root,AT1G75460,LON,AT1G75460.1,up,1.9374606996769483,5.924105189,3.37e-14
root,AT2G03750,sulfotransferase,AT2G03750.1,up,1.9311641346496844,6.754577423,3.12e-18
root,AT3G54050,hydrolase,AT3G54050.1,up,1.9173543359283218,5.8696251615,2.27e-17
root,AT1G08380,PSAO,AT1G08380.1,up,1.9135980761564535,5.504261006,5.08e-14
root,AT5G54630,zinc finger,AT5G54630.1,up,1.912695212476908,7.342020923,2.84e-15
root,AT1G15980,NDF1,AT1G15980.1,up,1.910082794042286,6.748823016,1.7e-20
root,AT1G68780,LRR,AT1G68780.1,up,1.9000160952562306,9.299850444,9.57e-17
root,AT3G59060,PIL6,AT3G59060.3,up,1.8980128585733196,6.28566563575,5.21e-17
root,AT4G00970,kinase,AT4G00970.1,up,1.8895619443766152,6.596852562,1.8e-09
root,AT5G54270,LHCB3*1,AT5G54270.1,up,1.8817820399988472,5.785624186,5.83e-13
root,AT5G13730,SIGD,AT5G13730.1,up,1.8758581530953278,5.74025257,8.23e-12
root,AT1G29930,CAB140,AT1G29930.1,up,1.869362959243364,5.148000862,3.88e-07
root,AT3G54830,amino acid transporter,AT3G54830.1,up,1.868174986598346,6.156550852,5.61e-10
root,AT1G56510,WRR4,AT1G56510.1,up,1.8594958607319203,6.307100749,1.32e-11
root,AT3G48200,-,AT3G48200.1,up,1.842401142511908,6.46814276,8.01e-16
root,AT1G73830,BEE3,AT1G73830.2,up,1.8317175074375769,5.516820694,3.71e-11
root,AT3G16140,PSAH-1,AT3G16140.1,up,1.8201406437054415,5.177175254,1.86e-09
root,AT1G14150,PsbQ,AT1G14150.2,up,1.8067043519675188,5.9928195095,7.54e-15
root,AT5G61520,hexose transporter,AT5G61520.1,up,1.7985709847430023,6.809961553,4.3e-12
root,AT3G26180,CYP71B20,AT3G26180.1,up,1.7875173226855017,6.0257242909999995,9.83e-17
root,AT1G54820,kinase,AT1G54820.1,up,1.7761047597760935,7.136653462,2.41e-20
root,AT1G31690,quinone binding,AT1G31690.1,up,1.7748157197989096,6.561490418,1.82e-05
root,AT1G72600,glycoprotein,AT1G72600.2,up,1.7698621953251068,6.02038333,3.57e-15
root,AT1G13650,-,AT1G13650.2,up,1.759407035929538,6.9520602425,5.31e-07
root,AT4G38860,auxin-responsive,AT4G38860.1,up,1.7578603639640014,6.079288115,4.86e-16
root,AT4G13810,RLP47,AT4G13810.1,up,1.7569011104741548,5.301027853500001,4.55e-08
root,AT1G09310,-,AT1G09310.1,up,1.7427440136122823,5.414044392,1.91e-16
root,AT2G15040,RLP18,AT2G15040.1,up,1.7391713764794994,8.437213699,2.86e-08
root,AT3G21055,PSBTN,AT3G21055.1,up,1.7332871217418715,4.561791171,8.16e-07
root,AT1G24148,other RNA,AT1G24148.2,up,1.7218071908693597,6.8977252045,1.35e-11
root,AT3G55240,-,AT3G55240.1,up,1.7154461067769173,7.821401106,3.49e-12
root,AT2G04039,-,AT2G04039.2,up,1.7145026365854734,5.3371879846666666,1.77e-09
root,AT3G47250,-,AT3G47250.1,up,1.698596294688896,6.495852921333333,1.48e-20
root,AT1G07180,NDA1,AT1G07180.1,up,1.6981617798584798,5.748217814,3.54e-08
root,AT1G20020,FNR2,AT1G20020.1,up,1.6953851613565245,5.563442684333334,5.22e-11
root,AT3G08940,LHCB4.2,AT3G08940.1,up,1.6885681546231794,5.500506508,5.16e-09
root,AT4G37925,NDH-M,AT4G37925.1,up,1.6740825452702894,5.270957014,1.94e-11
root,AT1G68520,zinc finger,AT1G68520.1,up,1.6708366963259385,5.839275392,7.25e-13
root,AT3G48420,hydrolase,AT3G48420.1,up,1.6556561214834948,5.522506865,2.41e-12
root,AT1G77210,sugar transporter,AT1G77210.2,up,1.640291080951657,7.439950212499999,8.72e-14
root,AT4G22510,-,AT4G22510.1,up,1.637904376709372,9.147511494,1.4e-05
root,AT4G09350,DNAJ,AT4G09350.1,up,1.6348155715786916,7.155723267,9.08e-13
root,AT1G61520,LHCA3,AT1G61520.3,up,1.632967487287599,5.457758606333333,1.06e-12
root,AT4G10340,LHCB5,AT4G10340.1,up,1.6224296925049992,5.167189668,1.03e-11
root,AT1G20340,PETE2,AT1G20340.1,up,1.6223524946211032,5.034479898,4.82e-10
root,AT3G26320,CYP71B36,AT3G26320.1,up,1.619966455890189,5.003435841,6.71e-05
root,AT4G38840,auxin-responsive,AT4G38840.1,up,1.5999204330849601,6.681735279,1.65e-14
root,AT1G76100,PETE1,AT1G76100.1,up,1.5978039546366658,4.926386617,5.37e-10
root,AT4G16990,RLM3,AT4G16990.1,up,1.586114105916354,6.3476286457999995,2.0600000000000002e-21
root,AT5G47380,-,AT5G47380.1,up,1.5449531011785653,6.90780946,2.55e-13
root,AT1G80130,binding,AT1G80130.1,up,1.5426467508158568,8.377631617,2.17e-05
root,AT2G39730,RCA,AT2G39730.2,up,1.5374361452358416,5.728755611666667,5.09e-13
root,AT5G46880,HDG5,AT5G46880.1,up,1.5291826549088035,7.33005484,1.06e-12
root,AT1G18810,phytochrome kinase substrate,AT1G18810.1,up,1.527288086869686,5.778404373,7.87e-08
root,AT2G22990,SNG1,AT2G22990.5,up,1.5269691186262204,5.607186799666667,1.09e-12
root,AT1G65800,ARK2,AT1G65800.1,up,1.5269666832462934,5.405081985,3.32e-08
root,AT2G41090,CaBP-22,AT2G41090.1,up,1.5235735736084868,5.613890357,5.14e-12
root,AT3G16130,ROPGEF13,AT3G16130.1,up,1.5179049631044501,5.04700404,2.31e-09
root,AT1G65190,kinase,AT1G65190.1,up,1.5108342634989413,5.226494073,7.33e-11
