gene,cell_type,tissue,source
AT2G40113,root endodermis,root,PCMDB:Experimental
AT2G40160,root endodermis,root,PCMDB:Experimental
AT2G47470,root endodermis,root,PCMDB:Experimental
AT2G47630,root endodermis,root,PCMDB:Experimental
AT2G47930,root endodermis,root,PCMDB:Experimental
AT2G48030,root endodermis,root,PCMDB:Experimental
AT3G06125,root endodermis,root,PCMDB:Experimental
AT3G11550,root endodermis,root,PCMDB:Experimental
AT3G22620,root endodermis,root,PCMDB:Experimental
AT3G23730,root endodermis,root,PCMDB:Experimental
AT3G24020,root endodermis,root,PCMDB:Experimental
AT3G29410,root endodermis,root,PCMDB:Experimental
AT3G45260,root endodermis,root,PCMDB:Experimental
AT3G49780,root endodermis,root,PCMDB:Experimental
AT3G52790,root endodermis,root,PCMDB:Experimental
AT3G54400,root endodermis,root,PCMDB:Experimental
AT3G55090,root endodermis,root,PCMDB:Experimental
AT3G55230,root endodermis,root,PCMDB:Experimental
AT4G02090,root endodermis,root,PCMDB:Experimental
AT4G05170,root endodermis,root,PCMDB:Experimental
AT4G08770,root endodermis,root,PCMDB:Experimental
AT4G11190,root endodermis,root,PCMDB:Experimental
AT4G11290,root endodermis,root,PCMDB:Experimental
AT4G13580,root endodermis,root,PCMDB:Experimental
AT4G16447,root endodermis,root,PCMDB:Experimental
AT4G17215,root endodermis,root,PCMDB:Experimental
AT4G17280,root endodermis,root,PCMDB:Experimental
AT4G19720,root endodermis,root,PCMDB:Experimental
AT4G22110,root endodermis,root,PCMDB:Experimental
AT4G22710,root endodermis,root,PCMDB:Experimental
AT4G25200,root endodermis,root,PCMDB:Experimental
AT4G25434,root endodermis,root,PCMDB:Experimental
AT4G26140,root endodermis,root,PCMDB:Experimental
AT4G32710,root endodermis,root,PCMDB:Experimental
AT4G36430,root endodermis,root,PCMDB:Experimental
AT4G37770,root endodermis,root,PCMDB:Experimental
AT5G06200,root endodermis,root,PCMDB:Experimental
AT5G07475,root endodermis,root,PCMDB:Experimental
AT5G08350,root endodermis,root,PCMDB:Experimental
AT5G13880,root endodermis,root,PCMDB:Experimental
AT5G15290,root endodermis,root,PCMDB:Experimental
AT5G16770,root endodermis,root,PCMDB:Experimental
AT5G23920,root endodermis,root,PCMDB:Experimental
AT5G24600,root endodermis,root,PCMDB:Experimental
AT5G38005,root endodermis,root,PCMDB:Experimental
AT5G41040,root endodermis,root,PCMDB:Experimental
AT5G42180,root endodermis,root,PCMDB:Experimental
AT5G47370,root endodermis,root,PCMDB:Experimental
AT5G49800,root endodermis,root,PCMDB:Experimental
AT5G51680,root endodermis,root,PCMDB:Experimental
AT5G52670,root endodermis,root,PCMDB:Experimental
AT5G58375,root endodermis,root,PCMDB:Experimental
AT5G63660,root endodermis,root,PCMDB:Experimental
AT5G64570,root endodermis,root,PCMDB:Experimental
AT5G65790,root endodermis,root,PCMDB:Experimental
AT5G66390,root endodermis,root,PCMDB:Experimental
AT5G67340,root endodermis,root,PCMDB:Experimental
AT1G05135,root epidermis,root,PCMDB:Experimental
AT1G55260,root epidermis,root,PCMDB:Experimental
AT2G26250,root epidermis,root,PCMDB:Experimental
AT2G32690,root epidermis,root,PCMDB:Experimental
AT2G38530,root epidermis,root,PCMDB:Experimental
AT2G42840,root epidermis,root,PCMDB:Experimental
AT3G08770,root epidermis,root,PCMDB:Experimental
AT3G16370,root epidermis,root,PCMDB:Experimental
AT3G17050,root epidermis,root,PCMDB:Experimental
AT3G23450,root epidermis,root,PCMDB:Experimental
AT4G16230,root epidermis,root,PCMDB:Experimental
AT4G16240,root epidermis,root,PCMDB:Experimental
AT4G21620,root epidermis,root,PCMDB:Experimental
AT4G29020,root epidermis,root,PCMDB:Experimental
AT5G01870,root epidermis,root,PCMDB:Experimental
AT5G25610,root epidermis,root,PCMDB:Experimental
AT5G59320,root epidermis,root,PCMDB:Experimental
AT1G01750,root hair cell,root,PCMDB:Experimental
AT1G01780,root hair cell,root,PCMDB:Experimental
AT1G05660,root hair cell,root,PCMDB:Experimental
AT1G06923,root hair cell,root,PCMDB:Experimental
AT1G15930,root hair cell,root,PCMDB:Experimental
AT1G23750,root hair cell,root,PCMDB:Experimental
AT1G24735,root hair cell,root,PCMDB:Experimental
AT1G27140,root hair cell,root,PCMDB:Experimental
AT1G30870,root hair cell,root,PCMDB:Experimental
AT1G34330,root hair cell,root,PCMDB:Experimental
AT1G34510,root hair cell,root,PCMDB:Experimental
AT1G52660,root hair cell,root,PCMDB:Experimental
AT1G53680,root hair cell,root,PCMDB:Experimental
AT1G65610,root hair cell,root,PCMDB:Experimental
AT1G67330,root hair cell,root,PCMDB:Experimental
AT1G67430,root hair cell,root,PCMDB:Experimental
AT1G73580,root hair cell,root,PCMDB:Experimental
AT2G04170,root hair cell,root,PCMDB:Experimental
AT2G19730,root hair cell,root,PCMDB:Experimental
AT2G23620,root hair cell,root,PCMDB:Experimental
AT2G24980,root hair cell,root,PCMDB:Experimental
AT2G25240,root hair cell,root,PCMDB:Experimental
AT2G32270,root hair cell,root,PCMDB:Experimental
AT2G33840,root hair cell,root,PCMDB:Experimental
AT2G34910,root hair cell,root,PCMDB:Experimental
AT2G34940,root hair cell,root,PCMDB:Experimental
AT2G35610,root hair cell,root,PCMDB:Experimental
AT2G39380,root hair cell,root,PCMDB:Experimental
AT2G43510,root hair cell,root,PCMDB:Experimental
AT2G44370,root hair cell,root,PCMDB:Experimental
AT2G45220,root hair cell,root,PCMDB:Experimental
AT2G45750,root hair cell,root,PCMDB:Experimental
AT2G47540,root hair cell,root,PCMDB:Experimental
AT3G07070,root hair cell,root,PCMDB:Experimental
AT3G16390,root hair cell,root,PCMDB:Experimental
AT3G17600,root hair cell,root,PCMDB:Experimental
AT3G21180,root hair cell,root,PCMDB:Experimental
AT3G23175,root hair cell,root,PCMDB:Experimental
AT3G23190,root hair cell,root,PCMDB:Experimental
AT3G46900,root hair cell,root,PCMDB:Experimental
AT3G49120,root hair cell,root,PCMDB:Experimental
AT3G49960,root hair cell,root,PCMDB:Experimental
AT3G53370,root hair cell,root,PCMDB:Experimental
AT3G54590,root hair cell,root,PCMDB:Experimental
AT3G60280,root hair cell,root,PCMDB:Experimental
AT3G60330,root hair cell,root,PCMDB:Experimental
AT3G61560,root hair cell,root,PCMDB:Experimental
AT4G01480,root hair cell,root,PCMDB:Experimental
AT4G01630,root hair cell,root,PCMDB:Experimental
AT4G08400,root hair cell,root,PCMDB:Experimental
AT4G08410,root hair cell,root,PCMDB:Experimental
AT4G13390,root hair cell,root,PCMDB:Experimental
AT4G17390,root hair cell,root,PCMDB:Experimental
AT4G22080,root hair cell,root,PCMDB:Experimental
AT4G22217,root hair cell,root,PCMDB:Experimental
AT4G25790,root hair cell,root,PCMDB:Experimental
AT4G29180,root hair cell,root,PCMDB:Experimental
AT4G30320,root hair cell,root,PCMDB:Experimental
AT4G33730,root hair cell,root,PCMDB:Experimental
AT4G37220,root hair cell,root,PCMDB:Experimental
AT4G37390,root hair cell,root,PCMDB:Experimental
AT5G04960,root hair cell,root,PCMDB:Experimental
AT5G06630,root hair cell,root,PCMDB:Experimental
AT5G06640,root hair cell,root,PCMDB:Experimental
AT5G11440,root hair cell,root,PCMDB:Experimental
AT5G12050,root hair cell,root,PCMDB:Experimental
AT5G19800,root hair cell,root,PCMDB:Experimental
AT5G22410,root hair cell,root,PCMDB:Experimental
AT5G23030,root hair cell,root,PCMDB:Experimental
AT5G24313,root hair cell,root,PCMDB:Experimental
AT5G24880,root hair cell,root,PCMDB:Experimental
AT5G26080,root hair cell,root,PCMDB:Experimental
AT5G27850,root hair cell,root,PCMDB:Experimental
AT5G35190,root hair cell,root,PCMDB:Experimental
AT5G38940,root hair cell,root,PCMDB:Experimental
AT5G40510,root hair cell,root,PCMDB:Experimental
AT5G40590,root hair cell,root,PCMDB:Experimental
AT5G40860,root hair cell,root,PCMDB:Experimental
AT5G43350,root hair cell,root,PCMDB:Experimental
AT5G43520,root hair cell,root,PCMDB:Experimental
AT5G46870,root hair cell,root,PCMDB:Experimental
AT5G48430,root hair cell,root,PCMDB:Experimental
AT5G49080,root hair cell,root,PCMDB:Experimental
AT5G57510,root hair cell,root,PCMDB:Experimental
AT5G57530,root hair cell,root,PCMDB:Experimental
AT5G57540,root hair cell,root,PCMDB:Experimental
AT5G57625,root hair cell,root,PCMDB:Experimental
AT5G58010,root hair cell,root,PCMDB:Experimental
AT5G61650,root hair cell,root,PCMDB:Experimental
AT5G63270,root hair cell,root,PCMDB:Experimental
AT1G02730,root meristem,root,PCMDB:Experimental
AT1G08560,root meristem,root,PCMDB:Experimental
AT1G14350,root meristem,root,PCMDB:Experimental
AT1G76540,root meristem,root,PCMDB:Experimental
AT3G02120,root meristem,root,PCMDB:Experimental
AT3G02640,root meristem,root,PCMDB:Experimental
AT3G12870,root meristem,root,PCMDB:Experimental
AT3G14190,root meristem,root,PCMDB:Experimental
AT3G25980,root meristem,root,PCMDB:Experimental
AT3G51280,root meristem,root,PCMDB:Experimental
AT3G51720,root meristem,root,PCMDB:Experimental
AT3G52110,root meristem,root,PCMDB:Experimental
AT4G02150,root meristem,root,PCMDB:Experimental
AT4G02800,root meristem,root,PCMDB:Experimental
AT4G15830,root meristem,root,PCMDB:Experimental
AT4G31840,root meristem,root,PCMDB:Experimental
AT4G32830,root meristem,root,PCMDB:Experimental
AT4G33270,root meristem,root,PCMDB:Experimental
AT5G06150,root meristem,root,PCMDB:Experimental
AT5G13840,root meristem,root,PCMDB:Experimental
AT5G16250,root meristem,root,PCMDB:Experimental
AT5G25090,root meristem,root,PCMDB:Experimental
AT5G44560,root meristem,root,PCMDB:Experimental
AT5G56120,root meristem,root,PCMDB:Experimental
AT5G62550,root meristem,root,PCMDB:Experimental
AT5G66230,root meristem,root,PCMDB:Experimental
AT1G25530,root procambium,root,PCMDB:Experimental
AT1G33700,root procambium,root,PCMDB:Experimental
AT1G61660,root procambium,root,PCMDB:Experimental
AT1G63180,root procambium,root,PCMDB:Experimental
AT1G66600,root procambium,root,PCMDB:Experimental
AT1G72150,root procambium,root,PCMDB:Experimental
AT1G72230,root procambium,root,PCMDB:Experimental
AT2G28660,root procambium,root,PCMDB:Experimental
AT2G40480,root procambium,root,PCMDB:Experimental
AT2G41130,root procambium,root,PCMDB:Experimental
AT2G45470,root procambium,root,PCMDB:Experimental
AT3G09070,root procambium,root,PCMDB:Experimental
AT3G13730,root procambium,root,PCMDB:Experimental
AT3G29370,root procambium,root,PCMDB:Experimental
AT3G55420,root procambium,root,PCMDB:Experimental
AT4G32860,root procambium,root,PCMDB:Experimental
AT5G08330,root procambium,root,PCMDB:Experimental
AT5G13910,root procambium,root,PCMDB:Experimental
AT5G19260,root procambium,root,PCMDB:Experimental
AT5G21105,root procambium,root,PCMDB:Experimental
AT5G43810,root procambium,root,PCMDB:Experimental
AT5G65870,root procambium,root,PCMDB:Experimental
AT1G01900,root stele,root,PCMDB:Experimental
AT1G02460,root stele,root,PCMDB:Experimental
AT1G02640,root stele,root,PCMDB:Experimental
AT1G06090,root stele,root,PCMDB:Experimental
AT1G07790,root stele,root,PCMDB:Experimental
AT1G09340,root stele,root,PCMDB:Experimental
AT1G10380,root stele,root,PCMDB:Experimental
AT1G11190,root stele,root,PCMDB:Experimental
AT1G14890,root stele,root,PCMDB:Experimental
AT1G15380,root stele,root,PCMDB:Experimental
AT1G20930,root stele,root,PCMDB:Experimental
AT1G21050,root stele,root,PCMDB:Experimental
AT1G24600,root stele,root,PCMDB:Experimental
AT1G25320,root stele,root,PCMDB:Experimental
AT1G26420,root stele,root,PCMDB:Experimental
AT1G29160,root stele,root,PCMDB:Experimental
AT1G32100,root stele,root,PCMDB:Experimental
AT1G33340,root stele,root,PCMDB:Experimental
AT1G34760,root stele,root,PCMDB:Experimental
AT1G42970,root stele,root,PCMDB:Experimental
AT1G44110,root stele,root,PCMDB:Experimental
AT1G45474,root stele,root,PCMDB:Experimental
AT1G52190,root stele,root,PCMDB:Experimental
AT1G55740,root stele,root,PCMDB:Experimental
AT1G55910,root stele,root,PCMDB:Experimental
AT1G58340,root stele,root,PCMDB:Experimental
AT1G60750,root stele,root,PCMDB:Experimental
AT1G60950,root stele,root,PCMDB:Experimental
AT1G62990,root stele,root,PCMDB:Experimental
AT1G64660,root stele,root,PCMDB:Experimental
AT1G64700,root stele,root,PCMDB:Experimental
AT1G66700,root stele,root,PCMDB:Experimental
AT1G67870,root stele,root,PCMDB:Experimental
AT1G68010,root stele,root,PCMDB:Experimental
AT1G68200,root stele,root,PCMDB:Experimental
AT1G70670,root stele,root,PCMDB:Experimental
AT1G71695,root stele,root,PCMDB:Experimental
AT1G74590,root stele,root,PCMDB:Experimental
AT1G75090,root stele,root,PCMDB:Experimental
AT1G75820,root stele,root,PCMDB:Experimental
AT1G76250,root stele,root,PCMDB:Experimental
AT1G76800,root stele,root,PCMDB:Experimental
AT1G78120,root stele,root,PCMDB:Experimental
AT1G78320,root stele,root,PCMDB:Experimental
AT1G79110,root stele,root,PCMDB:Experimental
AT2G01950,root stele,root,PCMDB:Experimental
AT2G03090,root stele,root,PCMDB:Experimental
AT2G03500,root stele,root,PCMDB:Experimental
AT2G04850,root stele,root,PCMDB:Experimental
AT2G14095,root stele,root,PCMDB:Experimental
AT2G15760,root stele,root,PCMDB:Experimental
AT2G16720,root stele,root,PCMDB:Experimental
AT2G17940,root stele,root,PCMDB:Experimental
AT2G18380,root stele,root,PCMDB:Experimental
AT2G21560,root stele,root,PCMDB:Experimental
AT2G22620,root stele,root,PCMDB:Experimental
AT2G22990,root stele,root,PCMDB:Experimental
AT2G26740,root stele,root,PCMDB:Experimental
AT2G27550,root stele,root,PCMDB:Experimental
AT2G28110,root stele,root,PCMDB:Experimental
AT2G28760,root stele,root,PCMDB:Experimental
AT2G28810,root stele,root,PCMDB:Experimental
AT2G30080,root stele,root,PCMDB:Experimental
AT2G31085,root stele,root,PCMDB:Experimental
AT2G31110,root stele,root,PCMDB:Experimental
AT2G32510,root stele,root,PCMDB:Experimental
AT2G34790,root stele,root,PCMDB:Experimental
AT2G35290,root stele,root,PCMDB:Experimental
AT2G37540,root stele,root,PCMDB:Experimental
AT2G37750,root stele,root,PCMDB:Experimental
AT2G37880,root stele,root,PCMDB:Experimental
AT2G37950,root stele,root,PCMDB:Experimental
AT2G38640,root stele,root,PCMDB:Experimental
AT2G39710,root stele,root,PCMDB:Experimental
AT2G41300,root stele,root,PCMDB:Experimental
AT2G43580,root stele,root,PCMDB:Experimental
AT2G43910,root stele,root,PCMDB:Experimental
AT2G44300,root stele,root,PCMDB:Experimental
AT2G46630,root stele,root,PCMDB:Experimental
AT2G47500,root stele,root,PCMDB:Experimental
AT2G47670,root stele,root,PCMDB:Experimental
AT2G48090,root stele,root,PCMDB:Experimental
AT3G03130,root stele,root,PCMDB:Experimental
AT3G08490,root stele,root,PCMDB:Experimental
AT3G10910,root stele,root,PCMDB:Experimental
AT3G11930,root stele,root,PCMDB:Experimental
AT3G15353,root stele,root,PCMDB:Experimental
AT3G15650,root stele,root,PCMDB:Experimental
AT3G15680,root stele,root,PCMDB:Experimental
AT3G21600,root stele,root,PCMDB:Experimental
AT3G23430,root stele,root,PCMDB:Experimental
AT3G23550,root stele,root,PCMDB:Experimental
AT3G23890,root stele,root,PCMDB:Experimental
AT3G25570,root stele,root,PCMDB:Experimental
AT3G26650,root stele,root,PCMDB:Experimental
AT3G28950,root stele,root,PCMDB:Experimental
AT3G43430,root stele,root,PCMDB:Experimental
AT3G44730,root stele,root,PCMDB:Experimental
AT3G45610,root stele,root,PCMDB:Experimental
AT3G47400,root stele,root,PCMDB:Experimental
AT3G47540,root stele,root,PCMDB:Experimental
AT3G48740,root stele,root,PCMDB:Experimental
AT3G49220,root stele,root,PCMDB:Experimental
AT3G50410,root stele,root,PCMDB:Experimental
AT3G51670,root stele,root,PCMDB:Experimental
AT3G52820,root stele,root,PCMDB:Experimental
AT3G53620,root stele,root,PCMDB:Experimental
AT3G54560,root stele,root,PCMDB:Experimental
AT3G56100,root stele,root,PCMDB:Experimental
AT3G56620,root stele,root,PCMDB:Experimental
AT3G57150,root stele,root,PCMDB:Experimental
AT3G58650,root stele,root,PCMDB:Experimental
AT3G60490,root stele,root,PCMDB:Experimental
AT3G61490,root stele,root,PCMDB:Experimental
AT3G62690,root stele,root,PCMDB:Experimental
AT3G62730,root stele,root,PCMDB:Experimental
AT4G00220,root stele,root,PCMDB:Experimental
AT4G01450,root stele,root,PCMDB:Experimental
AT4G03280,root stele,root,PCMDB:Experimental
AT4G10390,root stele,root,PCMDB:Experimental
AT4G11140,root stele,root,PCMDB:Experimental
AT4G12980,root stele,root,PCMDB:Experimental
AT4G15340,root stele,root,PCMDB:Experimental
AT4G16480,root stele,root,PCMDB:Experimental
AT4G18050,root stele,root,PCMDB:Experimental
AT4G18340,root stele,root,PCMDB:Experimental
AT4G18425,root stele,root,PCMDB:Experimental
AT4G18510,root stele,root,PCMDB:Experimental
AT4G20270,root stele,root,PCMDB:Experimental
AT4G22212,root stele,root,PCMDB:Experimental
AT4G23400,root stele,root,PCMDB:Experimental
AT4G25630,root stele,root,PCMDB:Experimental
AT4G26220,root stele,root,PCMDB:Experimental
AT4G27230,root stele,root,PCMDB:Experimental
AT4G28140,root stele,root,PCMDB:Experimental
AT4G28330,root stele,root,PCMDB:Experimental
AT4G30670,root stele,root,PCMDB:Experimental
AT4G31730,root stele,root,PCMDB:Experimental
AT4G33330,root stele,root,PCMDB:Experimental
AT4G34920,root stele,root,PCMDB:Experimental
AT4G36410,root stele,root,PCMDB:Experimental
AT4G36710,root stele,root,PCMDB:Experimental
AT5G03960,root stele,root,PCMDB:Experimental
AT5G04140,root stele,root,PCMDB:Experimental
AT5G04890,root stele,root,PCMDB:Experimental
AT5G05690,root stele,root,PCMDB:Experimental
AT5G06710,root stele,root,PCMDB:Experimental
AT5G06850,root stele,root,PCMDB:Experimental
AT5G07800,root stele,root,PCMDB:Experimental
AT5G09220,root stele,root,PCMDB:Experimental
AT5G09570,root stele,root,PCMDB:Experimental
AT5G14210,root stele,root,PCMDB:Experimental
AT5G14510,root stele,root,PCMDB:Experimental
AT5G17980,root stele,root,PCMDB:Experimental
AT5G24380,root stele,root,PCMDB:Experimental
AT5G26330,root stele,root,PCMDB:Experimental
AT5G28510,root stele,root,PCMDB:Experimental
AT5G35960,root stele,root,PCMDB:Experimental
AT5G38610,root stele,root,PCMDB:Experimental
AT5G40980,root stele,root,PCMDB:Experimental
AT5G43380,root stele,root,PCMDB:Experimental
AT5G43870,root stele,root,PCMDB:Experimental
AT5G44040,root stele,root,PCMDB:Experimental
AT5G48070,root stele,root,PCMDB:Experimental
AT5G48310,root stele,root,PCMDB:Experimental
AT5G50720,root stele,root,PCMDB:Experimental
AT5G55970,root stele,root,PCMDB:Experimental
AT5G57190,root stele,root,PCMDB:Experimental
AT5G58770,root stele,root,PCMDB:Experimental
AT5G59080,root stele,root,PCMDB:Experimental
AT5G59690,root stele,root,PCMDB:Experimental
AT5G59910,root stele,root,PCMDB:Experimental
AT5G59970,root stele,root,PCMDB:Experimental
AT5G61340,root stele,root,PCMDB:Experimental
AT5G62360,root stele,root,PCMDB:Experimental
AT5G63710,root stele,root,PCMDB:Experimental
AT5G63850,root stele,root,PCMDB:Experimental
AT5G64240,root stele,root,PCMDB:Experimental
ATCG00020,root stele,root,PCMDB:Experimental
ATCG00280,root stele,root,PCMDB:Experimental
ATCG00440,root stele,root,PCMDB:Experimental
ATCG00470,root stele,root,PCMDB:Experimental
ATCG00490,root stele,root,PCMDB:Experimental
ATCG01110,root stele,root,PCMDB:Experimental
AT1G07795,trichoblast,root,PCMDB:Experimental
AT1G13950,trichoblast,root,PCMDB:Experimental
AT1G54940,trichoblast,root,PCMDB:Experimental
AT1G55440,trichoblast,root,PCMDB:Experimental
AT1G63450,trichoblast,root,PCMDB:Experimental
AT2G03220,trichoblast,root,PCMDB:Experimental
AT2G39690,trichoblast,root,PCMDB:Experimental
AT3G46270,trichoblast,root,PCMDB:Experimental
AT3G54580,trichoblast,root,PCMDB:Experimental
AT3G60630,trichoblast,root,PCMDB:Experimental
AT4G07960,trichoblast,root,PCMDB:Experimental
AT4G09500,trichoblast,root,PCMDB:Experimental
AT4G16920,trichoblast,root,PCMDB:Experimental
AT4G25160,trichoblast,root,PCMDB:Experimental
AT5G07450,trichoblast,root,PCMDB:Experimental
AT5G65160,trichoblast,root,PCMDB:Experimental
AT1G02335,xylem,root,PCMDB:Experimental
AT1G03820,xylem,root,PCMDB:Experimental
AT1G07210,xylem,root,PCMDB:Experimental
AT1G08283,xylem,root,PCMDB:Experimental
AT1G13635,xylem,root,PCMDB:Experimental
AT1G17090,xylem,root,PCMDB:Experimental
AT1G19300,xylem,root,PCMDB:Experimental
AT1G23460,xylem,root,PCMDB:Experimental
AT1G24030,xylem,root,PCMDB:Experimental
AT1G29890,xylem,root,PCMDB:Experimental
AT1G29940,xylem,root,PCMDB:Experimental
AT1G29950,xylem,root,PCMDB:Experimental
AT1G54790,xylem,root,PCMDB:Experimental
AT1G56720,xylem,root,PCMDB:Experimental
AT1G62700,xylem,root,PCMDB:Experimental
AT1G68585,xylem,root,PCMDB:Experimental
AT1G68725,xylem,root,PCMDB:Experimental
AT1G71930,xylem,root,PCMDB:Experimental
AT1G74150,xylem,root,PCMDB:Experimental
AT1G76020,xylem,root,PCMDB:Experimental
AT2G13540,xylem,root,PCMDB:Experimental
AT2G18060,xylem,root,PCMDB:Experimental
AT2G28315,xylem,root,PCMDB:Experimental
AT2G28410,xylem,root,PCMDB:Experimental
AT2G34410,xylem,root,PCMDB:Experimental
AT2G39870,xylem,root,PCMDB:Experimental
AT2G40320,xylem,root,PCMDB:Experimental
AT3G05180,xylem,root,PCMDB:Experimental
AT3G08500,xylem,root,PCMDB:Experimental
AT3G14730,xylem,root,PCMDB:Experimental
AT3G20430,xylem,root,PCMDB:Experimental
AT3G22415,xylem,root,PCMDB:Experimental
AT3G22790,xylem,root,PCMDB:Experimental
AT3G24535,xylem,root,PCMDB:Experimental
AT3G25710,xylem,root,PCMDB:Experimental
AT3G42950,xylem,root,PCMDB:Experimental
AT3G45280,xylem,root,PCMDB:Experimental
AT3G51030,xylem,root,PCMDB:Experimental
AT3G51325,xylem,root,PCMDB:Experimental
AT3G52900,xylem,root,PCMDB:Experimental
AT3G53190,xylem,root,PCMDB:Experimental
AT3G53350,xylem,root,PCMDB:Experimental
AT3G54090,xylem,root,PCMDB:Experimental
AT3G55990,xylem,root,PCMDB:Experimental
AT3G61100,xylem,root,PCMDB:Experimental
AT4G02750,xylem,root,PCMDB:Experimental
AT4G08685,xylem,root,PCMDB:Experimental
AT4G12620,xylem,root,PCMDB:Experimental
AT4G12910,xylem,root,PCMDB:Experimental
AT4G26580,xylem,root,PCMDB:Experimental
AT4G28500,xylem,root,PCMDB:Experimental
AT4G36160,xylem,root,PCMDB:Experimental
AT5G02640,xylem,root,PCMDB:Experimental
AT5G06210,xylem,root,PCMDB:Experimental
AT5G06610,xylem,root,PCMDB:Experimental
AT5G08260,xylem,root,PCMDB:Experimental
AT5G08370,xylem,root,PCMDB:Experimental
AT5G12300,xylem,root,PCMDB:Experimental
AT5G19870,xylem,root,PCMDB:Experimental
AT5G25475,xylem,root,PCMDB:Experimental
AT5G37010,xylem,root,PCMDB:Experimental
AT5G48920,xylem,root,PCMDB:Experimental
AT5G53710,xylem,root,PCMDB:Experimental
AT5G63140,xylem,root,PCMDB:Experimental
AT5G66300,xylem,root,PCMDB:Experimental
AT1G02640,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G03430,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G04770,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G07000,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G07300,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G07750,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G08830,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G10682,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G11580,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G12010,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G12450,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G15000,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G16410,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G18590,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G23052,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G23090,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G23205,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G23730,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G24100,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G24180,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G24530,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G25230,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G29170,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G31230,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G31650,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G33720,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G34060,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G35710,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G36940,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G43650,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G50420,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G56430,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G60989,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G61660,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G62560,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G62800,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G63420,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G64060,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G65860,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G67050,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G67850,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G67910,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G68570,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G69690,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G69870,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G69960,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G70210,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G76700,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G76960,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G77990,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G78370,bundle sheath,shoot,PCMDB:SingleCellSeq
AT1G80760,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G02100,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G03590,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G04400,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G07180,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G14170,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G14520,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G17040,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G17640,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G17710,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G20100,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G22000,bundle sheath,shoot,PCMDB:SingleCellSeq
AT2G22190,bundle sheath,shoot,PCMDB:SingleCellSeq
