CAX22ROOTFL-CAX22ROOTGC,CAX22ROOTFL-CAX22ROOTGC,CAX22ROOTGC-COL00ROOTGC,CAX22ROOTGC-COL00ROOTGC,CAX22SHOOTFL-CAX22SHOOTGC,CAX22SHOOTFL-CAX22SHOOTGC,CAX22SHOOTGC-COL00SHOOTGC,CAX22SHOOTGC-COL00SHOOTGC,CAX23ROOTFL-CAX23ROOTGC,CAX23ROOTFL-CAX23ROOTGC,CAX23ROOTGC-COL00ROOTGC,CAX23ROOTGC-COL00ROOTGC,CAX23SHOOTFL-CAX23SHOOTGC,CAX23SHOOTFL-CAX23SHOOTGC,CAX23SHOOTGC-COL00SHOOTGC,CAX23SHOOTGC-COL00SHOOTGC,COL00ROOTFL-COL00ROOTGC,COL00ROOTFL-COL00ROOTGC,COL00SHOOTFL-COL00SHOOTGC,COL00SHOOTFL-COL00SHOOTGC
"UP, 180 genes","Down, 0 genes","UP, 12 genes","Down, 113 genes","UP, 7 genes","Down, 4 genes","UP, 53 genes","Down, 121 genes","UP, 352 genes","Down, 459 genes","UP, 16 genes","Down, 13 genes","UP, 325 genes","Down, 45 genes","UP, 18 genes","Down, 143 genes","UP, 204 genes","Down, 90 genes","UP, 299 genes","Down, 33 genes"
AT1G29920,,,AT1G54970,,,AT3G13170,AT1G55440,AT1G13609,AT1G14930,,,AT1G14550,AT3G21460,,AT1G42980,AT1G23730,AT1G76620,AT1G16150,AT3G19390
AT1G31580,,,AT1G56060,,,AT3G13610,AT1G56150,AT1G14540,AT1G15405,,,AT1G14870,AT3G59220,,AT1G43590,AT1G24575,AT1G78460,AT1G17020,AT3G43850
AT1G32080,,,AT1G61097,,,AT3G22240,AT1G60190,AT1G17180,AT1G15540,,,AT1G15520,AT3G59930,,AT1G53700,AT1G26240,AT1G80240,AT1G17170,AT3G44870
AT1G33811,,,AT1G62030,,,AT3G26830,AT1G64500,AT1G17710,AT1G15640,,,AT1G17020,AT3G61900,,AT1G55440,AT1G26250,AT2G02450,AT1G18860,AT3G61900
AT1G45010,,,AT1G65390,,,AT3G28880,AT1G66090,AT1G18870,AT1G15980,,,AT1G17745,AT4G01080,,AT1G56150,AT1G26380,AT2G13910,AT1G18870,AT4G16563
AT1G49570,,,AT1G65940,,,AT3G28899,AT1G66160,AT1G19320,AT1G16515,,,AT1G19250,AT4G01430,,AT1G60190,AT1G26390,AT2G14210,AT1G18970,AT4G25810
AT1G52342,,,AT1G66160,,,AT3G30720,AT1G66170,AT1G19530,AT1G19390,,,AT1G21110,AT4G14780,,AT1G62770,AT1G26410,AT2G16380,AT1G18980,AT5G07450
AT1G54820,,,AT1G69523,,,AT3G44300,AT1G66500,AT1G21240,AT1G19670,,,AT1G21120,AT4G15100,,AT1G66500,AT1G26420,AT2G22630,AT1G19250,AT5G07700
AT1G54970,,,AT1G70130,,,AT3G44570,AT1G67105,AT1G21320,AT1G20180,,,AT1G21240,AT4G22470,,AT1G67105,AT1G29290,AT2G22980,AT1G21240,AT5G14180
AT1G56520,,,AT1G71866,,,AT3G46690,AT1G69900,AT1G22150,AT1G21100,,,AT1G21310,AT4G29550,,AT1G69900,AT1G29740,AT2G23010,AT1G21310,AT5G14230
AT1G58561,,,AT1G72520,,,AT3G50280,AT1G73870,AT1G23730,AT1G21210,,,AT1G22150,AT4G30290,,AT1G71130,AT1G32350,AT2G28270,AT1G23730,AT5G15500
AT1G58602,,,AT1G73805,,,AT3G59220,AT1G77640,AT1G24880,AT1G21310,,,AT1G23110,AT5G07450,,AT1G72950,AT1G33030,AT2G28860,AT1G26240,AT5G42900
AT1G60750,,,AT1G74820,,,AT3G60490,AT1G80180,AT1G26240,AT1G22500,,,AT1G23720,AT5G07700,,AT1G73805,AT1G35310,AT2G29010,AT1G26250,AT5G47330
AT1G61300,,,AT1G74830,,,AT4G03292,AT2G01180,AT1G26380,AT1G22630,,,AT1G23730,AT5G11410,,AT1G74430,AT1G44130,AT2G31083,AT1G26380,
AT1G62630,,,AT1G74930,,,AT4G11650,AT2G04795,AT1G26390,AT1G24420,,,AT1G23840,AT5G12020,,AT1G74440,AT1G48000,AT2G31085,AT1G26390,
AT1G65800,,,AT1G76600,,,AT4G13420,AT2G05995,AT1G26410,AT1G29179,,,AT1G26390,AT5G14180,,AT1G80180,AT1G48800,AT2G32530,AT1G26400,
AT1G66100,,,AT1G76640,,,AT4G14390,AT2G06002,AT1G26420,AT1G29180,,,AT1G26410,AT5G15800,,AT2G01080,AT1G49570,AT2G34350,AT1G26410,
