Col_Root_Down,cax22_Root_Down,rbohD_Root_Down
AT3G14210,AT1G68600,AT1G75440
AT1G27660,AT1G68780,AT1G76370
AT5G64260,AT1G70820,AT1G76420
AT5G11610,AT1G71280,AT1G76620
AT2G16365,AT1G72600,AT1G77760
AT5G27920,AT1G72610,AT1G77990
AT1G16930,AT1G73830,AT1G77992
AT4G36220,AT1G75460,AT1G78460
AT5G44130,AT1G75690,AT1G78520
AT5G23980,AT1G76100,AT1G78970
AT5G60910,AT1G77210,AT1G80240
AT4G02780,AT1G80130,AT1G80380
AT3G04110,AT2G03550,AT1G80830
AT3G21260,AT2G03750,AT2G01918
AT3G23730,AT2G04039,AT2G01940
AT5G65730,AT2G05070,AT2G02450
AT5G07570,AT2G05100,AT2G03310
AT1G23050,AT2G07664,AT2G13360
AT3G09020,AT2G07669,AT2G14210
AT5G07560,AT2G07675,AT2G15620
AT5G46880,AT2G07685,AT2G16380
AT5G06330,AT2G10940,AT2G21200
AT3G51910,AT2G13360,AT2G21210
AT2G43600,AT2G14560,AT2G21540
AT3G47040,AT2G15040,AT2G22190
AT5G17720,AT2G15050,AT2G22200
AT4G25830,AT2G17780,AT2G22630
AT1G62760,AT2G20570,AT2G22980
AT1G52070,AT2G22990,AT2G23010
AT5G39000,AT2G25510,AT2G25680
AT5G39020,AT2G27385,AT2G28100
AT5G59260,AT2G29290,AT2G28105
AT5G66790,AT2G29300,AT2G28270
AT1G07550,AT2G29310,AT2G28850
AT1G51830,AT2G30570,AT2G28860
AT1G51840,AT2G34430,AT2G31083
AT1G51870,AT2G35370,AT2G31085
AT1G66940,AT2G36750,AT2G31585
AT1G80380,AT2G36790,AT2G33770
AT3G19430,AT2G36792,AT2G33810
AT3G16530,AT2G37025,AT2G33815
AT2G27360,AT2G38540,AT2G33880
AT5G55050,AT2G39730,AT2G34350
AT1G33811,AT2G41090,AT2G35910
AT2G10940,AT2G41940,AT2G36110
AT1G62510,AT2G44920,AT2G36690
AT1G78970,AT2G45180,AT2G37180
AT4G36670,AT3G01500,AT2G37450
AT3G10870,AT3G04210,AT2G39010
AT5G44680,AT3G04290,AT2G39450
AT5G38100,AT3G05727,AT2G43530
AT1G21100,AT3G05730,AT2G43550
AT1G45015,AT3G06880,AT3G02020
AT1G61560,AT3G08940,AT3G03190
AT1G70840,AT3G11110,AT3G03850
AT5G05320,AT3G14210,AT3G04110
AT5G56795,AT3G14420,AT3G05936
AT5G23660,AT3G15840,AT3G08660
AT2G39450,AT3G16130,AT3G10870
AT3G25790,AT3G16140,AT3G11150
AT1G13300,AT3G16250,AT3G13950
AT5G52260,AT3G16660,AT3G16530
AT5G11670,AT3G16670,AT3G16690
AT3G45650,AT3G19850,AT3G19700
AT3G05900,AT3G20220,AT3G19710
AT2G34350,AT3G21055,AT3G22740
AT3G48740,AT3G26180,AT3G26165
AT5G53190,AT3G26280,AT3G26300
AT1G77760,AT3G26320,AT3G26660
AT1G12110,AT3G26740,AT3G29078
AT2G36110,AT3G26960,AT3G45000
AT5G56100,AT3G27690,AT3G45280
AT4G10770,AT3G28070,AT3G45440
AT2G31585,AT3G28080,AT3G46130
AT2G33815,AT3G28220,AT3G48290
AT4G26255,AT3G29030,AT3G48740
AT4G40065,AT3G45140,AT3G49115
AT1G69572,AT3G46780,AT3G51420
AT1G77992,AT3G47250,AT3G51910
AT3G05905,AT3G47470,AT3G53840
AT2G01180,AT3G48200,AT3G56220
AT2G36500,AT3G48310,AT3G56890
AT4G05150,AT3G48420,AT3G57520
AT5G08000,AT3G48720,AT3G57920
AT3G07010,AT3G53280,AT3G58980
AT5G23870,AT3G54050,AT3G58990
AT3G16850,AT3G54830,AT3G60520
AT3G61430,AT3G54890,AT3G61060
AT4G23400,AT3G55240,AT4G02380
AT3G53420,AT3G55800,AT4G04223
AT2G39010,AT3G59060,AT4G04750
AT2G02950,AT3G61470,AT4G04840
AT5G48880,AT3G62550,AT4G08300
AT2G06925,AT3G63140,AT4G09350
AT1G80830,AT3G63160,AT4G12030
AT1G10640,AT4G00180,AT4G12170
AT3G16180,AT4G00970,AT4G12430
AT1G65390,AT4G02770,AT4G12432
AT3G61060,AT4G05180,AT4G12470
AT5G27930,AT4G08870,AT4G12550
AT5G43770,AT4G09350,AT4G15393
AT5G45120,AT4G10340,AT4G15920
AT5G47550,AT4G11900,AT4G16990
AT4G40070,AT4G12320,AT4G17340
AT2G37130,AT4G12800,AT4G18197
AT4G18197,AT4G13500,AT4G18205
AT3G30720,AT4G13810,AT4G18970
AT2G37180,AT4G15620,AT4G21870
AT4G16990,AT4G16880,AT4G22610
AT1G45616,AT4G16990,AT4G23020
AT2G36490,AT4G17245,AT4G23400
AT1G02340,AT4G17810,AT4G25300
AT4G36870,AT4G18970,AT4G28410
AT1G14290,AT4G19430,AT4G28900
AT1G73310,AT4G19530,AT4G29050
AT2G22980,AT4G21280,AT4G29905
AT2G16380,AT4G21445,AT4G30110
AT4G04840,AT4G22490,AT4G30270
AT4G30270,AT4G22510,AT4G36220
AT1G22160,AT4G23240,AT4G36670
AT2G21540,AT4G23290,AT4G37160
AT2G01940,AT4G23300,AT4G37235
AT3G57520,AT4G23600,AT4G37330
AT4G37160,AT4G25990,AT4G37850
AT4G22753,AT4G26530,AT4G38470
AT3G17510,AT4G28750,AT4G39770
AT1G30270,AT4G37860,AT4G40065
AT1G78460,AT4G37925,AT4G40070
AT2G33810,AT4G37980,AT5G01320
AT3G57920,AT4G38840,AT5G06330
AT4G34650,AT4G38860,AT5G07560
AT1G13430,AT5G03120,AT5G07570
AT1G51270,AT5G04140,AT5G07571
AT1G77990,AT5G04530,AT5G07572
AT5G47560,AT5G09660,AT5G08000
AT1G10120,AT5G13730,AT5G11670
AT4G30180,AT5G15780,AT5G18030
AT2G36830,AT5G20630,AT5G18170
AT3G26520,AT5G21430,AT5G19970
AT3G16240,AT5G24210,AT5G22580
AT4G17340,AT5G24940,AT5G22890
AT5G47450,AT5G25040,AT5G23010
AT4G09430,AT5G25980,AT5G23660
AT1G20840,AT5G26000,AT5G23820
AT5G52250,AT5G27360,AT5G23980
AT3G26040,AT5G33370,AT5G25140
AT3G50280,AT5G35777,AT5G25460
AT3G28160,AT5G36910,AT5G25470
AT3G29767,AT5G38410,AT5G26200
AT3G44705,AT5G38420,AT5G26270
AT4G28900,AT5G38430,AT5G26622
AT4G12430,AT5G42530,AT5G27930
AT2G29320,AT5G44580,AT5G36220
AT5G07990,AT5G45680,AT5G36870
AT1G75440,AT5G45820,AT5G38100
AT5G06690,AT5G45950,AT5G38200
AT2G33880,AT5G46200,AT5G39000
AT4G14130,AT5G46880,AT5G39020
AT2G35910,AT5G47380,AT5G40060
AT5G22890,AT5G49730,AT5G43770
AT1G22500,AT5G49740,AT5G43780
AT1G68190,AT5G51720,AT5G44574
AT1G69570,AT5G53490,AT5G44680
AT2G03710,AT5G54270,AT5G45120
AT2G18270,AT5G54630,AT5G45680
AT2G44500,AT5G58390,AT5G45850
AT3G06070,AT5G59130,AT5G46370
AT3G13950,AT5G60470,AT5G47000
AT3G14850,AT5G60880,AT5G47450
AT3G15115,AT5G61520,AT5G47560
AT3G02910,AT5G63180,AT5G47900
AT3G28170,AT5G64040,AT5G50760
AT3G50120,AT5G65730,AT5G51870
AT3G52060,ATCG00490,AT5G52790
AT3G60520,ATCG01250,AT5G53190
AT4G12690,,AT5G53200
AT4G23870,,AT5G53210
AT4G27740,,AT5G59260
AT4G29905,,AT5G59590
AT4G30060,,AT5G62420
AT4G30670,,AT5G63160
AT4G32460,,AT5G64260
AT4G33740,,AT5G66052
AT4G37240,,AT5G66053
AT5G22580,,
AT5G25460,,
AT5G26270,,
AT5G41050,,
AT5G45850,,
AT5G47900,,
AT5G65340,,
AT5G65925,,
AT5G66052,,
AT5G67390,,
AT1G17300,,
AT1G23060,,
AT1G01180,,
AT1G03710,,
AT1G27020,,
AT1G29440,,
AT1G30260,,
AT1G49975,,
AT1G72510,,
AT1G76620,,
AT1G80240,,
AT4G37235,,
AT2G29010,,
AT2G11280,,
AT2G13910,,
AT4G18205,,
AT1G05835,,
AT1G62422,,
AT5G44574,,
AT5G07571,,
AT5G07572,,
AT5G54148,,
AT1G23052,,
AT4G09432,,
AT5G48412,,
