Col_Shoot_Down,cax22_Shoot_Down,rbohD_Shoot_Down
AT5G58660,AT3G47200,AT2G23096
AT2G39800,AT3G48340,AT2G23530
AT3G15820,AT3G48450,AT2G24070
AT5G50400,AT3G48520,AT2G24610
AT1G70640,AT3G49760,AT2G25450
AT3G46640,AT3G50010,AT2G25980
AT5G54960,AT3G50170,AT2G26020
AT5G23870,AT3G50640,AT2G27690
AT3G15720,AT3G52790,AT2G27880
AT5G01300,AT3G54580,AT2G28190
AT3G16180,AT3G54590,AT2G28780
AT1G12710,AT3G54770,AT2G28790
AT3G61060,AT3G59220,AT2G29500
AT5G52120,AT3G59370,AT2G29890
AT5G27930,AT3G61270,AT2G30210
AT1G63230,AT4G01060,AT2G34260
AT3G30775,AT4G12050,AT2G34300
AT4G19200,AT4G12450,AT2G36350
AT3G19390,AT4G12510,AT2G36660
AT4G16563,AT4G12550,AT2G37690
AT1G30860,AT4G14640,AT2G38160
AT3G44820,AT4G14650,AT2G38620
AT5G14230,AT4G15330,AT2G39620
AT2G22860,AT4G15340,AT2G40340
AT3G05880,AT4G15390,AT2G43100
AT1G20440,AT4G15393,AT2G43535
AT4G13770,AT4G16350,AT2G43550
AT2G22450,AT4G19590,AT2G43800
AT1G52240,AT4G21340,AT2G43932
AT4G33150,AT4G21830,AT2G45480
AT1G14750,AT4G22212,AT2G46240
AT1G72160,AT4G22233,AT2G46650
AT4G30270,AT4G22235,AT2G47180
AT3G57520,AT4G22810,AT2G47550
AT4G27970,AT4G23510,AT2G47560
AT5G24030,AT4G24340,AT3G02020
AT2G37570,AT4G28140,AT3G03190
AT1G20015,AT4G28410,AT3G04220
AT2G26980,AT4G28840,AT3G12145
AT1G79440,AT4G28950,AT3G14540
AT1G78600,AT4G29690,AT3G15050
AT1G51270,AT4G30170,AT3G15240
AT5G18840,AT4G31710,AT3G15720
AT5G20830,AT4G36430,AT3G16320
AT1G20080,AT5G04960,AT3G16470
AT5G04220,AT5G06630,AT3G19050
AT3G19040,AT5G06640,AT3G19210
AT3G16160,AT5G07010,AT3G19390
AT2G47270,AT5G09480,AT3G19700
AT5G61380,AT5G09530,AT3G19710
AT1G60140,AT5G10230,AT3G20340
AT1G69526,AT5G10580,AT3G22200
AT1G55810,AT5G12340,AT3G22570
AT3G53990,AT5G15970,AT3G23370
AT3G15620,AT5G17820,AT3G23570
AT1G62480,AT5G19097,AT3G25780
AT5G11150,AT5G19520,AT3G28550
AT4G30290,AT5G20860,AT3G30775
AT4G14130,AT5G23190,AT3G33528
AT5G57655,AT5G23830,AT3G44870
AT1G22500,AT5G24100,AT3G45700
AT5G27280,AT5G26290,AT3G48520
AT5G48250,AT5G27200,AT3G48970
AT1G07040,AT5G35190,AT3G49115
AT1G11170,AT5G37980,AT3G54580
AT1G11210,AT5G44550,AT3G54590
AT1G13390,AT5G45200,AT3G56100
AT1G17665,AT5G46890,AT3G56420
AT1G18265,AT5G46900,AT3G57520
AT1G19370,AT5G48110,AT3G58770
AT1G20070,AT5G48940,AT3G58990
AT1G29270,AT5G49270,AT3G59220
AT1G32570,AT5G50300,AT3G59340
AT1G34100,AT5G53250,AT3G59550
AT1G49500,AT5G54040,AT3G59820
AT1G58235,AT5G55050,AT3G59930
AT1G61667,AT5G56540,AT3G60140
AT1G70885,AT5G57090,AT3G60550
AT2G07688,AT5G57625,AT3G61900
AT2G32235,AT5G58860,AT4G00200
AT2G34070,AT5G59090,AT4G00690
AT2G34185,AT5G59320,AT4G00695
AT2G35585,AT5G59510,AT4G02290
AT2G38465,AT5G59590,AT4G04420
AT2G38640,AT5G62340,AT4G08150
AT2G43470,AT5G63595,AT4G12030
AT3G02410,AT5G64100,AT4G12440
AT3G10020,AT5G66390,AT4G14140
AT3G14595,AT5G66690,AT4G14330
AT3G15630,AT5G66985,AT4G15610
AT3G43850,,AT4G15920
AT3G59930,,AT4G18440
AT4G02170,,AT4G18501
AT4G17140,,AT4G18610
AT4G19160,,AT4G19120
AT4G33980,,AT4G19130
AT4G33985,,AT4G20240
AT5G02480,,AT4G21820
AT5G21020,,AT4G21830
AT5G25210,,AT4G22212
AT5G35926,,AT4G22590
AT5G39240,,AT4G22592
AT5G42900,,AT4G24130
AT5G58570,,AT4G24340
AT5G66052,,AT4G26260
AT5G66053,,AT4G26660
,,AT4G27970
,,AT4G29690
,,AT4G29700
,,AT4G33905
,,AT4G33980
,,AT4G34420
,,AT4G34710
,,AT4G35720
,,AT4G36060
,,AT4G36410
,,AT4G36580
,,AT4G37750
,,AT5G01360
,,AT5G01870
,,AT5G02170
,,AT5G02480
,,AT5G03860
,,AT5G05640
,,AT5G05965
,,AT5G06570
,,AT5G06640
,,AT5G07010
,,AT5G07440
,,AT5G08620
,,AT5G09840
,,AT5G10520
,,AT5G14180
,,AT5G14200
,,AT5G14580
,,AT5G16860
,,AT5G17820
,,AT5G18840
,,AT5G19097
,,AT5G19110
,,AT5G19520
,,AT5G19600
,,AT5G21150
,,AT5G22140
,,AT5G22500
,,AT5G23010
,,AT5G23820
,,AT5G24140
,,AT5G24330
,,AT5G24770
,,AT5G24780
,,AT5G25090
,,AT5G26260
,,AT5G26270
,,AT5G26290
,,AT5G27330
,,AT5G27680
,,AT5G27910
,,AT5G28640
,,AT5G28646
,,AT5G35940
,,AT5G36180
,,AT5G38200
,,AT5G39410
,,AT5G41080
,,AT5G41120
,,AT5G42330
,,AT5G43030
,,AT5G43530
,,AT5G45840
,,AT5G48820
,,AT5G48940
,,AT5G49080
,,AT5G49410
,,AT5G50720
,,AT5G51060
,,AT5G52000
,,AT5G53290
,,AT5G55520
,,AT5G58660
,,AT5G59090
,,AT5G59320
,,AT5G59510
,,AT5G59590
,,AT5G61290
,,AT5G61320
,,AT5G62310
,,AT5G63810
,,AT5G63820
,,AT5G65690
,,AT5G67400
