Col_Shoot_Up	cax22_Shoot_Up	rbohD_Shoot_Up
AT1G11545		AT5G42830
AT2G14620		AT5G47050
AT3G11340		AT5G47570
AT4G18990		AT5G60840
AT5G38010		AT5G63790
AT1G03850		AT5G64000
AT2G05440		AT5G64100
AT4G37900		AT5G64400
AT4G18360		AT5G64780
AT4G39670		AT5G64905
AT5G05460		AT5G65980
AT5G53990		AT5G66200
AT3G59100		AT5G66320
AT1G17170		AT5G66580
AT2G29490		AT5G67420
AT2G29480		AT5G67450
AT2G29420		
AT1G02920		
AT3G09270		
AT1G74590		
AT4G14440		
AT3G07600		
AT1G79890		
AT3G44220		
AT1G65690		
AT4G36990		
AT1G52560		
AT2G36020		
AT1G47840		
AT1G30080		
AT1G68620		
AT2G30660		
AT3G02030		
AT4G16260		
AT4G19720		
AT4G19810		
AT4G38300		
AT2G24040		
AT3G62100		
AT1G18870		
AT2G04400		
AT5G54140		
AT3G05720		
AT5G02780		
AT2G39530		
AT4G15610		
AT5G06200		
AT5G24290		
AT3G09922		
AT1G01110		
AT5G38550		
AT1G14170		
AT1G05700		
AT1G34420		
AT1G51800		
AT1G51890		
AT1G56130		
AT1G61420		
AT1G61480		
AT1G66880		
AT1G67000		
AT1G67520		
AT1G68690		
AT1G74360		
AT1G79680		
AT2G28960		
AT3G09010		
AT3G45330		
AT3G45860		
AT4G11480		
AT4G18250		
AT5G06740		
AT5G37450		
AT5G38250		
AT5G41730		
AT5G48740		
AT5G59670		
AT5G60280		
AT5G61550		
AT5G65600		
AT5G49680		
AT4G39830		
AT3G09220		
AT5G07130		
AT3G45130		
AT5G01550		
AT3G23175		
AT3G48080		
AT5G03610		
AT1G45145		
AT3G05790		
AT5G12330		
AT4G26050		
AT3G49580		
AT3G49570		
AT5G40780		
AT1G73780		
AT3G22600		
AT3G58550		
AT4G12500		
AT5G05960		
AT1G66960		
AT5G44610		
AT4G08470		
AT1G12950		
AT2G04100		
AT4G22790		
AT2G25330		
AT3G20370		
AT3G12710		
AT1G33030		
AT3G61990		
AT3G48850		
AT5G23820		
AT2G17430		
AT2G39200		
AT4G14060		
AT1G70170		
AT3G13090		
AT3G59140		
AT4G25540		
AT3G20475		
AT4G12350		
AT5G54230		
AT1G74080		
AT1G54010		
AT2G22770		
AT4G27220		
AT5G38350		
AT4G05020		
AT1G72830		
AT3G25882		
AT2G39210		
AT5G40230		
AT5G64700		
AT3G03530		
AT1G44130		
AT4G03292		
AT2G04450		
AT4G25434		
AT1G07640		
AT1G76680		
AT1G76930		
AT5G52810		
AT2G31020		
AT4G11650		
AT1G65481		
AT2G40008		
AT3G12502		
AT3G52748		
AT5G16235		
AT3G13610		
AT3G29250		
AT4G02940		
AT4G10500		
AT5G20400		
AT5G38900		
AT3G26830		
AT2G37040		
AT2G31865		
AT1G78780		
AT5G15860		
AT1G77510		
AT1G04980		
AT3G53480		
AT3G07010		
AT1G02460		
AT2G45220		
AT5G62150		
AT4G08770		
AT4G08780		
AT5G06730		
AT5G19880		
AT5G64100		
AT5G19750		
AT1G17745		
AT2G47000		
AT1G02520		
AT3G23430		
AT1G17710		
AT1G73010		
AT1G13750		
AT3G09960		
AT3G54040		
AT5G43350		
AT2G38940		
AT5G43370		
AT2G43120		
AT3G05630		
AT4G37070		
AT3G18830		
AT5G41880		
AT5G45080		
AT5G45090		
AT1G16220		
AT1G34750		
AT3G04530		
AT3G12500		
AT4G21990		
AT1G61080		
AT3G07195		
AT5G12880		
AT5G64905		
AT1G17860		
AT1G73260		
AT3G51330		
AT5G10760		
AT1G74770		
AT2G21850		
AT3G28880		
AT4G01350		
AT3G49120		
AT4G37520		
AT4G16700		
AT4G18430		
AT3G05480		
AT1G12210		
AT2G34210		
AT4G28490		
AT1G47890		
AT1G71390		
AT2G32660		
AT2G32680		
AT2G33020		
AT3G11080		
AT3G25010		
AT3G25020		
AT5G25910		
AT1G61580		
AT2G40010		
AT1G21310		
AT4G15417		
AT2G29350		
AT5G64000		
AT1G32940		
AT3G12220		
AT5G48850		
AT2G47130		
AT3G26770		
AT4G13180		
AT4G04830		
AT4G21840		
AT4G17670		
AT4G35640		
AT5G43580		
AT5G54840		
AT5G45380		
AT1G51420		
AT5G20150		
AT2G45130		
AT1G17020		
AT3G02040		
AT1G70440		
AT5G07010		
AT5G07000		
AT5G16230		
AT1G32950		
AT1G67810		
AT3G05400		
AT1G22150		
AT3G12520		
AT4G02280		
AT3G16990		
AT1G31050		
AT2G43140		
AT2G16870		
AT2G17050		
AT4G11170		
AT3G50280		
AT4G31910		
AT5G42830		
AT3G57380		
AT4G11655		
AT5G45000		
AT2G29330		
AT3G54640		
AT3G27060		
AT2G32960		
AT3G61390		
AT5G09800		
AT5G67340		
AT2G44790		
AT5G66690		
AT4G34138		
AT4G34135		
AT4G34131		
AT2G15490		
AT2G15480		
AT3G53150		
AT2G31750		
AT2G43820		
AT3G21560		
AT3G05690		
AT1G30900		
AT2G34940		
AT4G20110		
AT1G76970		
AT1G68450		
AT4G20000		
AT1G21240		
AT1G16150		
AT2G34150		
AT5G13320		
AT3G18010		
AT5G50200		
AT1G62300		
AT1G68150		
AT2G24570		
AT5G41570		
AT5G24110		
AT4G22070		
AT5G22570		
AT5G64810		
AT2G40750		
AT1G18860		
AT1G66600		
AT1G29860		
AT5G15130		
AT5G13080		
AT1G04600		
AT2G33240		
AT3G55890		
AT2G38860		
AT2G35980		
AT5G24380		
AT1G58340		
AT1G10480		
AT5G13750		
AT1G02030		
AT1G08050		
AT2G42060		
AT3G10815		
AT5G66320		
AT1G10380		
AT1G10750		
AT1G11120		
AT1G13340		
AT1G13480		
AT1G13520		
AT1G13530		
AT1G14870		
AT1G15760		
AT1G17744		
AT1G28620		
AT1G36622		
AT1G36640		
AT1G38065		
AT1G44740		
AT1G48268		
AT1G51913		
AT1G52530		
AT1G53625		
AT1G61930		
AT1G67270		
AT1G78172		
AT2G24165		
AT2G37750		
AT2G37980		
AT2G38544		
AT2G39518		
AT2G39520		
AT2G45870		
AT2G47010		
AT3G02240		
AT3G04300		
AT3G04700		
AT3G09405		
AT3G13950		
AT3G18250		
AT3G18900		
AT3G19200		
AT3G22240		
AT3G23180		
AT3G25240		
AT3G26440		
AT3G48020		
AT3G50160		
AT3G55910		
AT3G57160		
AT3G57950		
AT4G04990		
AT4G08555		
AT4G14450		
AT4G15990		
AT4G19970		
AT4G22305		
AT4G25070		
AT4G27660		
AT4G35110		
AT4G39380		
AT4G40020		
AT5G03890		
AT5G08240		
AT5G10580		
AT5G12930		
AT5G16170		
AT5G24000		
AT5G24600		
AT5G39520		
AT5G41280		
AT5G42530		
AT5G44820		
AT5G52540		
AT5G53110		
AT5G64780		
