ShootCAX22,ShootRBOHD,ShootCOL00,ShootCAX22|ShootRBOHD,ShootCAX22|ShootCOL00,ShootRBOHD|ShootCOL00,ShootCAX22|ShootRBOHD|ShootCOL00
,AT1G07540.1,AT3G12502.1,,,AT1G33950.1,
,AT1G33320.1,AT1G05880.1,,,AT1G33950.2,
,AT1G63650.1,AT2G05084.1,,,AT5G54060.1,
,AT5G54000.1,AT2G05087.1,,,AT1G74190.1,
,AT3G44510.1,AT4G14390.1,,,ATMG01210.1,
,AT3G44510.2,AT2G38940.1,,,AT1G12520.3,
,AT5G54075.1,AT5G38910.1,,,AT1G12520.1,
,AT5G36180.1,AT2G46750.1,,,AT5G45840.2,
,AT2G11810.2,AT1G01680.1,,,AT1G12520.2,
,AT1G56150.1,AT1G05700.1,,,AT4G28420.1,
,AT2G11810.1,AT3G29250.2,,,AT1G67810.1,
,AT1G51840.1,AT1G53625.1,,,AT3G13433.1,
,AT2G28780.1,ATCG00890.1,,,ATMG00860.1,
,ATMG00260.1,AT1G21550.1,,,AT4G11170.1,
,AT2G27880.1,AT3G61500.2,,,AT3G05400.1,
,AT2G28790.1,AT1G75750.2,,,AT5G24380.1,
,AT5G03860.1,AT1G55790.1,,,AT4G08770.1,
,AT5G03860.2,AT1G75750.1,,,AT3G45060.1,
,AT2G45135.2,AT1G50735.1,,,AT5G48400.2,
,AT2G23060.1,AT3G43850.1,,,AT3G05400.2,
,AT4G12440.1,AT1G20070.1,,,AT1G61820.3,
,AT4G12440.2,AT5G01490.1,,,AT5G45380.1,
,AT5G42645.1,AT1G05880.2,,,AT1G73010.1,
,AT3G23550.1,AT1G13750.1,,,AT2G32160.1,
,AT5G19600.1,AT1G30900.1,,,AT2G32160.3,
,AT1G21400.1,AT4G09770.1,,,AT2G32160.2,
,AT5G52000.1,AT4G09770.2,,,AT1G61820.1,
,AT2G19803.1,AT3G25882.1,,,AT4G15610.1,
,AT3G05450.1,AT5G53110.1,,,AT1G51890.1,
,AT4G20450.1,AT1G67520.1,,,AT4G23140.2,
,AT3G19090.1,AT1G76930.2,,,ATMG00680.1,
,AT4G20970.1,AT5G48657.2,,,AT4G23140.1,
,AT3G27970.1,AT2G32660.1,,,AT1G21240.1,
,AT2G07620.1,AT3G22800.1,,,AT5G38250.1,
,AT1G35910.1,AT4G04545.1,,,AT2G39530.1,
,AT5G55420.1,AT1G77640.1,,,AT3G55870.1,
,AT3G57520.1,AT1G36622.1,,,AT1G51890.2,
,AT3G57520.3,AT1G76930.1,,,AT1G13520.1,
,AT1G54020.1,AT1G67265.1,,,AT1G02920.1,
,AT1G54020.2,AT3G02240.1,,,AT5G48850.1,
,AT1G54020.3,AT3G26440.2,,,ATMG01020.1,
,AT1G54000.1,AT3G26440.1,,,AT1G68620.1,
,AT3G57520.2,AT3G21500.2,,,AT3G19390.1,
,AT5G26320.1,AT5G01550.1,,,ATMG01110.1,
,AT1G74670.1,AT4G04990.1,,,ATMG01260.1,
,,AT1G57630.1,,,AT3G45520.1,
,,AT4G04490.1,,,AT1G35230.1,
,,AT3G57380.1,,,AT1G51913.1,
,,AT1G16150.1,,,AT4G25110.1,
,,AT4G20110.1,,,AT4G25110.2,
,,AT4G20110.2,,,AT4G23320.1,
,,AT2G34940.1,,,,
,,AT4G18360.2,,,,
,,AT3G26440.4,,,,
,,AT3G45130.1,,,,
,,AT1G68150.1,,,,
,,AT2G33830.1,,,,
,,AT2G28960.1,,,,
,,AT5G41310.1,,,,
,,AT2G33830.2,,,,
,,AT3G21500.1,,,,
,,AT1G35140.1,,,,
,,AT3G26440.3,,,,
,,AT5G42900.2,,,,
,,AT5G42900.3,,,,
,,AT4G18360.1,,,,
,,AT5G54040.1,,,,
,,AT5G42900.1,,,,
,,AT5G19470.2,,,,
,,AT3G05720.1,,,,
,,AT4G25070.2,,,,
,,AT4G05020.2,,,,
,,AT5G10760.1,,,,
,,AT4G05020.1,,,,
,,AT5G45080.1,,,,
,,AT1G34390.1,,,,
,,AT4G25070.1,,,,
,,AT1G30730.1,,,,
,,ATMG00960.1,,,,
,,AT5G67340.1,,,,
,,AT5G19470.1,,,,
,,AT1G74590.1,,,,
,,AT2G40750.1,,,,
,,AT1G26250.1,,,,
,,AT3G45970.1,,,,
,,AT5G25260.1,,,,
,,AT1G22150.1,,,,
,,AT5G46950.1,,,,
,,AT2G31020.1,,,,
,,AT1G18970.1,,,,
,,AT3G29250.1,,,,
,,AT4G18430.1,,,,
,,AT5G15500.1,,,,
,,AT1G35710.1,,,,
,,AT5G14230.1,,,,
,,AT4G37370.1,,,,
,,AT4G03460.1,,,,
,,AT4G15417.1,,,,
,,AT2G44240.1,,,,
,,AT2G46880.2,,,,
,,AT1G17020.1,,,,
,,ATMG00290.1,,,,
,,AT1G19610.1,,,,
,,AT4G22100.1,,,,
,,AT5G54610.1,,,,
,,AT2G16960.1,,,,
,,AT2G16960.2,,,,
,,AT4G16563.1,,,,
,,AT1G32940.1,,,,
,,AT5G45000.1,,,,
,,AT5G15500.2,,,,
,,AT4G14130.1,,,,
,,ATMG00730.1,,,,
,,AT5G45090.1,,,,
,,AT5G64810.1,,,,
,,AT2G44790.1,,,,
,,AT2G46880.1,,,,
,,AT3G44870.1,,,,
,,AT1G51915.1,,,,
,,AT3G61721.1,,,,
,,AT3G61723.1,,,,
,,AT1G68450.1,,,,
,,AT5G48657.1,,,,
,,AT1G17745.2,,,,
,,AT2G39200.1,,,,
,,AT1G17745.1,,,,
,,AT2G27660.1,,,,
,,AT1G17744.1,,,,
,,AT5G40010.1,,,,
,,AT2G39520.1,,,,
,,AT5G40780.1,,,,
,,AT5G40780.2,,,,
,,AT5G62150.1,,,,
,,AT4G21840.1,,,,
,,AT4G21120.1,,,,
,,AT1G45145.1,,,,
,,ATMG00380.1,,,,
,,AT3G48650.1,,,,
,,AT5G24240.1,,,,
,,AT4G16260.1,,,,
,,AT1G51800.1,,,,
,,AT1G34100.1,,,,
,,AT3G23510.1,,,,
,,AT2G40740.1,,,,
,,AT2G04100.1,,,,
,,AT3G12220.1,,,,
,,AT2G04460.1,,,,
,,AT1G56120.1,,,,
,,AT4G02170.1,,,,
,,AT1G02930.1,,,,
,,AT2G18180.1,,,,
,,AT1G02930.2,,,,
,,AT5G12880.1,,,,
,,AT1G05680.1,,,,
,,AT2G32290.1,,,,
,,AT1G36640.1,,,,
,,AT2G34210.1,,,,
,,AT1G75830.1,,,,
,,AT4G14450.1,,,,
,,AT1G04600.1,,,,
,,AT3G23120.1,,,,
,,AT3G54150.1,,,,
,,AT4G13180.1,,,,
,,AT4G24980.1,,,,
,,AT1G33030.1,,,,
,,AT2G07692.1,,,,
,,AT2G07691.1,,,,
,,AT4G03450.1,,,,
,,AT1G69930.1,,,,
,,ATCG00460.1,,,,
,,AT3G53150.1,,,,
,,AT2G34300.2,,,,
,,AT2G17050.1,,,,
,,AT2G45760.1,,,,
,,AT1G57590.1,,,,
,,AT4G10860.1,,,,
,,AT2G34300.1,,,,
,,AT5G53990.1,,,,
,,AT1G38065.1,,,,
,,AT4G36850.1,,,,
,,AT3G61280.1,,,,
,,AT1G79450.1,,,,
,,AT1G79450.2,,,,
,,AT1G70170.1,,,,
,,AT2G45570.1,,,,
,,AT1G47405.1,,,,
,,AT3G59350.2,,,,
,,ATMG00810.1,,,,
,,AT3G55890.1,,,,
,,AT3G45330.1,,,,
,,AT3G61280.2,,,,
,,AT1G69720.2,,,,
,,AT1G18870.2,,,,
,,AT2G07826.1,,,,
,,AT1G58320.1,,,,
,,AT5G60900.1,,,,
,,AT1G69720.1,,,,
,,AT4G36670.1,,,,
,,AT5G17320.1,,,,
,,AT4G25190.1,,,,
,,AT4G25190.2,,,,
,,AT1G29100.1,,,,
,,AT5G65600.1,,,,
,,AT5G44610.1,,,,
,,AT1G77100.1,,,,
,,AT2G47270.1,,,,
,,AT4G31000.1,,,,
,,AT4G37900.1,,,,
,,AT2G44380.1,,,,
,,AT4G18990.1,,,,
,,AT3G59350.3,,,,
,,AT3G59350.1,,,,
,,AT2G25440.1,,,,
,,AT1G44830.1,,,,
,,AT4G02280.1,,,,
,,AT4G04500.1,,,,
,,AT2G14230.1,,,,
,,AT3G28740.1,,,,
,,AT3G61910.1,,,,
,,AT3G22080.1,,,,
,,AT4G30270.1,,,,
,,AT3G44540.1,,,,
,,AT3G25240.1,,,,
,,AT3G58550.1,,,,
,,AT5G08240.1,,,,
,,AT4G37520.1,,,,
,,AT3G62170.1,,,,
,,AT4G31000.2,,,,
,,AT2G15960.1,,,,
,,AT1G51920.1,,,,
,,AT3G26210.1,,,,
,,AT5G36910.1,,,,
,,AT4G08040.1,,,,
,,AT1G36060.1,,,,
,,AT3G05790.1,,,,
,,AT4G11655.1,,,,
,,AT4G37520.2,,,,
,,AT1G32960.1,,,,
,,AT3G57160.1,,,,
,,AT2G46860.1,,,,
,,AT5G42530.1,,,,
,,AT1G18870.1,,,,
,,AT3G28580.1,,,,
,,AT5G07450.1,,,,
,,AT2G45245.1,,,,
,,AT2G34930.1,,,,
,,AT3G44540.2,,,,
,,AT4G19810.1,,,,
,,AT5G55893.1,,,,
,,AT1G08090.1,,,,
,,AT3G23380.1,,,,
,,AT2G03360.1,,,,
,,AT2G03360.2,,,,
,,AT1G30660.1,,,,
,,AT2G40740.2,,,,
,,AT1G53990.1,,,,
,,AT4G18250.1,,,,
,,AT1G61080.1,,,,
,,AT5G62480.1,,,,
,,AT1G68280.1,,,,
,,AT1G02220.1,,,,
,,AT2G19500.1,,,,
,,AT1G47840.1,,,,
,,AT4G03570.1,,,,
,,AT1G18980.1,,,,
,,AT4G08555.1,,,,
,,AT2G37980.1,,,,
,,AT3G23180.1,,,,
,,AT1G70920.1,,,,
,,AT4G35170.1,,,,
,,ATMG00285.1,,,,
,,AT2G38544.1,,,,
,,AT2G42060.1,,,,
,,AT3G03530.1,,,,
,,AT5G07700.1,,,,
,,AT4G34135.2,,,,
,,AT2G44480.2,,,,
,,AT2G18690.2,,,,
,,AT5G13740.1,,,,
,,AT2G18690.1,,,,
,,AT4G39250.1,,,,
,,AT2G32830.1,,,,
,,AT3G55150.1,,,,
,,AT4G21903.2,,,,
,,AT4G39950.1,,,,
,,AT1G17860.1,,,,
,,AT3G15720.1,,,,
,,AT1G13530.1,,,,
,,AT5G36970.1,,,,
,,AT4G27220.1,,,,
,,AT5G57560.1,,,,
,,AT5G62240.1,,,,
,,AT2G26290.1,,,,
,,AT3G47780.1,,,,
,,AT3G15720.2,,,,
,,AT3G28220.1,,,,
,,AT2G36020.1,,,,
,,AT5G11220.1,,,,
,,AT1G12200.1,,,,
,,AT4G18940.1,,,,
,,AT1G73000.1,,,,
,,AT4G23230.1,,,,
,,AT5G16170.1,,,,
,,AT3G62245.1,,,,
,,AT5G62480.2,,,,
,,AT3G54420.1,,,,
,,AT3G29639.1,,,,
,,AT2G44480.1,,,,
,,AT5G06730.1,,,,
,,AT5G41380.1,,,,
,,AT3G23630.1,,,,
,,AT1G15640.1,,,,
,,AT1G74770.1,,,,
,,AT5G41730.1,,,,
,,AT1G78000.2,,,,
,,AT5G43520.1,,,,
,,AT4G20210.1,,,,
,,AT3G25180.1,,,,
,,AT1G31290.1,,,,
,,AT5G23840.1,,,,
,,AT5G23840.2,,,,
,,AT2G36255.1,,,,
,,AT1G78000.1,,,,
,,AT4G34135.1,,,,
,,AT5G17330.1,,,,
,,ATMG00830.1,,,,
,,AT3G20370.1,,,,
,,AT1G75040.1,,,,
,,AT3G09960.1,,,,
,,AT2G19802.1,,,,
,,AT3G15536.1,,,,
,,AT3G43670.1,,,,
,,AT4G21903.1,,,,
,,AT3G56400.1,,,,
,,AT1G68270.1,,,,
,,AT1G09560.1,,,,
,,AT1G74360.1,,,,
,,AT3G09340.1,,,,
,,AT4G03640.1,,,,
,,AT3G49570.1,,,,
,,AT3G51340.1,,,,
,,AT5G66053.1,,,,
,,AT5G52760.1,,,,
,,AT1G24880.1,,,,
,,AT4G02520.1,,,,
,,AT1G73780.1,,,,
,,AT5G06200.1,,,,
,,AT1G52940.1,,,,
,,AT4G05475.1,,,,
,,AT4G21370.1,,,,
,,AT3G48360.1,,,,
,,AT5G61550.2,,,,
,,AT5G61550.1,,,,
,,AT5G51000.1,,,,
,,AT5G50200.1,,,,
,,AT5G50200.2,,,,
,,AT5G50200.3,,,,
,,AT1G09240.1,,,,
