rbohD Root,Col-0 Root,rbohD Root|Col-0 Root
AT4G15310,AT1G47960,AT5G24090
AT4G15393,AT1G73630,AT2G43570
AT4G19230,AT1G57590,AT2G43620
AT2G28850,AT5G36940,AT3G47540
AT2G28860,AT2G34960,AT4G01700
AT5G36140,AT5G49900,AT3G54420
AT5G28030,AT4G08570,AT4G23700
AT2G44370,AT1G67980,AT5G52570
AT3G11402,AT1G09750,AT4G34530
AT5G55770,AT5G40890,AT1G72680
AT1G44030,AT1G29100,AT2G19500
AT1G75270,AT2G42540,AT2G31083
AT5G25470,AT3G23510,AT2G31085
AT4G09350,AT4G04710,AT1G67800
AT5G25230,AT4G04700,AT4G12432
AT1G75910,AT3G25572,AT4G07960
AT5G61010,AT1G08830,AT5G36130
AT5G07280,AT3G56000,AT2G30750
AT3G49520,AT2G32530,AT2G30770
AT3G56890,AT3G58740,AT1G13080
AT3G58980,AT3G44970,AT3G26220
AT4G20830,AT4G20240,AT3G26200
AT2G16810,AT3G53280,AT3G26230
AT5G48570,AT2G24180,AT3G26300
AT5G45680,AT3G26180,AT3G14620
AT1G62580,AT3G26290,AT2G45550
AT1G65860,AT2G46660,AT5G57220
AT1G01580,AT1G01600,AT4G31970
AT2G28100,AT4G37430,AT1G64950
AT5G18170,AT4G27710,AT4G15360
AT2G29110,AT5G14400,AT2G28270
AT4G15260,AT2G23960,AT5G40590
AT5G49690,AT4G00670,AT2G40340
AT4G15690,AT5G54090,AT3G27950
AT5G36870,AT1G31580,AT4G23250
AT3G03190,AT4G33220,AT4G22530
AT2G47730,AT3G16770,AT2G31230
AT1G59700,AT1G04310,AT4G01060
AT1G14440,AT3G14210,AT3G23150
AT4G30110,AT1G27660,AT5G64260
AT3G25900,AT5G11610,AT1G69530
AT3G22740,AT1G68470,AT1G26240
AT4G21870,AT4G17030,AT1G16930
AT5G38200,AT1G68740,AT1G26380
AT1G18870,AT1G26250,AT1G26390
AT3G19700,AT2G16365,AT1G26410
AT4G03540,AT3G27150,AT1G26420
AT4G35650,AT5G27920,AT1G30730
AT4G18290,AT5G44130,AT4G36220
AT5G46370,AT1G75820,AT1G12200
AT3G45440,AT5G23990,AT5G23980
AT3G46340,AT5G60910,AT5G50160
AT3G53840,AT4G04620,AT4G25100
AT4G04570,AT4G02780,AT4G25760
AT4G00970,AT2G02010,AT5G38910
AT4G28350,AT2G24762,AT1G18970
AT4G29050,AT3G05950,AT4G14630
AT4G38470,AT5G40990,AT3G04110
AT1G51820,AT3G21260,AT2G24720
AT1G76370,AT2G36770,AT2G30140
AT1G68690,AT2G36970,AT2G36780
AT4G24170,AT3G23730,AT1G05680
AT2G04060,AT5G65730,AT2G30540
AT3G26660,AT4G15680,AT3G47420
AT5G06760,AT4G15700,AT2G05510
AT5G01540,AT5G40370,AT5G07570
AT4G18970,AT1G06830,AT1G60470
AT5G24210,AT1G23050,AT5G07560
AT1G23500,AT3G09020,AT1G17170
AT5G64550,AT1G56600,AT1G78380
AT4G26050,AT2G05520,AT2G29490
AT5G40780,AT2G05380,AT2G29420
AT4G12470,AT2G29480,AT1G02930
AT4G22610,AT1G78320,AT1G02920
AT5G23010,AT2G44070,AT1G74590
AT1G51340,AT3G12915,AT1G69930
AT1G66780,AT5G46880,AT1G69920
AT1G21120,AT5G02600,AT1G78340
AT1G73600,AT5G62630,AT1G17180
AT1G14520,AT2G03550,AT5G39760
AT2G25095,AT2G43600,AT4G01630
AT5G26200,AT3G47040,AT5G06330
AT5G23820,AT5G17720,AT3G51910
AT1G70890,AT5G42720,AT2G29500
AT2G25680,AT1G78060,AT5G51440
AT1G76420,AT1G79470,AT3G12580
AT4G05020,AT4G25830,AT5G52640
AT2G15620,AT1G62760,AT2G30660
AT3G44310,AT1G75280,AT2G39400
AT3G16690,AT1G33790,AT4G16260
AT2G37450,AT4G34250,AT4G19810
AT4G08300,AT5G04530,AT4G39955
AT5G64250,AT4G23240,AT4G15550
AT3G12502,AT5G39030,AT3G21720
AT3G52748,AT5G49660,AT5G02780
AT4G04223,AT5G63710,AT2G39530
AT4G13505,AT5G66790,AT3G47380
AT4G14548,AT1G11330,AT3G09922
AT2G36690,AT1G51805,AT1G52070
AT4G25300,AT1G51870,AT3G07720
AT5G16960,AT5G02370,AT2G29220
AT5G16980,AT1G23380,AT2G29250
AT2G39800,AT2G02100,AT5G39000
AT2G31865,AT3G19430,AT5G39020
AT5G21150,AT4G35180,AT5G59260
AT5G36150,AT2G27360,AT1G07550
AT5G47000,AT3G26820,AT1G19390
AT3G46130,AT3G48460,AT1G29730
AT1G13750,AT5G55050,AT1G29740
AT3G08660,AT1G33811,AT1G51830
AT2G38940,AT1G52700,AT1G51840
AT3G28210,AT1G55260,AT1G66940
AT1G33440,AT5G01870,AT1G80380
AT3G15340,AT1G16910,AT5G27600
AT3G12500,AT1G01470,AT3G16530
AT1G33610,AT2G10940,AT5G12330
AT1G60610,AT1G62510,AT1G49750
AT5G01320,AT5G59320,AT3G49580
AT3G59580,AT1G25530,AT5G24660
AT4G02380,AT4G29140,AT3G49570
AT1G55920,AT4G00780,AT1G78970
AT1G32960,AT5G64240,AT1G04770
AT2G23010,AT2G43920,AT3G08040
AT2G47140,AT5G37970,AT4G36670
AT5G50130,AT1G21100,AT1G71140
AT5G27360,AT1G66783,AT3G20360
AT1G62280,AT5G14545,AT3G10870
AT5G01820,AT4G14060,AT5G44680
AT5G53210,AT1G70840,AT5G38100
AT3G51420,AT1G35310,AT1G21130
AT2G03760,AT5G05320,AT1G33030
AT1G71890,AT3G13080,AT5G14565
AT3G45280,AT3G13090,AT3G48850
AT1G70080,AT5G56795,AT1G45015
AT3G56220,AT5G02380,AT1G61560
AT1G35290,AT3G04030,AT4G23680
AT4G12170,AT3G25790,AT4G15760
AT1G47370,AT4G37180,AT3G59140
AT1G57630,AT1G13300,AT5G23660
AT5G42830,AT2G31180,AT2G39450
AT4G04545,AT5G52260,AT1G48000
AT1G43590,AT3G06490,AT3G15500
AT1G45020,AT2G19900,AT5G39610
AT1G51750,AT1G56430,AT5G11670
AT1G64240,AT3G45650,AT5G06510
AT5G33395,AT3G05900,AT3G44300
AT4G22590,AT1G21140,AT5G22300
AT4G39770,AT1G76800,AT2G34350
AT5G53200,AT5G50790,AT3G25190
AT2G43530,AT5G50800,AT3G48740
AT2G43550,AT2G37460,AT5G53190
AT2G33770,AT3G28070,AT2G39510
AT1G24793,AT3G28080,AT1G77760
AT2G43820,AT4G01430,AT1G12110
AT1G05560,AT4G01440,AT1G08090
AT5G59590,AT1G01070,AT5G14570
AT4G15490,AT5G03495,AT5G48180
AT3G45000,AT4G25434,AT1G44130
AT1G66600,AT5G56100,AT2G36110
AT5G07200,AT4G10770,AT1G65810
AT4G14368,AT4G25850,AT1G21320
AT2G03310,AT4G11650,AT1G76680
AT2G15830,AT4G13495,AT1G76690
AT2G21640,AT4G26255,AT2G31585
AT2G25737,AT5G01215,AT2G33815
AT2G28105,AT1G69572,AT4G40065
AT2G28570,AT3G05905,AT1G77992
AT2G41730,AT3G21781,AT1G65481
AT2G41810,AT5G20400,AT4G10500
AT2G47010,AT2G01180,AT4G21580
AT3G11150,AT2G36500,AT1G60750
AT3G01175,AT4G05150,AT3G17790
AT3G13950,AT2G42840,AT5G08000
AT3G18450,AT4G04890,AT2G43890
AT3G26960,AT3G07010,AT5G14650
AT3G47510,AT5G23870,AT1G05650
AT3G48640,AT3G16850,AT2G47550
AT3G50140,AT4G33420,AT3G10720
AT3G58150,AT5G19880,AT5G51500
AT3G60420,AT5G19890,AT3G03670
AT3G60470,AT4G25960,AT5G64110
AT3G60520,AT1G28010,AT1G02520
AT4G08555,AT1G17710,AT1G02530
AT4G15920,AT1G09935,AT4G23400
AT4G23020,AT5G36790,AT2G39010
AT4G29905,AT3G62090,AT3G05630
AT4G31330,AT5G16530,AT2G26560
AT4G33560,AT3G61430,AT1G80830
AT5G15360,AT3G53420,AT2G37900
AT5G03545,AT2G02950,AT1G65390
AT5G19970,AT5G48880,AT3G61060
AT5G21110,AT2G06925,AT4G32950
AT5G22580,AT4G01380,AT5G27930
AT5G25250,AT5G58670,AT1G08650
AT5G25460,AT1G10640,AT3G04720
AT5G26270,AT1G68530,AT4G21990
AT5G42530,AT3G16180,AT1G62180
AT5G44990,AT5G14940,AT5G43770
AT5G45850,AT3G16650,AT5G45120
AT5G47900,AT4G19840,AT4G40070
AT5G48175,AT4G04610,AT4G18197
AT5G55570,AT2G16630,AT5G13330
AT5G57123,AT5G47550,AT2G37180
AT5G61820,AT1G62170,AT5G52310
AT5G66052,AT1G62290,AT5G52300
AT5G66780,AT2G37130,AT4G16990
AT1G07620,AT5G65870,AT1G45616
AT1G10530,AT3G30720,AT3G09680
AT1G13310,AT4G14020,AT2G43500
AT1G13520,AT5G25610,AT1G32940
AT1G16170,AT5G39785,AT1G73310
AT1G27020,AT2G25440,AT2G22980
AT1G29290,AT3G23120,AT1G11080
AT1G30260,AT4G13810,AT1G61130
AT1G49030,AT2G36490,AT5G48850
AT1G49500,AT1G61580,AT4G13180
AT1G49975,AT1G02340,AT2G16380
AT1G51920,AT2G29350,AT2G15220
AT1G53610,AT4G36870,AT4G04840
AT1G53640,AT1G14290,AT4G30270
AT1G55230,AT3G12220,AT3G22550
AT1G58320,AT2G12480,AT4G35640
AT1G67270,AT4G31520,AT2G21540
AT1G67850,AT4G04810,AT2G01940
AT1G68600,AT4G04830,AT3G57520
AT1G73120,AT1G22160,AT4G37160
AT1G76620,AT3G21600,AT1G30270
AT1G78520,AT1G36370,AT1G78460
AT1G80240,AT4G22753,AT2G33810
AT4G37235,AT3G17510,AT3G57920
AT1G54575,AT3G52340,AT1G51420
AT1G49370,AT5G24160,AT5G20150
AT4G18205,AT4G34650,AT3G02040
AT1G05835,AT3G60140,AT1G67810
AT1G27565,AT1G23550,AT3G05400
AT1G65483,AT5G07010,AT5G10180
AT5G44574,AT1G13430,AT1G77990
AT5G66053,AT1G51270,AT3G15990
AT3G49115,AT4G01970,AT3G12520
AT3G05936,AT1G71880,AT4G02280
AT5G07571,AT1G22150,AT2G38920
AT5G07572,AT3G51895,AT5G47560
AT1G52342,AT5G20830,AT1G48800
AT1G52343,AT1G66970,AT4G00390
AT1G05562,AT2G43140,AT4G17340
AT2G01422,AT1G10120,AT5G47450
,AT4G30180,AT4G11170
,AT2G36830,AT1G20840
,AT3G26520,AT4G01870
,AT3G16240,AT5G07860
,AT1G72930,AT5G39050
,AT3G04210,AT2G04460
,AT1G72890,AT3G29078
,AT1G72900,AT4G28900
,AT4G09430,AT4G24040
,AT5G52250,AT4G12430
,AT2G39980,AT2G30670
,AT3G26040,AT2G04040
,AT3G29670,AT2G32960
,AT3G50280,AT4G03960
,AT5G01210,AT1G01680
,AT1G65485,AT1G75440
,AT3G28160,AT3G60270
,AT3G29767,AT4G34135
,AT3G44705,AT4G34131
,AT5G27895,AT2G15490
,AT5G35777,AT3G53150
,AT5G65140,AT1G21240
,AT2G29320,AT5G13320
,AT5G07990,AT2G33880
,AT2G16740,AT5G50200
,AT3G05690,AT4G23550
,AT4G00050,AT5G24110
,AT5G06690,AT4G22070
,AT1G79430,AT3G01970
,AT4G18170,AT5G64810
,AT5G48070,AT2G40750
,AT4G14130,AT5G01900
,AT5G09730,AT3G56400
,AT2G26580,AT5G24380
,AT2G44290,AT5G13750
,AT4G13260,AT2G35910
,AT5G25620,AT2G46495
,AT5G62940,AT5G22890
,AT5G63700,AT5G60250
,AT1G49920,AT1G08050
,AT1G68190,AT1G22500
,AT1G69570,AT1G73220
,AT2G03710,
